Targets: 13000 (skipped top 10000)
Files to modify: 23
Resuming from checkpoint: 0 already processed
Warming up Gemma...
Ready.
  1850/13000 ok=1849 fail=1 rate=0.40/s ETA=470m file=worldbank.jsonl
  1875/13000 ok=1874 fail=1 rate=0.40/s ETA=468m file=worldbank.jsonl
  1900/13000 ok=1899 fail=1 rate=0.40/s ETA=467m file=worldbank.jsonl
  1925/13000 ok=1924 fail=1 rate=0.40/s ETA=466m file=worldbank.jsonl
  1950/13000 ok=1949 fail=1 rate=0.40/s ETA=464m file=worldbank.jsonl
  1975/13000 ok=1974 fail=1 rate=0.40/s ETA=463m file=worldbank.jsonl
  2000/13000 ok=1999 fail=1 rate=0.40/s ETA=462m file=worldbank.jsonl
  2025/13000 ok=2024 fail=1 rate=0.40/s ETA=460m file=worldbank.jsonl
  2050/13000 ok=2049 fail=1 rate=0.40/s ETA=458m file=worldbank.jsonl
  2075/13000 ok=2074 fail=1 rate=0.40/s ETA=457m file=worldbank.jsonl
  2100/13000 ok=2099 fail=1 rate=0.40/s ETA=456m file=worldbank.jsonl
  2125/13000 ok=2124 fail=1 rate=0.40/s ETA=454m file=worldbank.jsonl
  2150/13000 ok=2149 fail=1 rate=0.40/s ETA=453m file=worldbank.jsonl
  2175/13000 ok=2174 fail=1 rate=0.40/s ETA=452m file=worldbank.jsonl
  2200/13000 ok=2199 fail=1 rate=0.40/s ETA=451m file=worldbank.jsonl
  2225/13000 ok=2224 fail=1 rate=0.40/s ETA=449m file=worldbank.jsonl
  2250/13000 ok=2249 fail=1 rate=0.40/s ETA=448m file=worldbank.jsonl
  2275/13000 ok=2274 fail=1 rate=0.40/s ETA=447m file=worldbank.jsonl
  2300/13000 ok=2299 fail=1 rate=0.40/s ETA=445m file=worldbank.jsonl
  2325/13000 ok=2324 fail=1 rate=0.40/s ETA=444m file=worldbank.jsonl
  2350/13000 ok=2349 fail=1 rate=0.40/s ETA=443m file=worldbank.jsonl
  2375/13000 ok=2374 fail=1 rate=0.40/s ETA=441m file=worldbank.jsonl
  2400/13000 ok=2399 fail=1 rate=0.40/s ETA=440m file=worldbank.jsonl
  2425/13000 ok=2424 fail=1 rate=0.40/s ETA=439m file=worldbank.jsonl
  2450/13000 ok=2449 fail=1 rate=0.40/s ETA=438m file=worldbank.jsonl
  2475/13000 ok=2474 fail=1 rate=0.40/s ETA=437m file=worldbank.jsonl
  2500/13000 ok=2499 fail=1 rate=0.40/s ETA=436m file=worldbank.jsonl
  2525/13000 ok=2524 fail=1 rate=0.40/s ETA=434m file=worldbank.jsonl
  2550/13000 ok=2549 fail=1 rate=0.40/s ETA=433m file=worldbank.jsonl
  2575/13000 ok=2574 fail=1 rate=0.40/s ETA=432m file=worldbank.jsonl
  2600/13000 ok=2599 fail=1 rate=0.40/s ETA=431m file=worldbank.jsonl
  2625/13000 ok=2624 fail=1 rate=0.40/s ETA=430m file=worldbank.jsonl
  2650/13000 ok=2649 fail=1 rate=0.40/s ETA=430m file=worldbank.jsonl
  2675/13000 ok=2674 fail=1 rate=0.40/s ETA=429m file=worldbank.jsonl
  2700/13000 ok=2699 fail=1 rate=0.40/s ETA=428m file=worldbank.jsonl
  2725/13000 ok=2724 fail=1 rate=0.40/s ETA=427m file=worldbank.jsonl
  2750/13000 ok=2749 fail=1 rate=0.40/s ETA=425m file=worldbank.jsonl
  2775/13000 ok=2774 fail=1 rate=0.40/s ETA=424m file=worldbank.jsonl
  2800/13000 ok=2799 fail=1 rate=0.40/s ETA=423m file=worldbank.jsonl
  2825/13000 ok=2824 fail=1 rate=0.40/s ETA=422m file=worldbank.jsonl
  2850/13000 ok=2849 fail=1 rate=0.40/s ETA=421m file=worldbank.jsonl
  2875/13000 ok=2874 fail=1 rate=0.40/s ETA=420m file=worldbank.jsonl
  2900/13000 ok=2899 fail=1 rate=0.40/s ETA=419m file=worldbank.jsonl
  2925/13000 ok=2924 fail=1 rate=0.40/s ETA=418m file=worldbank.jsonl
  2950/13000 ok=2949 fail=1 rate=0.40/s ETA=416m file=worldbank.jsonl
  2975/13000 ok=2974 fail=1 rate=0.40/s ETA=415m file=worldbank.jsonl
  3000/13000 ok=2999 fail=1 rate=0.40/s ETA=414m file=worldbank.jsonl
  3025/13000 ok=3024 fail=1 rate=0.40/s ETA=413m file=worldbank.jsonl
  3050/13000 ok=3049 fail=1 rate=0.40/s ETA=412m file=worldbank.jsonl
  3075/13000 ok=3074 fail=1 rate=0.40/s ETA=411m file=worldbank.jsonl
  3100/13000 ok=3099 fail=1 rate=0.40/s ETA=410m file=worldbank.jsonl
  3125/13000 ok=3124 fail=1 rate=0.40/s ETA=409m file=worldbank.jsonl
  3150/13000 ok=3149 fail=1 rate=0.40/s ETA=408m file=worldbank.jsonl
  3175/13000 ok=3174 fail=1 rate=0.40/s ETA=406m file=worldbank.jsonl
  3200/13000 ok=3199 fail=1 rate=0.40/s ETA=405m file=worldbank.jsonl
  3225/13000 ok=3224 fail=1 rate=0.40/s ETA=404m file=worldbank.jsonl
  3250/13000 ok=3249 fail=1 rate=0.40/s ETA=403m file=worldbank.jsonl
  3275/13000 ok=3274 fail=1 rate=0.40/s ETA=402m file=worldbank.jsonl
  3300/13000 ok=3299 fail=1 rate=0.40/s ETA=401m file=worldbank.jsonl
  3325/13000 ok=3324 fail=1 rate=0.40/s ETA=400m file=worldbank.jsonl
  3350/13000 ok=3349 fail=1 rate=0.40/s ETA=399m file=worldbank.jsonl
  3375/13000 ok=3374 fail=1 rate=0.40/s ETA=398m file=worldbank.jsonl
  3400/13000 ok=3399 fail=1 rate=0.40/s ETA=397m file=worldbank.jsonl
  3425/13000 ok=3424 fail=1 rate=0.40/s ETA=396m file=worldbank.jsonl
