[4344] Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4346] Gross PSD, General Gov., All maturities, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4347] Gross PSD, General Gov., All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4349] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Nominal Value, National Curre | pub=World Bank | cols: country, date, value, indicator
[4350] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4352] Gross PSD, Public Sector, All maturities, All instruments, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4353] Gross PSD, Total, All maturities, All instruments, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4354] Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
[4355] Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
[4357] Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, Nationa | pub=World Bank | cols: country, date, value, indicator
[4358] Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4360] Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
[4361] Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Valu | pub=World Bank | cols: country, date, value, indicator
[4363] Gross PSD, General Gov., All maturities, All instruments, External creditors, Nominal Value, Nationa | pub=World Bank | cols: country, date, value, indicator
[4364] Gross PSD, General Gov., All maturities, All instruments, External creditors, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4366] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, External creditors, Nominal V | pub=World Bank | cols: country, date, value, indicator
[4367] Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, External creditors, Nominal V | pub=World Bank | cols: country, date, value, indicator
[4369] Gross PSD, Public Sector, All maturities, All instruments, External creditors, Nominal Value, Nation | pub=World Bank | cols: country, date, value, indicator
[4370] Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4371] Gross PSD, Budgetary Central Gov., All maturities, Currency and deposits, Nominal Value, National Cu | pub=World Bank | cols: country, date, value, indicator
[4372] Gross PSD, Budgetary Central Gov., All maturities, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4374] Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4375] Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4377] Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, National Cu | pub=World Bank | cols: country, date, value, indicator
[4378] Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4380] Gross PSD, General Gov., All maturities, Currency and deposits, Nominal Value, National Currency | pub=World Bank | cols: country, date, value, indicator
[4381] Gross PSD, General Gov., All maturities, Currency and deposits, Nominal Value, US$ | pub=World Bank | cols: country, date, value, indicator
[4383] Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Currency and dep | pub=World Bank | cols: country, date, value, indicator
[4384] Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Currency and dep | pub=World Bank | cols: country, date, value, indicator
[4386] Gross PSD, Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nom | pub=World Bank | cols: country, date, value, indicator
[4387] Gross PSD, Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nom | pub=World Bank | cols: country, date, value, indicator
[4389] Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Currency and dep | pub=World Bank | cols: country, date, value, indicator
[4390] Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Currency and dep | pub=World Bank | cols: country, date, value, indicator
[4392] Gross PSD, General Gov., Long-term, With payment due in one year or less, Currency and deposits, Nom | pub=World Bank | cols: country, date, value, indicator
[4393] Gross PSD, General Gov., Long-term, With payment due in one year or less, Currency and deposits, Nom | pub=World Bank | cols: country, date, value, indicator
[4395] Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Currency and  | pub=World Bank | cols: country, date, value, indicator
[4396] Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Currency and  | pub=World Bank | cols: country, date, value, indicator
[4398] Gross PSD, Public Sector, Long-term, With payment due in one year or less, Currency and deposits, No | pub=World Bank | cols: country, date, value, indicator
[4399] Gross PSD, Total, Long-term, With payment due in one year or less, Currency and deposits, Nominal Va | pub=World Bank | cols: country, date, value, indicator
[4400] Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Currency and d | pub=World Bank | cols: country, date, value, indicator
[4401] Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Currency and d | pub=World Bank | cols: country, date, value, indicator
[4403] Gross PSD, Central Gov., Long-term, With payment due in more than one year, Currency and deposits, N | pub=World Bank | cols: country, date, value, indicator
[4404] Gross PSD, Central Gov., Long-term, With payment due in more than one year, Currency and deposits, N | pub=World Bank | cols: country, date, value, indicator
[4406] Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Currency and d | pub=World Bank | cols: country, date, value, indicator
[4407] Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Currency and d | pub=World Bank | cols: country, date, value, indicator
[4409] Gross PSD, General Gov., Long-term, With payment due in more than one year, Currency and deposits, N | pub=World Bank | cols: country, date, value, indicator
[4410] Gross PSD, General Gov., Long-term, With payment due in more than one year, Currency and deposits, N | pub=World Bank | cols: country, date, value, indicator
[4412] Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Currency an | pub=World Bank | cols: country, date, value, indicator
