[24463] (De Facto) Average number of infrastructure aspects present in schools | pub=World Bank | cols: country, date, value, indicator
[24464] (De Facto) Average number of infrastructure aspects present in schools - Rural | pub=World Bank | cols: country, date, value, indicator
[24465] (De Facto) Average number of infrastructure aspects present in schools - Urban | pub=World Bank | cols: country, date, value, indicator
[24466] (De Facto) Percent of schools with drinking water | pub=World Bank | cols: country, date, value, indicator
[24467] (De Facto) Percent of schools with drinking water - Rural | pub=World Bank | cols: country, date, value, indicator
[24468] (De Facto) Percent of schools with drinking water - Urban | pub=World Bank | cols: country, date, value, indicator
[24469] (De Facto) Percent of schools with functioning toilets | pub=World Bank | cols: country, date, value, indicator
[24470] (De Facto) Percent of schools with functioning toilets - Rural | pub=World Bank | cols: country, date, value, indicator
[24471] (De Facto) Percent of schools with functioning toilets - Urban | pub=World Bank | cols: country, date, value, indicator
[24472] (De Facto) Percent of schools with access to electricity | pub=World Bank | cols: country, date, value, indicator
[24473] (De Facto) Percent of schools with access to electricity - Rural | pub=World Bank | cols: country, date, value, indicator
[24474] (De Facto) Percent of schools with access to electricity - Urban | pub=World Bank | cols: country, date, value, indicator
[24475] (De Facto) Percent of schools with access to internet | pub=World Bank | cols: country, date, value, indicator
[24476] (De Facto) Percent of schools with access to internet - Rural | pub=World Bank | cols: country, date, value, indicator
[24477] (De Facto) Percent of schools with access to internet - Urban | pub=World Bank | cols: country, date, value, indicator
[24478] (De Facto) Percent of schools accessible to children with special needs | pub=World Bank | cols: country, date, value, indicator
[24479] (De Facto) Percent of schools accessible to children with special needs - Rural | pub=World Bank | cols: country, date, value, indicator
[24480] (De Facto) Percent of schools accessible to children with special needs - Urban | pub=World Bank | cols: country, date, value, indicator
[24481] Basic Inputs | pub=World Bank | desc: School survey.  Total score is the sum of whether a school has:   , Functional blackboard    - Pens, pencils, exercise books </br> - Textbooks   - Fraction of students in class with a desk    - Used I | cols: country, date, value, indicator
[24482] (De Facto) Average number of classroom inputs in classrooms | pub=World Bank | cols: country, date, value, indicator
[24483] (De Facto) Average number of classroom inputs in classrooms - Rural | pub=World Bank | cols: country, date, value, indicator
[24484] (De Facto) Average number of classroom inputs in classrooms - Urban | pub=World Bank | cols: country, date, value, indicator
[24485] (De Facto) Percent of classrooms with a functional blackboard and chalk | pub=World Bank | cols: country, date, value, indicator
[24486] (De Facto) Percent of classrooms with a functional blackboard and chalk - Rural | pub=World Bank | cols: country, date, value, indicator
[24487] (De Facto) Percent of classrooms with a functional blackboard and chalk - Urban | pub=World Bank | cols: country, date, value, indicator
[24488] (De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books | pub=World Bank | cols: country, date, value, indicator
[24489] (De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Rural | pub=World Bank | cols: country, date, value, indicator
[24490] (De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Urban | pub=World Bank | cols: country, date, value, indicator
[24491] (De Facto) Percent of classrooms with basic classroom furniture | pub=World Bank | cols: country, date, value, indicator
[24492] (De Facto) Percent of classrooms with basic classroom furniture - Rural | pub=World Bank | cols: country, date, value, indicator
[24493] (De Facto) Percent of classrooms with basic classroom furniture - Urban | pub=World Bank | cols: country, date, value, indicator
[24494] (De Facto) Percent of schools with access to EdTech | pub=World Bank | cols: country, date, value, indicator
[24495] (De Facto) Percent of schools with access to EdTech - Rural | pub=World Bank | cols: country, date, value, indicator
[24496] (De Facto) Percent of schools with access to EdTech - Urban | pub=World Bank | cols: country, date, value, indicator
[24497] Policy Lever (Inputs & Infrastructure) - Standards | pub=World Bank | cols: country, date, value, indicator
[24498] (De Jure) Is there a policy in place to require that students have access to the prescribed textbook | pub=World Bank | cols: country, date, value, indicator
[24499] (De Facto) Do you know if there is a policy in place to require that schools have access to drinking | pub=World Bank | cols: country, date, value, indicator
[24500] (De Jure) Is there a policy in place to require that schools have functioning toilets? | pub=World Bank | cols: country, date, value, indicator
[24501] (De Facto) Do you know if there is a policy in place to require that schools have functioning toilet | pub=World Bank | cols: country, date, value, indicator
[24502] (De Jure) Is there a policy in place to require that schools are accessible to children with special | pub=World Bank | cols: country, date, value, indicator
[24503] (De Facto) Do you know if there is there a policy in place to require that schools are accessible to | pub=World Bank | cols: country, date, value, indicator
[24504] (De Facto) Do you know if there is a policy in place to require that students have access to the pre | pub=World Bank | cols: country, date, value, indicator
[24505] (De Jure) Is there a national connectivity program? | pub=World Bank | cols: country, date, value, indicator
[24506] (De Facto) Do you know if there is a national connectivity program? | pub=World Bank | cols: country, date, value, indicator
