[5656] Laterals | pub=State of Utah | cols: OBJECTID, Shape.STLength(), Enabled, last_edited_user, created_user, LINE_TYPE, CONST_STATUS, last_edited_date, the_geom, FACILITYID
[5660] Earthquake Ground Shaking MMI - Anderson_data | pub=State of Utah | cols: OBJECTID, SHAPE_Area, GRID_CODE, SHAPE_Length, the_geom
[5661] SD Drainage Area AsBuilt | pub=State of Utah | cols: SHAPE.STArea(), pweng.SLCOEN.sd_drainageArea_AsBuilt.area, OBJECTID, date, SHAPE.STLength(), the_geom
[5662] Railroads | pub=State of Utah | cols: OBJECTID, CLASS, the_geom, SHAPE.STLength()
[5663] OilGasWells | pub=State of Utah | cols: LeaseNumbe, OrigComplD, UnitName, TotCum_Wat, TotCum_Gas, TotCum_Oil, WellType, AbandonDat, ConfRelDat, LeaseType
[5664] SGID93.CADASTRE.Parcels_Grand_data | pub=State of Utah | cols: Parcel Year, FIPS, PARCEL_CITY, County Parcel Website, Shape_Area, OWN_TYPE, the_geom, Parcels Received, PARCEL_ID, PARCEL_ZIP
[5665] CommunityCenter_data | pub=State of Utah | cols: Location Type, Phone, Operational Days, Full Address, Capture Method, Description, State Name, the_geom, OBJECTID, Name of Facility
[5666] Roads not Plowed by Sandy | pub=State of Utah | cols: fromright, S_ROW, ONE_WAY, Lcitycd, LABEL, toleft, ACS_ALIAS, S_ACCESS, ALT_NAME, MAINTENANCE
[5668] Recycling Location_data | pub=State of Utah | cols: Description, Owner Name, Feature Code, State Name, Municipality Name, Facility Identifier, OBJECTID, Website, Contact Name, Operational Days
[5669] Dambreaks BOR Flaming Gorge_data | pub=State of Utah | cols: the_geom, NAME, Shape_Area, Shape_Length, TYPE, SHAPE_Leng, AREA_SQMI, OBJECTID
[5670] UDOTMileposts | pub=State of Utah | cols: YCOORD, FID, LABEL, RT_NAME, MP, XCOORD, RT_TYPE, RT_DIR, CARTO, the_geom
[5671] Congress - Labels_data | pub=State of Utah | cols: DISTRICT, OBJECTID, the_geom, Shape_Length, Shape_Area
[5672] UREZPhase1_GeothermalZones | pub=State of Utah | cols: the_geom, SHAPE_Leng, AreaName, SHAPE_Area, Comments
[5673] SITLA LaSal Information Kiosk_data | pub=State of Utah | cols: OBJECTID, GlobalID, Name, the_geom
[5674] LiDAR2017_100cm_WashingtonCo_DEM_Tiles_data | pub=State of Utah | cols: SIZE, SHAPE_Area, OBJECTID, EXT, SHAPE_Length, TILE, the_geom, PATH
[5675] Building Footprints | pub=State of Utah | cols: CopyID, Shape.len, Sources, TYPE, HT_ISO_Flag, HT_Highest_Ft, Within_Municipality, CATEGORY, HT_Eaves_Ft, Detail_Usage_Type
[5676] City Owned Parcels_data | pub=State of Utah | desc: Parcels owned by South Jordan City. Updated 2/10/2017 | cols: neighborhood_code, own_name, the_geom, careof_attn_name, Pic3, Label, nbrhd_av_home_sf, tax_class3, created_date, own_name_cont
[5677] Grazing Regions_data | pub=State of Utah | cols: the_geom, SHAPE.STArea(), REGION, SHAPE.STLength(), OBJECTID
[5678] DWQAssessedWaters_data | pub=State of Utah | cols: PermitName, Descript, State_Zip, PermitType, TYPE, County, NAD83UTM_X, the_geom, ENVIROAPPLABEL, Expir_Date
[5683] Storm Drain Pipes | pub=State of Utah | cols: FacilityID, RuleID, Pipe Condition, CRITICALITY, ACTIVE, DIP_OUT, OWNERSHIP, PIPE_TYPE, IRRIGATION, Cond_Material
[5684] UtahNatParks | pub=State of Utah | desc: UtahNatParks | cols: LANDS_CODE, META_MIDF, Shape__Length, FID, GIS_NOTES, UNIT_TYPE, GROUP_CODE, Shape__Area, UNIT_NAME, UNIT_CODE
[5685] Other Wells | pub=State of Utah | cols: Y_COORD, CH2MGRID_I, EPAID, OBJECTID, STYP, ZVAL, LABEL, CH2MCOL, Q_COMMENT, XVAL
[5687] Address Points_data | pub=State of Utah | cols: City, created_user, last_edited_user, ZIPCODE, Landmark Name, Load Date, Address Source, the_geom, Prefix Direction, Structure
[5688] Jordan_River | pub=State of Utah | cols: the_geom, Shape_Leng, OBJECTID_1, NAME, Shape.len
[5689] Centerlines | pub=State of Utah | cols: LABEL, RZIP, DATA_DATE, LOW, ONE_WAY, S_ACCUR, S_ROW, S_TYPE, Shape.STLength(), ACS_STREET
[5690] Bulk_Waste_Areas | pub=State of Utah | cols: OBJECTID, Shape.STLength(), Shape.STArea(), the_geom, DATE, AREA_NUM, SYMBOL
[5691] Bubble Up | pub=State of Utah | cols: last_edited_user, OWNERSHIP, PIPE_TYPE, BOX_DEPTH, INVERT4, last_edited_date, FACILITYID, OBJECTID, StructCond, RuleID
[5692] Section LABELS_data | pub=State of Utah | cols: LABEL, GlobalID, SECTION, GCDBDIVID, GCDBDIVTXT, RANGE, Search_String, QNUM, len, BASEMERIDIAN
[5693] Historic Ownership_data | pub=State of Utah | cols: leasegis, app_descr, OBJECTID, SHAPE.STArea(), customer_name, dispose_ref_nbr, nbr, GlobalID, dispose_cd, Label
[5694] Transformers | pub=State of Utah | cols: PERIMETER, AREA, GlobalID, the_geom, OBJECTID
[5695] SGID93.CADASTRE.Parcels_Uintah_data | pub=State of Utah | cols: OWN_TYPE, OBJECTID, PARCEL_CITY, Parcels Published, Parcels Received, County Parcel Website, Shape_Area, RECORDER, PARCEL_ADD, PARCEL_ID
[5696] SLCo_1977_County_data | pub=State of Utah | cols: SHAPE_Area, WORLDFILE, METADATA, SHAPE_Length, OBJECTID, TILE, PATH, SIZE, the_geom, DATE
[5697] Sandy Plow Roads | pub=State of Utah | cols: OBJECTID, BWAREA, Shape.len, the_geom
[5698] Borders | pub=State of Utah | cols: the_geom, OBJECTID, RuleID_2, NAME
[5699] Percent Low Mod | pub=State of Utah | cols: county, COUNTYFP10, AWATER10, OBJECTID, lowmod_pct, low, TRACTCE10, OBJECTID_2, countyname, INTPTLAT10
[5700] Earthquake Ground Shaking MMI - Provo_data | pub=State of Utah | cols: the_geom, SHAPE_Length, OBJECTID, GRID_CODE, SHAPE_Area
[5701] LiDAR2011_1m_LowryWater_DEM_Tiles_data | pub=State of Utah | cols: WORLDFILE, the_geom, Shape_Area, OBJECTID, METADATA, PATH, TILE, Shape_Length, DATE, SIZE
[5702] SLCo_1977_Quads_data | pub=State of Utah | cols: OBJECTID, EXT, SHAPE_Area, SHAPE_Length, DATE, TILE, METADATA, PATH, SIZE, the_geom
[5703] Inspection Points | pub=State of Utah | cols: INVERT2, SNOUT, WARRANTYDATE, INVERT4, LADDER_1, ID, LOCATION, OVERLAYED, last_edited_user, INVERT_OUT
[5705] Schools_Inspections | pub=State of Utah | cols: Longitude, OBJECTID, Inspection_District, Inspection_Status, the_geom, Latitude, URL, ADDRESS, SCHOOL_TYP, HAS_FOOTPRINT
[5707] Lights | pub=State of Utah | cols: NumBulbs, Address, BulbWatts, the_geom, Notes, Placement, Lens, BulbType, InspDate, BulbWatts_Double
[5708] ParksLocal | pub=State of Utah | cols: Shape__Length, NAME, OBJECTID, GlobalID, Shape__Area, ACRES, STATUS, CITY, COUNTY, TYPE
[5709] BOUNDARIES.TaxDistricts_data | pub=State of Utah | cols: LABEL, the_geom, DISTRICT, SHAPE.STLength(), NAME, SHAPE.STArea(), OBJECTID
[5710] LiDAR2006_1m_BareEarth_Tiles_data | pub=State of Utah | cols: the_geom, TILE, OBJECTID, SHAPE_Area, METADATA, PATH, WORLDFILE, SIZE, EXT, DATE
