[13191] Number of Villages Total (Per 2001 Census) | pub=World Bank | desc: Number of Villages Total (Per 2001 Census) | cols: country, date, value, indicator
[13192] CO2 Emission (in thousand metric tons of Carbon) | pub=World Bank | cols: country, date, value, indicator
[13193] Per Capita Emission ( metric tons of Carbon) | pub=World Bank | cols: country, date, value, indicator
[13194] Agricultural land (SQ KMs) | pub=World Bank | cols: country, date, value, indicator
[13195] Ratio: Agricultural land to total coastal area of state (%) | pub=World Bank | cols: country, date, value, indicator
[13196] Built-up land (SQ KMs) | pub=World Bank | cols: country, date, value, indicator
[13197] Ratio: Built-up land to total coastal area of state (%) | pub=World Bank | cols: country, date, value, indicator
[13198] Forest (Non- tidal)/ Plantation (SQ KMs) | pub=World Bank | cols: country, date, value, indicator
[13199] Ratio: Forest (Non- tidal)/ Plantation to total coastal area of state (%) | pub=World Bank | cols: country, date, value, indicator
[13200] Other features (SQ KMs) | pub=World Bank | cols: country, date, value, indicator
[13201] Ratio: Other features to total coastal area of state (%) | pub=World Bank | cols: country, date, value, indicator
[13202] Shore land (SQ KMs) | pub=World Bank | cols: country, date, value, indicator
[13203] Ratio: Shore land to total coastal area of state (%) | pub=World Bank | cols: country, date, value, indicator
[13204] Barren wasteland (SQ KMs) | pub=World Bank | cols: country, date, value, indicator
[13205] Ratio: Barren/ wasteland to total coastal area of state (%) | pub=World Bank | cols: country, date, value, indicator
[13206] Water bodies (SQ KMs) | pub=World Bank | cols: country, date, value, indicator
[13207] Ratio: Water bodies to total coastal area of state (%) | pub=World Bank | cols: country, date, value, indicator
[13208] Wetlands (SQ KMs) | pub=World Bank | cols: country, date, value, indicator
[13209] Ratio: Wetland to total coastal area of state (%) | pub=World Bank | cols: country, date, value, indicator
[13210] Cropping Intensity (%) | pub=World Bank | cols: country, date, value, indicator
[13211] Forest Cover  ('000 hectares) | pub=World Bank | cols: country, date, value, indicator
[13212] Forest Cover (Percent of Geographical Area) | pub=World Bank | cols: country, date, value, indicator
[13213] Geographical Area ('000 hectares) | pub=World Bank | cols: country, date, value, indicator
[13214] Gross Irrigated Area ('000 hectares) | pub=World Bank | cols: country, date, value, indicator
[13215] Ratio: Gross Irrigated to Total Cropped Area (%) | pub=World Bank | cols: country, date, value, indicator
[13216] Net Irrigated Area ('000 hectares) | pub=World Bank | cols: country, date, value, indicator
[13217] AIr Quality: Nitrogen Oxide (Micrograms/Cubic Meter) | pub=World Bank | cols: country, date, value, indicator
[13218] Area not available for cultivation ('000 hectares) | pub=World Bank | cols: country, date, value, indicator
[13219] Other uncultivated (excl. fallow land) ('000 hectares) | pub=World Bank | cols: country, date, value, indicator
[13220] AIr Quality: Particulate Matter (Micrograms/Cubic Meter) | pub=World Bank | cols: country, date, value, indicator
[13221] AIr Quality: Sulfur Dioxide (Micrograms/Cubic Meter) | pub=World Bank | cols: country, date, value, indicator
[13222] Commercial Bank Offices (Total) | pub=World Bank | desc: Number of commercial banks | cols: country, date, value, indicator
[13228] Total number of households | pub=World Bank | desc: Total number of households (Source: Census 2011) | cols: country, date, value, indicator
[13230] Average Population Per Bank Office (In Thousands) | pub=World Bank | desc: Average Population Per Bank Office (In Thousands) | cols: country, date, value, indicator
[13242] Malaria - Cases | pub=World Bank | desc: Reported cases of Malaria infection | cols: country, date, value, indicator
[13243] Malaria - Deaths | pub=World Bank | desc: Reported cases of Death due to Malaria | cols: country, date, value, indicator
[13245] Electrified Route Kilometres | pub=World Bank | cols: country, date, value, indicator
[13246] Freight Traffic (revenue earning) - Lead (Average no. of KMs per tonne) | pub=World Bank | cols: country, date, value, indicator
[13247] Average Freight Rate per Tonne-KM (in Paise, for all commodities) | pub=World Bank | cols: country, date, value, indicator
[13248] Freight Traffic (revenue earning) -Net Tonne Kilometers (millions) | pub=World Bank | cols: country, date, value, indicator
[13249] Speed of Freight Trains (KMs/hour) | pub=World Bank | cols: country, date, value, indicator
[13250] Freight Traffic - Tonnes originating (Millions) | pub=World Bank | cols: country, date, value, indicator
[13251] Locomotives - Number in service | pub=World Bank | cols: country, date, value, indicator
