[16300] Gross national income (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[16302] Gross national income (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[16303] Gross national income (Av. annual growth, %) | pub=World Bank | cols: country, date, value, indicator
[16306] Net income from abroad (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[16308] Net income from abroad (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[16309] CP Net Factor Income (+) or Payments (Local) | pub=World Bank | cols: country, date, value, indicator
[16314] Net indirect taxes (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[16316] Net indirect taxes (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[16322] Terms of trade adjustment (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[16324] Terms of trade adjustment (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[16325] Terms of Trade Adjustment (local) (Const. Price) | pub=World Bank | cols: country, date, value, indicator
[16327] GDP,current US$,millions,seas. adj., | pub=World Bank | cols: country, date, value, indicator
[16328] GDP,current LCU,millions,seas. adj., | pub=World Bank | cols: country, date, value, indicator
[16329] GDP,constant 2010 US$,millions,seas. adj., | pub=World Bank | cols: country, date, value, indicator
[16330] GDP,constant 2010 LCU,millions,seas. adj., | pub=World Bank | cols: country, date, value, indicator
[16331] Persons aged 15 to 29 years owing a mobility phone (% of persons aged 15 to 29 years with disability | pub=World Bank | cols: country, date, value, indicator
[16332] Persons aged 30 to 44 years owing a mobility phone (% of persons aged 30 to 44 years with disability | pub=World Bank | cols: country, date, value, indicator
[16333] Persons aged 45 to 64 years owing a mobility phone (% of persons aged 45 to 64 years with disability | pub=World Bank | cols: country, date, value, indicator
[16334] Persons aged 65 or older owing a mobility phone (% of persons aged 65 or older with disability i.e.  | pub=World Bank | cols: country, date, value, indicator
[16335] Persons owing a mobility phone (% of persons with disability i.e. at least a lot of functional diffi | pub=World Bank | cols: country, date, value, indicator
[16336] Female persons owing a mobility phone (% of female persons with disability i.e. at least a lot of fu | pub=World Bank | cols: country, date, value, indicator
[16337] Male persons owing a mobility phone (% of male persons with disability i.e. at least a lot of functi | pub=World Bank | cols: country, date, value, indicator
[16338] Persons living in rural areas owing a mobility phone (% of persons living in rural areas with disabi | pub=World Bank | cols: country, date, value, indicator
[16339] Persons living in urban areas owing a mobility phone (% of persons living in urban areas with disabi | pub=World Bank | cols: country, date, value, indicator
[16340] Persons aged 15 to 29 years owing a mobility phone (% of persons aged 15 to 29 years with any degree | pub=World Bank | cols: country, date, value, indicator
[16341] Persons aged 30 to 44 years owing a mobility phone (% of persons aged 30 to 44 years with any degree | pub=World Bank | cols: country, date, value, indicator
[16342] Persons aged 45 to 64 years owing a mobility phone (% of persons aged 45 to 64 years with any degree | pub=World Bank | cols: country, date, value, indicator
[16343] Persons aged 65 or older owing a mobility phone (% of persons aged 65 or older with any degree of fu | pub=World Bank | cols: country, date, value, indicator
[16344] Persons owing a mobility phone (% of persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
