[2046] xxx | pub=WHO | desc: xxx | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2168] Total NCD Deaths | pub=WHO | desc: Total NCD Deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2171] National agency for tobacco control exists | pub=WHO | desc: National agency for tobacco control exists | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2174] Budget year | pub=WHO | desc: Budget year | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2178] Status of endemicity of visceral leishmaniasis | pub=WHO | desc: Status of endemicity of visceral leishmaniasis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2179] Number of female leprosy new cases | pub=WHO | desc: Number of female leprosy new cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2183] Existence of a national target on NCD mortality | pub=WHO | desc: Existence of a national target on NCD mortality | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2184] In-prison HIV diagnosis (number of diagnoses) | pub=WHO | desc: In-prison HIV diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2186] Zero vegetable or fruit consumption, 6-23 months | pub=WHO | desc: Zero vegetable or fruit consumption, 6-23 months | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2187] Oral diseases prevalence (%) | pub=WHO | desc: Oral diseases prevalence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2193] Minimum Meal Frequency 6-23 months | pub=WHO | desc: Minimum Meal Frequency 6-23 months | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2195] Points of Entry (SPAR) | pub=WHO | desc: Points of Entry (SPAR) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2202] Transgender: Syphilis prevalence (percent) | pub=WHO | desc: Transgender: Syphilis prevalence (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2205] Representativeness of most recent survey of adults | pub=WHO | desc: Representativeness of most recent survey of adults | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2209] New chronic hepatitis C (HCV) infections (number) | pub=WHO | desc: New chronic hepatitis C (HCV) infections (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2210] Estimated number of malaria deaths | pub=WHO | desc: Estimated number of malaria deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2213] Reporting countries | pub=WHO | desc: Reporting countries | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2219] Number of suspected malaria cases | pub=WHO | desc: Number of suspected malaria cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2221] Key functions by groups (%) | pub=WHO | desc: Key functions by groups (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2223] Cytisine - place available | pub=WHO | desc: Cytisine - place available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2225] Status of indigenous malaria cases | pub=WHO | desc: Status of indigenous malaria cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2226] Foodborne disability-adjusted life years | pub=WHO | desc: Foodborne disability-adjusted life years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2228] Taxes as a % of price: value added tax | pub=WHO | desc: Taxes as a % of price: value added tax | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2229] Number of indigenous P. vivax malaria cases | pub=WHO | desc: Number of indigenous P. vivax malaria cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2233] Estimate of current tobacco smoking prevalence (%) | pub=WHO | desc: Estimate of current tobacco smoking prevalence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2234] Patient safety core indicator aggregated (%) | pub=WHO | desc: Patient safety core indicator aggregated (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2237] Mean total cholesterol,  crude | pub=WHO | desc: Mean total cholesterol,  crude | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2239] Prevalent cases of active syphilis (in thousands) | pub=WHO | desc: Prevalent cases of active syphilis (in thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2242] Alcohol poisoning deaths, per 100,000 population | pub=WHO | desc: Alcohol poisoning deaths, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2243] Total taxes on beverages (%) | pub=WHO | desc: Total taxes on beverages (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2247] Tobacco Enforce bans: E2 indirect advertising | pub=WHO | desc: Tobacco Enforce bans: E2 indirect advertising | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2250] Health emergency management | pub=WHO | desc: Health emergency management | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2251] Unintended pregnancy rate (model-estimated) | pub=WHO | desc: Unintended pregnancy rate (model-estimated) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2260] Foodborne illnesses per 100 000, all ages | pub=WHO | desc: Foodborne illnesses per 100 000, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2261] In-prison clinical health records | pub=WHO | desc: In-prison clinical health records | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2266] Chemical events | pub=WHO | desc: Chemical events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2271] In-prison COVID-19 diagnosis (number of diagnoses) | pub=WHO | desc: In-prison COVID-19 diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2273] Tobacco tax revenues - other | pub=WHO | desc: Tobacco tax revenues - other | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2275] Incident rate of active syphilis (per 1000) | pub=WHO | desc: Incident rate of active syphilis (per 1000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2277] Reported cases of gonorrhea (number) | pub=WHO | desc: Reported cases of gonorrhea (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2281] Year of most recent adolescent survey | pub=WHO | desc: Year of most recent adolescent survey | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2282] Estimate of daily tobacco smoking prevalence (%) | pub=WHO | desc: Estimate of daily tobacco smoking prevalence (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2283] Health Service Provision | pub=WHO | desc: Health Service Provision | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2284] Number of prisoners (per 100 000 inhabitants) | pub=WHO | desc: Number of prisoners (per 100 000 inhabitants) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2287] Total number of live births | pub=WHO | desc: Total number of live births | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2302] Number of current cigarette smokers, estimate | pub=WHO | desc: Number of current cigarette smokers, estimate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2305] Existence of an health surveillance system | pub=WHO | desc: Existence of an health surveillance system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2308] Locations and facilities | pub=WHO | desc: Locations and facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2309] Measures to phase down the use of dental amalgam | pub=WHO | desc: Measures to phase down the use of dental amalgam | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2311] Year the law was enacted (latest revision) | pub=WHO | desc: Year the law was enacted (latest revision) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2317] Number of confirmed yaws cases reported | pub=WHO | desc: Number of confirmed yaws cases reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2324] Physicians in prisons (FTEs per 1000 prisoners) | pub=WHO | desc: Physicians in prisons (FTEs per 1000 prisoners) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2328] see NUTSEVWASTINGPREV | pub=WHO | desc: see NUTSEVWASTINGPREV | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2331] Prevalence of edentulism in people 20+ years (%) | pub=WHO | desc: Prevalence of edentulism in people 20+ years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2334] Taxes as a % of price: import duties | pub=WHO | desc: Taxes as a % of price: import duties | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2335] Taxes as a % of price: other taxes | pub=WHO | desc: Taxes as a % of price: other taxes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2337] Number of confirmed cases of Buruli ulcer reported | pub=WHO | desc: Number of confirmed cases of Buruli ulcer reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2338] Percent of all DALYs attributable to alcohol | pub=WHO | desc: Percent of all DALYs attributable to alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2339] Mean Non-HDL cholesterol, age-standardized | pub=WHO | desc: Mean Non-HDL cholesterol, age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2340] Health services provision | pub=WHO | desc: Health services provision | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2341] Existence of price subsidies for healthy foods | pub=WHO | desc: Existence of price subsidies for healthy foods | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2344] Number of isolates tested for azithromycin | pub=WHO | desc: Number of isolates tested for azithromycin | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2345] Type of excise tax applied on beverage | pub=WHO | desc: Type of excise tax applied on beverage | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2348] Number of isolates tested for ceftriaxone | pub=WHO | desc: Number of isolates tested for ceftriaxone | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
