[15864] Persons aged 65 or older using the Internet (% of persons aged 65 or older with none or some degree  | pub=World Bank | cols: country, date, value, indicator
[15865] Persons using the Internet (% of persons with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15866] Female persons using the Internet (% of female persons with none or some degree of functional diffic | pub=World Bank | cols: country, date, value, indicator
[15867] Male persons using the Internet (% of male persons with none or some degree of functional difficulty | pub=World Bank | cols: country, date, value, indicator
[15868] Persons living in rural areas using the Internet (% of persons living in rural areas with none or so | pub=World Bank | cols: country, date, value, indicator
[15869] Persons living in urban areas using the Internet (% of persons living in urban areas with none or so | pub=World Bank | cols: country, date, value, indicator
[15870] Persons aged 15 to 29 years using the Internet (% of persons aged 15 to 29 years with some degree of | pub=World Bank | cols: country, date, value, indicator
[15871] Persons aged 30 to 44 years using the Internet (% of persons aged 30 to 44 years with some degree of | pub=World Bank | cols: country, date, value, indicator
[15872] Persons aged 45 to 64 years using the Internet (% of persons aged 45 to 64 years with some degree of | pub=World Bank | cols: country, date, value, indicator
[15873] Persons aged 65 or older using the Internet (% of persons aged 65 or older with some degree of funct | pub=World Bank | cols: country, date, value, indicator
[15874] Persons using the Internet (% of persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15875] Female persons using the Internet (% of female persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15876] Male persons using the Internet (% of male persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[15877] Persons living in rural areas using the Internet (% of persons living in rural areas with some degre | pub=World Bank | cols: country, date, value, indicator
[15878] Persons living in urban areas using the Internet (% of persons living in urban areas with some degre | pub=World Bank | cols: country, date, value, indicator
[15885] Agriculture, value added (local)  (Curr. Price) | pub=World Bank | cols: country, date, value, indicator
[15886] Agricultural Value Added Deflator | pub=World Bank | cols: country, date, value, indicator
[15887] Agriculture, value added (local) (Const. Price) | pub=World Bank | cols: country, date, value, indicator
[15888] Agriculture: contribution to growth of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[15889] CP Value Added in Industry (Local) | pub=World Bank | cols: country, date, value, indicator
[15890] Industrial Value Added Deflator | pub=World Bank | cols: country, date, value, indicator
[15891] Industry, value added (local) (Const. Price) | pub=World Bank | cols: country, date, value, indicator
[15892] Industry: contribution to growth of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[15893] CP Value Added in Manufacturing (Local) | pub=World Bank | cols: country, date, value, indicator
[15894] Manuf. Value Added Deflator | pub=World Bank | cols: country, date, value, indicator
[15895] KP Value Added in Manufacturing (Local) | pub=World Bank | cols: country, date, value, indicator
[15896] CP Value Added in Services, etc. (Local) | pub=World Bank | cols: country, date, value, indicator
[15897] KP Value Added in Services, etc. (Local) | pub=World Bank | cols: country, date, value, indicator
[15898] Services: contribution to growth of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[15899] Total Natural Resources Revenue Sharing from Forestry (in IDR, realization value) | pub=World Bank | cols: country, date, value, indicator
[15900] Total Natural Resources Revenue Sharing from Fishery (in IDR, realization value) | pub=World Bank | cols: country, date, value, indicator
[15901] Total Natural Resources Revenue Sharing from Gas (in IDR, realization value) | pub=World Bank | cols: country, date, value, indicator
[15902] Total Natural Resources Revenue Sharing from Geothermal  Energy (in IDR, realization value) | pub=World Bank | cols: country, date, value, indicator
[15903] Total Natural Resources Revenue Sharing from Mining (in IDR, realization value) | pub=World Bank | cols: country, date, value, indicator
[15904] Total Natural Resources Revenue Sharing from Oil (in IDR, realization value) | pub=World Bank | cols: country, date, value, indicator
[15910] Agriculture, value added (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15913] Agriculture, value added (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15914] Agriculture, value added (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15915] Agriculture, val. added defl. (1987=100,Index) | pub=World Bank | cols: country, date, value, indicator
[15930] Manufacturing, value added (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15933] Manufacturing, value added (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
