[5111] Gross Ext. Debt Pmt, General Government, More than 6 to 9, Special drawing rights (allocations), Pri | pub=World Bank | cols: country, date, value, indicator
[5112] Gross Ext. Debt Pmt, General Government, Immediate, Special drawing rights (allocations), Principal, | pub=World Bank | cols: country, date, value, indicator
[5113] Gross Ext. Debt Pmt, Central Bank, More than 0 to 3, Special drawing rights (allocations), Principal | pub=World Bank | cols: country, date, value, indicator
[5114] Gross Ext. Debt Pmt, Central Bank, More than 9 to 12, Special drawing rights (allocations), Principa | pub=World Bank | cols: country, date, value, indicator
[5115] Gross Ext. Debt Pmt, Central Bank, More than 12 to 18, Special drawing rights (allocations), Princip | pub=World Bank | cols: country, date, value, indicator
[5116] Gross Ext. Debt Pmt, Central Bank, More than 18 to 24, Special drawing rights (allocations), Princip | pub=World Bank | cols: country, date, value, indicator
[5117] Gross Ext. Debt Pmt, Central Bank, More than 2yrs, Special drawing rights (allocations), Principal,  | pub=World Bank | cols: country, date, value, indicator
[5118] Gross Ext. Debt Pmt, Central Bank, More than 3 to 6, Special drawing rights (allocations), Principal | pub=World Bank | cols: country, date, value, indicator
[5119] Gross Ext. Debt Pmt, Central Bank, More than 6 to 9, Special drawing rights (allocations), Principal | pub=World Bank | cols: country, date, value, indicator
[5120] Gross Ext. Debt Pmt, Central Bank, Immediate, Special drawing rights (allocations), Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5121] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, Trade credit and advances, Pri | pub=World Bank | cols: country, date, value, indicator
[5122] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, Trade credit and advances, Pr | pub=World Bank | cols: country, date, value, indicator
[5123] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, Trade credit and advances, P | pub=World Bank | cols: country, date, value, indicator
[5124] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, Trade credit and advances, P | pub=World Bank | cols: country, date, value, indicator
[5125] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, Trade credit and advances, Princ | pub=World Bank | cols: country, date, value, indicator
[5126] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, Trade credit and advances, Pri | pub=World Bank | cols: country, date, value, indicator
[5127] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 6 to 9, Trade credit and advances, Pri | pub=World Bank | cols: country, date, value, indicator
[5128] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, Immediate, Trade credit and advances, Principal, | pub=World Bank | cols: country, date, value, indicator
[5129] Gross Ext. Debt Pmt, General Government, More than 0 to 3, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5130] Gross Ext. Debt Pmt, General Government, More than 9 to 12, Trade credit and advances, Principal, US | pub=World Bank | cols: country, date, value, indicator
[5131] Gross Ext. Debt Pmt, General Government, More than 12 to 18, Trade credit and advances, Principal, U | pub=World Bank | cols: country, date, value, indicator
[5132] Gross Ext. Debt Pmt, General Government, More than 18 to 24, Trade credit and advances, Principal, U | pub=World Bank | cols: country, date, value, indicator
[5133] Gross Ext. Debt Pmt, General Government, More than 2yrs, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5134] Gross Ext. Debt Pmt, General Government, More than 3 to 6, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5135] Gross Ext. Debt Pmt, General Government, More than 6 to 9, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[5136] Gross Ext. Debt Pmt, General Government, Immediate, Trade credit and advances, Principal, USD | pub=World Bank | cols: country, date, value, indicator
