[5901] Private nonguaranteed debt (% of external debt) | pub=World Bank | cols: country, date, value, indicator
[5902] Public and Publicly Guar. Private Sector Ext. Debt Pos., All Sectors, All maturities, All instrument | pub=World Bank | cols: country, date, value, indicator
[5903] Public and Publicly Guar. Private Sector Ext. Debt Pos., All Creditors, All maturities, All instrume | pub=World Bank | cols: country, date, value, indicator
[5904] Gross Ext. Debt Pos., Public and Publicly Guar. Private Sector Ext. Debt, All maturities, Arrears, P | pub=World Bank | cols: country, date, value, indicator
[5906] Gross Ext. Debt Pos., Public and Publicly Guar. Private Sector Ext. Debt, All maturities, All instru | pub=World Bank | cols: country, date, value, indicator
[5907] Gross Ext. Debt Pos., Public and Publicly Guar. Private Sector Ext. Debt, All maturities, Debt secur | pub=World Bank | cols: country, date, value, indicator
[5908] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, Beginning of | pub=World Bank | cols: country, date, value, indicator
[5909] Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, U | pub=World Bank | cols: country, date, value, indicator
[5910] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, end of perio | pub=World Bank | cols: country, date, value, indicator
[5911] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, Exchange rat | pub=World Bank | cols: country, date, value, indicator
[5912] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, Beginning po | pub=World Bank | cols: country, date, value, indicator
[5913] Net Ext. Debt Position, Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5914] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, Other chg in | pub=World Bank | cols: country, date, value, indicator
[5915] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, Other price  | pub=World Bank | cols: country, date, value, indicator
[5916] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, Transactions | pub=World Bank | cols: country, date, value, indicator
[5917] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5918] Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, Beginning of period, US | pub=World Bank | cols: country, date, value, indicator
[5919] Ext. Assets in Debt Instruments, General Government, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5920] Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5921] Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5922] Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5923] Net Ext. Debt Position, General Government, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5924] Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5925] Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5926] Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5927] Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5928] Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5929] Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[5930] Ext. Assets in Debt Instruments, Central Bank, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5931] Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[5932] Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[5933] Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[5934] Net Ext. Debt Position, Central Bank, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5935] Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[5936] Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[5937] Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[5938] Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
[5939] Gross Ext. Debt Pos., Nonfinancial corporations, Short-term, Currency and deposits, USD | pub=World Bank | cols: country, date, value, indicator
