[9278] Borrowed from a financial institution or used a credit card (% ages 15-34) | pub=World Bank | cols: country, date, value, indicator
[9279] Borrowed from a financial institution or used a credit card (% ages 35-59) | pub=World Bank | cols: country, date, value, indicator
[9280] Borrowed from a financial institution or used a credit card (% age 60+) | pub=World Bank | cols: country, date, value, indicator
[9283] Borrowed from family or friends, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9284] Borrowed from family or friends, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9285] Borrowed from family or friends, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9287] Borrowed from family or friends, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9288] Borrowed from family or friends, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9289] Borrowed from family or friends, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9290] Borrowed from family or friends, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9291] Borrowed from family or friends, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9292] Borrowed from family or friends, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9293] Borrowed from family or friends, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9296] Borrowed from a savings club, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9297] Borrowed from a savings club, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9298] Borrowed from a savings club, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9300] Borrowed from a savings club, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9301] Borrowed from a savings club, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9302] Borrowed from a savings club, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9303] Borrowed from a savings club, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9304] Borrowed from a savings club, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9305] Borrowed from a savings club, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9306] Borrowed from a savings club, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9309] Borrowed for health or medical purposes, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9310] Borrowed for health or medical purposes, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9311] Borrowed for health or medical purposes, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9313] Borrowed for health or medical purposes, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9314] Borrowed for health or medical purposes, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9315] Borrowed for health or medical purposes, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9316] Borrowed for health or medical purposes, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9317] Borrowed for health or medical purposes, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9318] Borrowed for health or medical purposes, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9319] Borrowed for health or medical purposes, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9322] Borrowed to start or operate a business, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9323] Borrowed to start or operate a business, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9324] Borrowed to start or operate a business, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9326] Borrowed to start or operate a business, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9327] Borrowed to start or operate a business, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9328] Borrowed to start or operate a business, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
