[3280] Can use WhatsApp on basic text phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3281] Can use WhatsApp on basic text phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3282] Can use WhatsApp on basic text phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3283] Can use WhatsApp on basic text phone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3284] Can use WhatsApp on basic text phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3285] Can use WhatsApp on basic text phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3286] Can use WhatsApp on basic text phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3287] Can use WhatsApp on basic text phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3288] Can use WhatsApp on basic text phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3289] Can use WhatsApp on basic text phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3290] Can use WhatsApp on basic text phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3291] Can use WhatsApp on basic text phone (% basic phone owners, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3294] SIM number registered in own name, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3295] SIM number registered in own name, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3296] SIM number registered in own name, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3298] SIM number registered in own name, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3299] SIM number registered in own name, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3300] SIM number registered in own name, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3301] SIM number registered in own name, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3302] SIM number registered in own name, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3303] SIM number registered in own name, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3304] SIM number registered in own name, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3305] SIM number registered in own name (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3308] Daily mobile phone use, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3309] Daily mobile phone use, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3310] Daily mobile phone use, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3312] Daily mobile phone use, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3313] Daily mobile phone use, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3314] Daily mobile phone use, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3315] Daily mobile phone use, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3316] Daily mobile phone use, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3317] Daily mobile phone use, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
