[13621] Median earnings per month in the agricultural sector, aged 15-64, local currency values, primary edu | pub=World Bank | cols: country, date, value, indicator
[13622] Median earnings per month in the agricultural sector, aged 15-64, local currency values, male | pub=World Bank | cols: country, date, value, indicator
[13623] Median earnings per month in the agricultural sector, aged 25-64, local currency values | pub=World Bank | cols: country, date, value, indicator
[13624] Median earnings per month in the agricultural sector, aged 15-64, local currency values, rural | pub=World Bank | cols: country, date, value, indicator
[13625] Median earnings per month in the agricultural sector, aged 15-64, local currency values, urban | pub=World Bank | cols: country, date, value, indicator
[13626] Median earnings per month in the agricultural sector, aged 15-24, local currency values | pub=World Bank | cols: country, date, value, indicator
[13627] Wage employment in agriculture, aged 25-64 (% of workers aged 25-64 in the agricultural sector) | pub=World Bank | cols: country, date, value, indicator
[13628] Wage employment in agriculture, aged 15-64, rural (% of rural workers in the agricultural sector) | pub=World Bank | cols: country, date, value, indicator
[13629] Wage employment in agriculture, aged 15-64, urban (% of urban workers in the agricultural sector) | pub=World Bank | cols: country, date, value, indicator
[13630] Wage employment in agriculture, aged 15-24 (% of workers aged 15-24 in the agricultural sector) | pub=World Bank | cols: country, date, value, indicator
[13631] Wage employment in agriculture, aged 15-64, total (% of total workers in the agricultural sector) | pub=World Bank | cols: country, date, value, indicator
[13632] Average number of completed years in formal education, aged 17 and above, total | pub=World Bank | cols: country, date, value, indicator
[13633] Average number of completed years in formal education, aged 17 and above, female | pub=World Bank | cols: country, date, value, indicator
[13634] Average number of completed years in formal education, aged 17 and above, above primary education | pub=World Bank | cols: country, date, value, indicator
[13635] Average number of completed years in formal education, aged 17 and above, primary education and belo | pub=World Bank | cols: country, date, value, indicator
[13636] Average number of completed years in formal education, aged 17 and above, male | pub=World Bank | cols: country, date, value, indicator
[13637] Average number of completed years in formal education, aged 25 and above | pub=World Bank | cols: country, date, value, indicator
[13638] Average number of completed years in formal education, aged 17 and above, rural | pub=World Bank | cols: country, date, value, indicator
[13639] Average number of completed years in formal education, aged 17 and above, urban | pub=World Bank | cols: country, date, value, indicator
[13640] Average number of completed years in formal education, aged 17-24 | pub=World Bank | cols: country, date, value, indicator
[13641] Youth employment rate, aged 15-24, female (% of female youth labor force) | pub=World Bank | cols: country, date, value, indicator
[13642] Youth employment rate, aged 15-24, above primary education (% of youth labor force with high educati | pub=World Bank | cols: country, date, value, indicator
[13643] Youth employment rate, aged 15-24, primary education and below (% of youth labor force with low educ | pub=World Bank | cols: country, date, value, indicator
[13644] Youth employment rate, aged 15-24, male (% of male youth labor force) | pub=World Bank | cols: country, date, value, indicator
[13645] Youth employment rate, aged 15-24, rural (% of rural youth labor force) | pub=World Bank | cols: country, date, value, indicator
[13646] Youth employment rate, aged 15-24, urban (% of urban youth labor force) | pub=World Bank | cols: country, date, value, indicator
[13647] Youth employment rate, aged 15-24, total (% of total youth labor force) | pub=World Bank | cols: country, date, value, indicator
[13648] Employment rate, aged 15-64, female (% of female labor force in working age) | pub=World Bank | cols: country, date, value, indicator
[13649] Employment rate, aged 15-64, above primary education (% of labor force with high education in workin | pub=World Bank | cols: country, date, value, indicator
