[10009] Made a utility payment: using an account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10010] Made a utility payment: using an account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10011] Made a utility payment: using an account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10012] Made a utility payment: using an account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10013] Made a utility payment: using an account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10014] Made a utility payment: using an account (% who paid utility bills, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10015] Made a utility payment: using a bank or similar financial institution account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10016] Made a utility payment: using a bank or similar financial institution account, primary education or  | pub=World Bank | cols: country, date, value, indicator
[10017] Made a utility payment: using a bank or similar financial institution account, secondary education o | pub=World Bank | cols: country, date, value, indicator
[10018] Made a utility payment: using a bank or similar financial institution account, poorest 40% (% age 15 | pub=World Bank | cols: country, date, value, indicator
[10019] Made a utility payment: using a bank or similar financial institution account, richest 60% (% age 15 | pub=World Bank | cols: country, date, value, indicator
[10020] Made a utility payment: using a bank or similar financial institution account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10021] Made a utility payment: using a bank or similar financial institution account (% who paid utility bi | pub=World Bank | cols: country, date, value, indicator
[10024] Made a utility payment: using a mobile phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10025] Made a utility payment: using a mobile phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10026] Made a utility payment: using a mobile phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10028] Made a utility payment: using a mobile phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10029] Made a utility payment: using a mobile phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10030] Made a utility payment: using a mobile phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10031] Made a utility payment: using a mobile phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10032] Made a utility payment: using a mobile phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10033] Made a utility payment: using a mobile phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10034] Made a utility payment: using a mobile phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10035] Made a utility payment: using a mobile phone (% who paid utility bills, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10036] Made a utility payment: by handing cash to bank staff or an agent  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10039] Made a utility payment: using cash only, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10040] Made a utility payment: using cash only, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10041] Made a utility payment: using cash only, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10043] Made a utility payment: using cash only, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10044] Made a utility payment: using cash only, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10045] Made a utility payment: using cash only, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10046] Made a utility payment: using cash only, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10047] Made a utility payment: using cash only, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10048] Made a utility payment: using cash only, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10049] Made a utility payment: using cash only, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10050] Made a utility payment: using cash only (% who paid utility bills, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10053] Received wages, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
