[4907] Gross Ext. Debt Pmt, All Sectors, More than 6 to 9, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4908] Gross Ext. Debt Pmt, All Sectors, Immediate, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4909] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, All instruments, Principal,  | pub=World Bank | cols: country, date, value, indicator
[4910] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, All instruments, Principal, | pub=World Bank | cols: country, date, value, indicator
[4911] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, All instruments, Principal | pub=World Bank | cols: country, date, value, indicator
[4912] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, All instruments, Principal | pub=World Bank | cols: country, date, value, indicator
[4913] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, All instruments, Principal, US | pub=World Bank | cols: country, date, value, indicator
[4914] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, All instruments, Principal,  | pub=World Bank | cols: country, date, value, indicator
[4915] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 6 to 9, All instruments, Principal,  | pub=World Bank | cols: country, date, value, indicator
[4916] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, Immediate, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4917] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, One year or less, All instruments, Principal, U | pub=World Bank | cols: country, date, value, indicator
[4918] Ext. Debt Service Pmt, General Government, More than 0 to 3, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4919] Ext. Debt Service Pmt, General Government, More than 9 to 12, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4920] Ext. Debt Service Pmt, General Government, More than 12 to 18, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4921] Ext. Debt Service Pmt, General Government, More than 18 to 24, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4922] Ext. Debt Service Pmt, General Government, More than 2yrs, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4923] Ext. Debt Service Pmt, General Government, More than 3 to 6, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4924] Ext. Debt Service Pmt, General Government, More than 6 to 9, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4925] Ext. Debt Service Pmt, General Government, Immediate, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4926] Gross Ext. Debt Pos., General Government, One year or less, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4927] Ext. Debt Service Pmt, DI: Intercom Lending, More than 0 to 3, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4928] Ext. Debt Service Pmt, DI: Intercom Lending, More than 9 to 12, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4929] Ext. Debt Service Pmt, DI: Intercom Lending, More than 12 to 18, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4930] Ext. Debt Service Pmt, DI: Intercom Lending, More than 18 to 24, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4931] Ext. Debt Service Pmt, DI: Intercom Lending, More than 2yrs, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4932] Ext. Debt Service Pmt, DI: Intercom Lending, More than 3 to 6, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4933] Ext. Debt Service Pmt, DI: Intercom Lending, More than 6 to 9, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4934] Ext. Debt Service Pmt, DI: Intercom Lending, Immediate, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4935] Gross Ext. Debt Pos., DI: Intercom Lending, One year or less, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4936] Ext. Debt Service Pmt, Public and Publicly Guar. Private Sector Ext. Debt, Immediately, All instrume | pub=World Bank | cols: country, date, value, indicator
[4937] Ext. Debt Service Pmt, All Sectors, Immediate, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4938] Ext. Debt Service Pmt, Central Bank, More than 0 to 3, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4939] Ext. Debt Service Pmt, Central Bank, More than 9 to 12, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4940] Ext. Debt Service Pmt, Central Bank, More than 12 to 18, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4941] Ext. Debt Service Pmt, Central Bank, More than 18 to 24, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4942] Ext. Debt Service Pmt, Central Bank, More than 2yrs, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4943] Ext. Debt Service Pmt, Central Bank, More than 3 to 6, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4944] Ext. Debt Service Pmt, Central Bank, More than 6 to 9, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4945] Ext. Debt Service Pmt, Central Bank, Immediate, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4946] Gross Ext. Debt Pos., Central Bank, One year or less, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4947] Ext. Debt Service Pmt, Other Sectors, More than 0 to 3, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4948] Ext. Debt Service Pmt, Other Sectors, More than 9 to 12, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4949] Ext. Debt Service Pmt, Other Sectors, More than 12 to 18, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4950] Ext. Debt Service Pmt, Other Sectors, More than 18 to 24, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4951] Ext. Debt Service Pmt, Other Sectors, More than 2yrs, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4952] Ext. Debt Service Pmt, Other Sectors, More than 3 to 6, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4953] Ext. Debt Service Pmt, Other Sectors, More than 6 to 9, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4954] Ext. Debt Service Pmt, Other Sectors, Immediate, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4955] Gross Ext. Debt Pos., Other Sectors, One year or less, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4956] Gross Ext. Debt Pos., All Sectors, One year or less, All instruments, Principal, USD | pub=World Bank | cols: country, date, value, indicator
[4957] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 0 to 3, Debt liab. to fellow ent., Principal, U | pub=World Bank | cols: country, date, value, indicator
[4958] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 9 to 12, Debt liab. to fellow ent., Principal,  | pub=World Bank | cols: country, date, value, indicator
[4959] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 12 to 18, Debt liab. to fellow ent., Principal, | pub=World Bank | cols: country, date, value, indicator
[4960] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 18 to 24, Debt liab. to fellow ent., Principal, | pub=World Bank | cols: country, date, value, indicator
[4961] Gross Ext. Debt Pmt, DI: Intercom Lending, More than 2yrs, Debt liab. to fellow ent., Principal, USD | pub=World Bank | cols: country, date, value, indicator
