[4152] Climate-related liabilities | pub=World Bank | cols: country, date, value, indicator
[4153] Fiscal risks arising from climate-related contingent liabilities | pub=World Bank | cols: country, date, value, indicator
[4154] Climate-related debt and guarantees | pub=World Bank | cols: country, date, value, indicator
[4155] Climate-responsive public procurement | pub=World Bank | cols: country, date, value, indicator
[4156] Climate-responsive public procurement framework | pub=World Bank | cols: country, date, value, indicator
[4157] Climate-responsive public procurement operations | pub=World Bank | cols: country, date, value, indicator
[4158] Climate-responsive public procurement monitoring | pub=World Bank | cols: country, date, value, indicator
[4159] Climate-responsive public procurement reporting | pub=World Bank | cols: country, date, value, indicator
[4160] Climate-responsive tax administration | pub=World Bank | cols: country, date, value, indicator
[4161] Climate-related tax management, audit, and investigation | pub=World Bank | cols: country, date, value, indicator
[4162] Climate-related tax arrears | pub=World Bank | cols: country, date, value, indicator
[4197] Central Government External Debt (US$) | pub=World Bank | cols: country, date, value, indicator
[4198] Official aid provided to part II countries (current US$) | pub=World Bank | cols: country, date, value, indicator
[4243] Non-financial Pub. Enterprises Ext. Debt (US$) | pub=World Bank | cols: country, date, value, indicator
[4244] Pub. LT Debt, IBRD&IDA (US$, IBRD DRS - end of year) | pub=World Bank | cols: country, date, value, indicator
[4245] Pub. LT Debt, Official Creditors(US$, IBRD DRS) | pub=World Bank | cols: country, date, value, indicator
[4246] Pub. LT Debt, Private Creditors (US$, IBRD DRS) | pub=World Bank | cols: country, date, value, indicator
[4247] Public/Pub. Guar. Long-Term Debt(US$, IBRD DRS) | pub=World Bank | cols: country, date, value, indicator
[4248] Use of Fund Credit (US$, end of year) | pub=World Bank | cols: country, date, value, indicator
[4257] Digitally enabled account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4258] Digitally enabled account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4259] Digitally enabled account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4261] Digitally enabled account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[4262] Digitally enabled account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[4263] Digitally enabled account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4264] Digitally enabled account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4265] Digitally enabled account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4266] Digitally enabled account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4267] Digitally enabled account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[4268] Repay on Long-Term Loans (US$, as per IBRD DRS) | pub=World Bank | cols: country, date, value, indicator
