[24675] (De Facto) Average score for the extent to which principals master problem-solving in the short-term | pub=World Bank | cols: country, date, value, indicator
[24676] (De Facto) Average score for the extent to which principals master problem-solving in the short-term | pub=World Bank | cols: country, date, value, indicator
[24677] (De Facto) Average score for the extent to which principals master problem-solving in the short-term | pub=World Bank | cols: country, date, value, indicator
[24678] (De Facto) Average score for the extent to which principals master problem-solving in the short-term | pub=World Bank | cols: country, date, value, indicator
[24679] (De Facto) Average score for the extent to which principals master goal-setting in the long term | pub=World Bank | cols: country, date, value, indicator
[24680] (De Facto) Average score for the extent to which principals master goal-setting in the long term - F | pub=World Bank | cols: country, date, value, indicator
[24681] (De Facto) Average score for the extent to which principals master goal-setting in the long term - M | pub=World Bank | cols: country, date, value, indicator
[24682] (De Facto) Average score for the extent to which principals master goal-setting in the long term - R | pub=World Bank | cols: country, date, value, indicator
[24683] (De Facto) Average score for the extent to which principals master goal-setting in the long term - U | pub=World Bank | cols: country, date, value, indicator
[24685] Proficiency by Grade 2/3 | pub=World Bank | cols: country, date, value, indicator
[24686] (De Facto) Percent of children proficient in literacy and numeracy by grade 2/3, as reported by UIS | pub=World Bank | cols: country, date, value, indicator
[24687] Persistence to grade 4, female (% of cohort) | pub=World Bank | cols: country, date, value, indicator
[24688] Persistence to grade 4, male (% of cohort) | pub=World Bank | cols: country, date, value, indicator
[24689] Persistence to grade 4, total (% of cohort) | pub=World Bank | cols: country, date, value, indicator
[24696] Primary school pupil-teacher ratio | pub=World Bank | cols: country, date, value, indicator
[24700] Policy Lever (School Management) - Attraction | pub=World Bank | cols: country, date, value, indicator
[24701] (De Jure) Do the national policies governing the education system portray the position of principal  | pub=World Bank | cols: country, date, value, indicator
[24702] (De Facto) Average principal salary as percent of GDP per capita | pub=World Bank | cols: country, date, value, indicator
[24703] (De Facto) Percent of principals reporting being satisfied or very satisfied with their social statu | pub=World Bank | cols: country, date, value, indicator
[24704] (De Facto) Policy Lever (School Management) - Attraction | pub=World Bank | cols: country, date, value, indicator
[24705] (De Jure) Policy Lever (School Management) - Attraction | pub=World Bank | cols: country, date, value, indicator
[24706] Policy Lever (School Management) - Clarity of Functions | pub=World Bank | cols: country, date, value, indicator
[24707] (De Facto) Do you know if the policies governing schools assign responsibility for the implementatio | pub=World Bank | cols: country, date, value, indicator
[24708] (De Jure) Do the policies governing schools assign the responsibility of student learning assessment | pub=World Bank | cols: country, date, value, indicator
[24709] (De Facto) Do you know if the policies governing schools assign responsibility for the implementatio | pub=World Bank | cols: country, date, value, indicator
[24710] (De Jure) Do the policies governing schools assign the responsibility of principal hiring and assign | pub=World Bank | cols: country, date, value, indicator
[24711] (De Facto) Do you know if the policies governing schools assign responsibility for the implementatio | pub=World Bank | cols: country, date, value, indicator
[24712] (De Jure) Do the policies governing schools assign the responsibility of principal supervision and t | pub=World Bank | cols: country, date, value, indicator
[24713] (De Jure) Do the policies governing schools assign the responsibility of maintenance and expansion o | pub=World Bank | cols: country, date, value, indicator
[24714] (De Facto) Do you know if the policies governing schools assign responsibility for the implementatio | pub=World Bank | cols: country, date, value, indicator
[24715] (De Jure) Do the policies governing schools assign the responsibility of procurement of materials? | pub=World Bank | cols: country, date, value, indicator
[24716] (De Facto) Do you know if the policies governing schools assign responsibility for the implementatio | pub=World Bank | cols: country, date, value, indicator
[24717] (De Jure) Do the policies governing schools assign the responsibility of teacher hiring and assignme | pub=World Bank | cols: country, date, value, indicator
[24718] (De Facto) Do you know if the policies governing schools assign responsibility for the implementatio | pub=World Bank | cols: country, date, value, indicator
[24719] (De Jure) Do the policies governing schools assign the responsibility of teacher supervision, traini | pub=World Bank | cols: country, date, value, indicator
[24720] (De Facto) Do you know if the policies governing schools assign responsibility for the implementatio | pub=World Bank | cols: country, date, value, indicator
[24721] (De Facto) Policy Lever (School Management) - Clarity of Functions | pub=World Bank | cols: country, date, value, indicator
[24722] (De Jure) Policy Lever (School Management) - Clarity of Functions | pub=World Bank | cols: country, date, value, indicator
[24723] Policy Lever (School Management) - Evaluation | pub=World Bank | cols: country, date, value, indicator
[24724] (De Jure) Is there a policy that specifies the need to monitor principal or head teacher performance | pub=World Bank | cols: country, date, value, indicator
[24725] (De Jure) Is the criteria to evaluate principals clear and includes multiple factors? | pub=World Bank | cols: country, date, value, indicator
[24726] (De Facto) Percent of principals that report having been evaluated  during the last school year | pub=World Bank | cols: country, date, value, indicator
[24727] (De Facto) Percent of principals that report having been evaluated on multiple factors | pub=World Bank | cols: country, date, value, indicator
[24728] (De Facto) Percent of principals that report there would be consequences after two negative evaluati | pub=World Bank | cols: country, date, value, indicator
