[9407] Coming up with emergency funds in 30 days: possible, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9408] Coming up with emergency funds in 30 days: possible, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9409] Coming up with emergency funds in 30 days: possible, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9410] Coming up with emergency funds in 30 days: possible, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9411] Coming up with emergency funds in 30 days: possible, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9414] Coming up with emergency funds in 30 days: possible and somewhat difficult, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9415] Coming up with emergency funds in 30 days: possible and somewhat difficult, out of laborforce (% age | pub=World Bank | cols: country, date, value, indicator
[9416] Coming up with emergency funds in 30 days: possible and somewhat difficult, in laborforce (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[9418] Coming up with emergency funds in 30 days: possible and somewhat difficult, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9419] Coming up with emergency funds in 30 days: possible and somewhat difficult, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9420] Coming up with emergency funds in 30 days: possible and somewhat difficult, primary education or les | pub=World Bank | cols: country, date, value, indicator
[9421] Coming up with emergency funds in 30 days: possible and somewhat difficult, secondary education or m | pub=World Bank | cols: country, date, value, indicator
[9422] Coming up with emergency funds in 30 days: possible and somewhat difficult, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9423] Coming up with emergency funds in 30 days: possible and somewhat difficult, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9424] Coming up with emergency funds in 30 days: possible and somewhat difficult, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9427] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, urban ( | pub=World Bank | cols: country, date, value, indicator
[9428] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, out of  | pub=World Bank | cols: country, date, value, indicator
[9429] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, in labo | pub=World Bank | cols: country, date, value, indicator
[9431] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, young ( | pub=World Bank | cols: country, date, value, indicator
[9432] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, older ( | pub=World Bank | cols: country, date, value, indicator
[9433] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, primary | pub=World Bank | cols: country, date, value, indicator
[9434] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, seconda | pub=World Bank | cols: country, date, value, indicator
[9435] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, poorest | pub=World Bank | cols: country, date, value, indicator
[9436] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, richest | pub=World Bank | cols: country, date, value, indicator
[9437] Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, rural ( | pub=World Bank | cols: country, date, value, indicator
[9440] Coming up with emergency funds in 30 days: possible and very difficult, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9441] Coming up with emergency funds in 30 days: possible and very difficult, out of laborforce (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[9442] Coming up with emergency funds in 30 days: possible and very difficult, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9444] Coming up with emergency funds in 30 days: possible and very difficult, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9445] Coming up with emergency funds in 30 days: possible and very difficult, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9446] Coming up with emergency funds in 30 days: possible and very difficult, primary education or less (% | pub=World Bank | cols: country, date, value, indicator
[9447] Coming up with emergency funds in 30 days: possible and very difficult, secondary education or more  | pub=World Bank | cols: country, date, value, indicator
[9448] Coming up with emergency funds in 30 days: possible and very difficult, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9449] Coming up with emergency funds in 30 days: possible and very difficult, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9450] Coming up with emergency funds in 30 days: possible and very difficult, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9453] Less than two weeks can be covered using savings, borrowing, selling something, seeking help from fr | pub=World Bank | cols: country, date, value, indicator
[9454] Less than two weeks can be covered using savings, borrowing, selling something, seeking help from fr | pub=World Bank | cols: country, date, value, indicator
[9455] Less than two weeks can be covered using savings, borrowing, selling something, seeking help from fr | pub=World Bank | cols: country, date, value, indicator
[9457] Less than two weeks can be covered using savings, borrowing, selling something, seeking help from fr | pub=World Bank | cols: country, date, value, indicator
[9458] Less than two weeks can be covered using savings, borrowing, selling something, seeking help from fr | pub=World Bank | cols: country, date, value, indicator
