[2746] Prevalence of diabetes, age-standardized | pub=WHO | desc: Prevalence of diabetes, age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2749] Exclusive breastfeeding under six months | pub=WHO | desc: Exclusive breastfeeding under six months | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2751] Year of most recent survey of adults | pub=WHO | desc: Year of most recent survey of adults | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2754] In-prison STIs diagnosis (number of diagnoses) | pub=WHO | desc: In-prison STIs diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2759] Foodborne years of life lost per case, all ages | pub=WHO | desc: Foodborne years of life lost per case, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2764] Road safety laws and policies | pub=WHO | desc: Road safety laws and policies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2775] Foodborne deaths per 100 000, all ages | pub=WHO | desc: Foodborne deaths per 100 000, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2782] New chronic hepatitis B (HBV) infections (number) | pub=WHO | desc: New chronic hepatitis B (HBV) infections (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2791] Existence of population-based cancer registry | pub=WHO | desc: Existence of population-based cancer registry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2792] Type of national cervical cancer screening program | pub=WHO | desc: Type of national cervical cancer screening program | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2793] Existence of a diabetes registry | pub=WHO | desc: Existence of a diabetes registry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2801] Existence of tax on sugar-sweetened beverages | pub=WHO | desc: Existence of tax on sugar-sweetened beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2806] Insufficiently active (crude estimate) | pub=WHO | desc: Insufficiently active (crude estimate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2811] Number of new reported cases of Buruli ulcer | pub=WHO | desc: Number of new reported cases of Buruli ulcer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2813] Tobacco Raise taxes: Tax administration | pub=WHO | desc: Tobacco Raise taxes: Tax administration | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2815] Foodborne deaths, aged 5 years and above | pub=WHO | desc: Foodborne deaths, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2819] Tobacco tax administration: Unique identifier | pub=WHO | desc: Tobacco tax administration: Unique identifier | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2820] Year of latest youth prevalence survey (nonsmoked) | pub=WHO | desc: Year of latest youth prevalence survey (nonsmoked) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2821] Prevalence of gonorrhoea in individuals (%) | pub=WHO | desc: Prevalence of gonorrhoea in individuals (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2822] Cytisine - legally sold | pub=WHO | desc: Cytisine - legally sold | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2826] Radiation Emergencies | pub=WHO | desc: Radiation Emergencies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2831] Patient safety strategic objective (%) | pub=WHO | desc: Patient safety strategic objective (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2833] Number of imported malaria cases | pub=WHO | desc: Number of imported malaria cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2834] Reported use of earmarked tobacco taxes | pub=WHO | desc: Reported use of earmarked tobacco taxes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2835] Tobacco tax revenues - import duties | pub=WHO | desc: Tobacco tax revenues - import duties | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2837] Zoonotic Events and the Human-animal Interface | pub=WHO | desc: Zoonotic Events and the Human-animal Interface | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2845] Ban on tobacco vending machines | pub=WHO | desc: Ban on tobacco vending machines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2849] Workforce availability for assistive technology | pub=WHO | desc: Workforce availability for assistive technology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2851] Funds available per level of the Organization (%) | pub=WHO | desc: Funds available per level of the Organization (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2852] In-prison laboratory tests | pub=WHO | desc: In-prison laboratory tests | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2854] Foodborne years lived with disability per case | pub=WHO | desc: Foodborne years lived with disability per case | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2857] Existence of any subnational radon activity | pub=WHO | desc: Existence of any subnational radon activity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2860] Foodborne disability-adjusted life years, all ages | pub=WHO | desc: Foodborne disability-adjusted life years, all ages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2862] In-prison TB diagnosis (number of diagnoses) | pub=WHO | desc: In-prison TB diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2865] Number of malaria suspects examined by microscopy | pub=WHO | desc: Number of malaria suspects examined by microscopy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2866] Mean hemoglobin level of children aged 6-59 months | pub=WHO | desc: Mean hemoglobin level of children aged 6-59 months | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2867] Estimated number of malaria cases | pub=WHO | desc: Estimated number of malaria cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2868] Zoonotic diseases | pub=WHO | desc: Zoonotic diseases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2870] Chemical Events | pub=WHO | desc: Chemical Events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2871] Estimated number of MDR/RR-TB incident cases | pub=WHO | desc: Estimated number of MDR/RR-TB incident cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2879] National Health Emergency Framework | pub=WHO | desc: National Health Emergency Framework | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2886] Team composition (%) | pub=WHO | desc: Team composition (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2892] Sex workers: Condom use (percent) | pub=WHO | desc: Sex workers: Condom use (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2894] In-prison total deaths | pub=WHO | desc: In-prison total deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2895] Retail price for tobacco and nicotine products | pub=WHO | desc: Retail price for tobacco and nicotine products | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2896] Foodborne illnesses per 100 000 | pub=WHO | desc: Foodborne illnesses per 100 000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2897] Radiation emergencies | pub=WHO | desc: Radiation emergencies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2900] Number of indigenous malaria cases | pub=WHO | desc: Number of indigenous malaria cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2902] HIV, Hepatitis, and STI-related laws and policies | pub=WHO | desc: HIV, Hepatitis, and STI-related laws and policies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2906] Other taxes on beverages (%) | pub=WHO | desc: Other taxes on beverages (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2907] Number of confirmed malaria cases | pub=WHO | desc: Number of confirmed malaria cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2912] Transgender: Condom use (percent) | pub=WHO | desc: Transgender: Condom use (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2920] Domestic Expenditure on Malaria | pub=WHO | desc: Domestic Expenditure on Malaria | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2922] Foodborne deaths per 100 000 | pub=WHO | desc: Foodborne deaths per 100 000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2923] Low birth weight number (in thousands) | pub=WHO | desc: Low birth weight number (in thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2929] Age range of most recent adolescent survey | pub=WHO | desc: Age range of most recent adolescent survey | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2930] Mean HDL cholesterol, crude | pub=WHO | desc: Mean HDL cholesterol, crude | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2931] Foodborne years lived with disability | pub=WHO | desc: Foodborne years lived with disability | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2935] Travel distance to obtain assistive products (%) | pub=WHO | desc: Travel distance to obtain assistive products (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2940] Reported cases of syphilis (number) | pub=WHO | desc: Reported cases of syphilis (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2942] See TOBACCO_INDICATOR | pub=WHO | desc: See TOBACCO_INDICATOR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2944] Foodborne disability-adjusted life years per case | pub=WHO | desc: Foodborne disability-adjusted life years per case | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2951] Status of alcohol sale | pub=WHO | desc: Status of alcohol sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2959] Prevalence of current tobacco use among adults (%) | pub=WHO | desc: Prevalence of current tobacco use among adults (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
