[1877] Health warning labels on pregnancy | pub=WHO | desc: Health warning labels on pregnancy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1886] Regional prevalence, AAFs ,all-cause deaths (%) | pub=WHO | desc: Regional prevalence, AAFs ,all-cause deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1890] Population practising open defecation (%) | pub=WHO | desc: Population practising open defecation (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1892] Number of suicide deaths | pub=WHO | desc: Number of suicide deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1893] National surveys on adult alcohol consumption | pub=WHO | desc: National surveys on adult alcohol consumption | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1894] National surveys on youth alcohol consumption | pub=WHO | desc: National surveys on youth alcohol consumption | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1899] Alcohol-related crimes (% of all crimes) | pub=WHO | desc: Alcohol-related crimes (% of all crimes) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1910] Healthy life expectancy (HALE) at age 60 (years) | pub=WHO | desc: Healthy life expectancy (HALE) at age 60 (years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1911] Adults aged &#8805; 20 years who are obese (%) | pub=WHO | desc: Adults aged &#8805; 20 years who are obese (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1914] Life expectancy at age 60 (years) | pub=WHO | desc: Life expectancy at age 60 (years) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1922] Second-hand smoke attributable deaths | pub=WHO | desc: Second-hand smoke attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1925] Year of national implementation of regulation | pub=WHO | desc: Year of national implementation of regulation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1926] Access restrictions | pub=WHO | desc: Access restrictions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1927] Information requirements | pub=WHO | desc: Information requirements | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1928] Training requirements | pub=WHO | desc: Training requirements | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1929] New cases tested for RR-/MDR-TB (%) | pub=WHO | desc: New cases tested for RR-/MDR-TB (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1930] Treatment success rate: new TB cases | pub=WHO | desc: Treatment success rate: new TB cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1931] Treatment success rate: HIV-positive TB cases | pub=WHO | desc: Treatment success rate: HIV-positive TB cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1935] Number of prevalent tuberculosis cases | pub=WHO | desc: Number of prevalent tuberculosis cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1936] Confirmed cases of MDR-TB | pub=WHO | desc: Confirmed cases of MDR-TB | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1937] New cases: extrapulmonary | pub=WHO | desc: New cases: extrapulmonary | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1943] Most recent census (year) | pub=WHO | desc: Most recent census (year) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1945] New cases: pulmonary smear-negative | pub=WHO | desc: New cases: pulmonary smear-negative | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1946] Relapse cases: extrapulmonary | pub=WHO | desc: Relapse cases: extrapulmonary | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1948] Tuberculosis - new and relapse cases | pub=WHO | desc: Tuberculosis - new and relapse cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1950] Existence of subnational regulation | pub=WHO | desc: Existence of subnational regulation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1951] Restriction and inspection of facilities | pub=WHO | desc: Restriction and inspection of facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1953] Stillbirth rate (per 1000 total births) | pub=WHO | desc: Stillbirth rate (per 1000 total births) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1954] Preterm birth rate (per 100 live births) | pub=WHO | desc: Preterm birth rate (per 100 live births) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1957] Total number of notified TB cases | pub=WHO | desc: Total number of notified TB cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1959] Treatment success rate: XDR-TB cases | pub=WHO | desc: Treatment success rate: XDR-TB cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1964] Tested TB patients HIV-positive (%) | pub=WHO | desc: Tested TB patients HIV-positive (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1966] TB new snuoth | pub=WHO | desc: TB new snuoth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
