[6590] Gross Ext. Debt Pmt, All Sectors, More than 0 to 3, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6591] Gross Ext. Debt Pmt, All Sectors, More than 9 to 12, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6592] Gross Ext. Debt Pmt, All Sectors, More than 12 to 18, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6593] Gross Ext. Debt Pmt, All Sectors, More than 18 to 24, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6594] Gross Ext. Debt Pmt, All Sectors, More than 2yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6595] Gross Ext. Debt Pmt, All Sectors, More than 3 to 6, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6596] Gross Ext. Debt Pmt, All Sectors, More than 6 to 9, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6597] Gross Ext. Debt Pmt, All Sectors, Immediate, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6598] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, All instruments, Interest, U | pub=World Bank | cols: country, date, value, indicator
[6599] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, All instruments, Interest,  | pub=World Bank | cols: country, date, value, indicator
[6600] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, All instruments, Interest, | pub=World Bank | cols: country, date, value, indicator
[6601] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, All instruments, Interest, | pub=World Bank | cols: country, date, value, indicator
[6602] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6603] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, All instruments, Interest, U | pub=World Bank | cols: country, date, value, indicator
[6604] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 6 to 9, All instruments, Interest, U | pub=World Bank | cols: country, date, value, indicator
[6605] Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, Immediate, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
