[17252] World Bank: Private institution fees, tertiary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17253] World Bank: Share of total tertiary education expenditures for non-poor students (%) | pub=World Bank | cols: country, date, value, indicator
[17254] World Bank: Share of education expenditures for the poorest 40% of students (%), Tertiary | pub=World Bank | cols: country, date, value, indicator
[17255] World Bank: Share of total tertiary education expenditures for poor students (%) | pub=World Bank | cols: country, date, value, indicator
[17256] World Bank: Share of tertiary education expenditures for Quintile 1 (poorest) (%) | pub=World Bank | cols: country, date, value, indicator
[17257] World Bank: Share of tertiary education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[17258] World Bank: Share of tertiary education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[17259] World Bank: Share of tertiary education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[17260] World Bank: Share of tertiary education expenditures for Quintile 5 (richest) (%) | pub=World Bank | cols: country, date, value, indicator
[17261] World Bank: Share of education expenditures for the richest 40% of students (%), Tertiary | pub=World Bank | cols: country, date, value, indicator
[17262] World Bank: Recurrent share of tertiary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17263] World Bank: Tertiary recurrent expenditures as a share of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[17264] World Bank: Recurrent expenditures per tertiary student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17265] World Bank: Share of total recurrent education expenditure (%), tertiary | pub=World Bank | cols: country, date, value, indicator
[17266] World Bank: Salaries' share of tertiary education expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17267] World Bank: Ratio of Teacher Salaries to per capita GDP, tertiary | pub=World Bank | cols: country, date, value, indicator
[17268] World Bank: Salary expenditures per tertiary student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17269] World Bank: Share of recurrent education expenditures for tertiary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17270] World Bank: Share of total salary expenditures for tertiary (%) | pub=World Bank | cols: country, date, value, indicator
[17271] World Bank: Salaries' share of tertiary recurrent expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17272] World Bank: Share of total education expenditures for tertiary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17273] World Bank: Average Annual Teacher Salary (in USD or local currency), tertiary | pub=World Bank | cols: country, date, value, indicator
[17274] World Bank: Share of tertiary education expenditures for private institutions (%) | pub=World Bank | cols: country, date, value, indicator
[17275] World Bank: Share of teachers for tertiary education (%) | pub=World Bank | cols: country, date, value, indicator
[17276] World Bank: Share of tertiary recurrent expenditures for teaching/learning materials (%) | pub=World Bank | cols: country, date, value, indicator
[17277] World Bank: Share of tertiary expenditures for teaching/learning materials (%) | pub=World Bank | cols: country, date, value, indicator
[17278] World Bank: Teaching/Non-Teaching Staff Ratio, tertiary | pub=World Bank | cols: country, date, value, indicator
[17279] World Bank: Share of total education expenditure for tertiary education (%) | pub=World Bank | cols: country, date, value, indicator
[17280] World Bank: Capital share of total education expenditure (%), tertiary | pub=World Bank | cols: country, date, value, indicator
[17281] World Bank: Total expenditures on tertiary education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17282] World Bank: Share of tertiary recurrent expenditures for transfers (%) | pub=World Bank | cols: country, date, value, indicator
[17283] World Bank: Textbooks, Total Expenditures in USD or local currency | pub=World Bank | cols: country, date, value, indicator
[17284] World Bank: Total Cost of Inefficiencies (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17285] World Bank: Share of total capital education expenditures (%), teacher training | pub=World Bank | cols: country, date, value, indicator
[17286] World Bank: Capital budget execution rate, Teacher Training (%) | pub=World Bank | cols: country, date, value, indicator
[17287] World Bank: Share of education expenditures from international sources for teacher training educatio | pub=World Bank | cols: country, date, value, indicator
[17288] World Bank: Share of teachers who are uncertified (%) | pub=World Bank | cols: country, date, value, indicator
[17289] World Bank: Share of primary teachers who are uncertified (%) | pub=World Bank | cols: country, date, value, indicator
[17290] World Bank: Public education expenditure per student (% of GDP per capita), teacher training | pub=World Bank | cols: country, date, value, indicator
[17291] World Bank: Expenditures per student per year in USD, teacher training | pub=World Bank | cols: country, date, value, indicator
