[16557] World Bank: Capital share of basic education expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16558] World Bank: Share of total capital education expenditure (%), basic | pub=World Bank | cols: country, date, value, indicator
[16559] World Bank: Repetition/Drop-out Inefficiency Cost, basic | pub=World Bank | cols: country, date, value, indicator
[16560] World Bank: Wastage Index (%), Basic Education | pub=World Bank | cols: country, date, value, indicator
[16561] World Bank: Capital education budget execution rate (%), basic | pub=World Bank | cols: country, date, value, indicator
[16562] World Bank: Recurrent education budget execution rate (%), basic | pub=World Bank | cols: country, date, value, indicator
[16563] World Bank: Education budget execution rate, basic (%) | pub=World Bank | cols: country, date, value, indicator
[16564] World Bank: Share of GDP for education expenditures on basic education (%) | pub=World Bank | cols: country, date, value, indicator
[16565] World Bank: Share of basic education recurrent expenditures for goods and services (%) | pub=World Bank | cols: country, date, value, indicator
[16566] World Bank: Household spending per student on room/board for basic education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16567] World Bank: Private/Household spending on basic education, Quintile 1 | pub=World Bank | cols: country, date, value, indicator
[16568] World Bank: Private/Household spending on basic education, Quintile 2 | pub=World Bank | cols: country, date, value, indicator
[16569] World Bank: Private/Household spending on basic education, Quintile 3 | pub=World Bank | cols: country, date, value, indicator
[16570] World Bank: Private/Household spending on basic education, Quintile 4 | pub=World Bank | cols: country, date, value, indicator
[16571] World Bank: Private/Household spending on basic education, Quintile 5 | pub=World Bank | cols: country, date, value, indicator
[16572] World Bank: Household spending per student on textbooks for basic education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16573] World Bank: Household spending per student on transportation for basic education (USD or local curre | pub=World Bank | cols: country, date, value, indicator
[16574] World Bank: Household spending per student on tuition for basic education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16575] World Bank: Household spending per student on uniforms/clothing for basic education (USD or local cu | pub=World Bank | cols: country, date, value, indicator
[16576] World Bank: Total instructional hours in basic education (Grades 1-8) | pub=World Bank | cols: country, date, value, indicator
[16577] World Bank: Share of education expenditures from international sources for basic education (%) | pub=World Bank | cols: country, date, value, indicator
[16578] World Bank: Pupil/Classroom Ratio, basic education | pub=World Bank | cols: country, date, value, indicator
[16579] World Bank: Pupils/Class, basic education | pub=World Bank | cols: country, date, value, indicator
[16580] World Bank: Public education expenditure per student (% of GDP per capita), basic | pub=World Bank | cols: country, date, value, indicator
[16581] World Bank: Per student non-salary spending, basic education (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16582] World Bank: Recurrent expenditures per basic education student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16583] World Bank: Ratio of basic per capita/per student recurrent expenditures relative to primary educati | pub=World Bank | cols: country, date, value, indicator
[16584] World Bank: Expenditures per student per year (in USD or local currency), basic | pub=World Bank | cols: country, date, value, indicator
[16585] World Bank: Pupil/Total Staff Ratio, basic education | pub=World Bank | cols: country, date, value, indicator
[16586] World Bank: Pupil/Teacher Ratio, basic education | pub=World Bank | cols: country, date, value, indicator
[16587] World Bank: Share of basic education expenditures for Quintile 1 (poorest) (%) | pub=World Bank | cols: country, date, value, indicator
[16588] World Bank: Share of basic education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[16589] World Bank: Share of basic education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[16590] World Bank: Share of basic education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[16591] World Bank: Share of basic education expenditures for Quintile 5 (richest) (%) | pub=World Bank | cols: country, date, value, indicator
