[3713] No mobile phone due to reading or typing difficulties, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3714] No mobile phone due to reading or typing difficulties, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3715] No mobile phone due to reading or typing difficulties, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3716] No mobile phone due to reading or typing difficulties, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3717] No mobile phone due to reading or typing difficulties, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3718] No mobile phone due to reading or typing difficulties, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3719] No mobile phone due to reading or typing difficulties, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3720] No mobile phone due to reading or typing difficulties, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3721] No mobile phone due to reading or typing difficulties, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3722] No mobile phone due to reading or typing difficulties, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3723] No mobile phone due to reading or typing difficulties, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3724] No mobile phone due to reading or typing difficulties (% without a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3725] No mobile phone due to family or community disapproval  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3726] No mobile phone due to family or community disapproval, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3727] No mobile phone due to family or community disapproval, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3728] No mobile phone due to family or community disapproval, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3729] No mobile phone due to family or community disapproval, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3730] No mobile phone due to family or community disapproval, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
