[4874] CountyRoads_RRAMS~1k | pub=State of Utah | cols: Asph/Chip: Slippage (Peeling) Crack Density, Grav/Dirt: Lateral Erosion Density, Action Needed, ROW Width, Asph/Chip: Bleeding (Excess asphalt/binder) Density, Grav/Dirt: Sink Hole Severity, Fatal Accidents In 3 Years, Horizontal Alignment, Concrete: Joint Seal Damage Severity, Safety Condition Index
[4875] Metro Township/City Districts | pub=State of Utah | cols: Shape_Area, SQUARE_M, NAME, the_geom, SHAPE_Leng, Shape_STAr, Shape_STLe, Shape_Length, OBJECTID, TYPE
[4877] Railroads | pub=State of Utah | cols: CLASS, the_geom, OBJECTID, SHAPE.STLength()
[4878] CountyRoads_RRAMS~.5k | pub=State of Utah | cols: Asph/Chip: Edge Crack Density, Grav/Dirt: Upheaval Severity, Avg PCI for Project ID, Avg Condition for Project ID, Owned By, Project Length, Concrete: Lane/Shoulder Separation Severity, Surface Thickness, Right ROW Type, Total Recreational Accesses
[4879] FacilitySites_Parks_.5K | pub=State of Utah | cols: Description, GLOBALID, CREATED_DATE, Last Editor, OBJECTID, LAST_EDITED_DATE, SHAPE_Area, Owner Type, Last Update Date, Subtype Field
[4880] Parcels 2003_data | pub=State of Utah | cols: ACRES, the_geom, SITADDRESS, ANO, USER_, SERNO, OBJECTID, SHAPE.STLength(), SHAPE.STArea(), PERIMETER
[4881] Immediate Action Needed | pub=State of Utah | cols: Date Added, Resolved By, Segment ID, Last Editor, Project ID, OBJECTID, Latitude, Action Type, Other Action Needed, Severity
[4882] CountyRoads_RRAMS~.25k | pub=State of Utah | cols: Shoulder Width Condition, Grav/Dirt: Sink Hole Density, Left Lane Width, Right ROW, Accident Rating, Total Ag PrimaryAccesses, Owned By, Grav/Dirt: Dust Severity, Asph/Chip: Longitudinal (Seam) Cracking Density, Asph/Chip: Edge Crack Density
[4883] Post Construction Sites | pub=State of Utah | cols: last_edited_date, OBJECTID, PHONENUMBER, GlobalID, created_user, LOCATION, MAILINGADDRESS, SITENAME, last_edited_user, EMAIL
[4885] Culverts | pub=State of Utah | cols: AW_SEGMENTID, ACTION_NEEDED, PIPE_SIZE, DEPTH_OUTLET, EDGE_OUTLET, the_geom, DEPTH_INLET, PIPE_LENGTH, LATITUDE, NOTES
[4887] NED30_County_data | pub=State of Utah | cols: WORLDFILE, EXT, the_geom, DATE, METADATA, SHAPE_Length, TILE, SHAPE_Area, OBJECTID, PATH
[4888] Hydrants | pub=State of Utah | cols: VDEPTH, COLLTBY, MAP_NO, last_edited_date, GPS_DATE, TWENTYPSIFLOW, NORTHING, DATECOLT, LOCATION, APADDRESS
[4889] Utah_Class_II_Injection_Wells | pub=State of Utah | cols: PBTD, FID, Well_Name, Well_Type, Field_Name, Qtr_Qtr, NS, Latitude, TD, Longitude
[4890] Mosquito Spots | pub=State of Utah | cols: Last Sample ID, District Number, Water Source, No species, smashed, pupa, etc., Culiseta incidens, Ochlerotatus nigromaculis, Granular Chemical, Culiseta inornata, Aedes vexans, Ochlerotatus dorsalis
[4892] March | pub=State of Utah | cols: ArcMapEndTime, the_geom, Shape.STLength(), ArcMapStartTime, DataMonth, ColorCode, EndTime, OBJECTID, StartTime, VehicleId
[4893] CountyRoads_RRAMS~9k | pub=State of Utah | cols: FAE Route Number, Asph/Chip: Corrugation Severity, Surface Thickness, Left Drainage Comments, Road Base Type Rating, Drainage, ADT Source, Other Segment Value, Concrete: Pumping (Rocking Panels) Severity, Safety Condition Index
[4894] Elementary School Boundaries | pub=State of Utah | cols: OBJECTID, Id, Shape.len, Shape.area, School, Shape_Leng, URL, OBJECTID_1, the_geom
[4895] Parcels | pub=State of Utah | cols: Township, Range, num_housing_units, Tax_Class2_Desc, own_apt_num, total_adjusted, full_mkt_total_land, Property_Type_Desc, Tax_District_2022, Section_
[4899] Subdivision_blacklabel | pub=State of Utah | cols: ENTRYNO, Book & Page, ENTRYYR, LAST_EDITED_DATE, OBJECTID, NeedsTo Be Redrawn, SHAPE_Length, Sub or Condo Name, Subdivision Name, BOOK_PAGE
[4900] Address Points | pub=State of Utah | cols: BW_AREA, BW_DATE, Address, Addy_ID, Parcel_Id, OBJECTID, the_geom
[4901] Fire Station | pub=State of Utah | cols: CATEGORY, HAS_FOOTPRINT, the_geom, Longitude, Latitude, TYPE, NAME, OBJECTID, Address
[4902] Deed points~.75K | pub=State of Utah | cols: SCALE, ParcelID Label, CREATED_USER, Parcel Identification Number, DOC_OWNER, MAP#, Book & Page, ANGLE, OBJECTID, TYPE
[4903] VistaBallotAreas_data | pub=State of Utah | cols: EffectiveDate, AliasName, GlobalID, SubPrecinctID, PrecinctID, CountyID, VersionNbr, SHAPE_Length, Comments, OBJECTID
[4905] Traffic Data | pub=State of Utah | cols: SITEID, AADT2010, PCARS2012, LAYER_ID, ROUTE, GRWTH2012, PTRKSU2012, ROUTE_DIR_, AADT2012, OBJECTID
[4906] Bike Route - existing | pub=State of Utah | cols: Connectivity Score, Bike Score, Lane Length, Asset ID, the_geom, Maintenance Performed, Construction Year, Maintenance Year, Lanes, From ADD
[4908] Fire Station Labels | pub=State of Utah | cols: NAME, Latitude, OBJECTID, HAS_FOOTPRINT, Longitude, the_geom, Address, CATEGORY, TYPE
[4909] Meters | pub=State of Utah | cols: Yoke Length, WATER_ENTITY, RuleID, InspectionDate, Yoke Diameter, GPS_DATE, READING_CYCLE, OBJECTID, NORTHING, LOCATION
[4911] South Dispain Pressurized | pub=State of Utah | cols: GlobalID, created_user, the_geom, last_edited_user, Shape.len, OBJECTID, SIZE, created_date, HasAttachment, NAME
[4913] LiDAR2016_50cm_UtahLake_DSM_Tiles_data | pub=State of Utah | cols: OBJECTID, TILE, the_geom, SHAPE_Length, SHAPE_Area, SIZE, PATH, EXT
[4916] NAIP2004_QQuads_data | pub=State of Utah | cols: DATE, METADATA, EXT, PATH, WORLDFILE, TILE, SHAPE_Area, the_geom, OBJECTID, SIZE
[4917] Deed points~.125 | pub=State of Utah | cols: CREATED_USER, the_geom, ANGLE, SCALE, Book & Page, MAP#, Parcel Identification Number, GLOBALID, ParcelID Label, OBJECTID
[4919] Active Sales Contracts_data | pub=State of Utah | cols: GlobalID, the_geom, Shape.STArea(), lseacres, OBJECTID, Shape.STLength(), suffix, app_con_lcd, leasegis, descr
[4920] Languages | pub=State of Utah | cols: num_speakers_1, lang_1, lang_2, num_speakers_5, lang_5, lang_4, num_speakers_3, lang_3, the_geom, lang_6
[4921] parcel_polygon | pub=State of Utah | cols: SOURCE, CREATED_USER, LAST_EDIT_USER, TRAVNUM, SHAPE_Area, SHAPE_Length, GLOBALID, LAST_EDIT_DATE, BOOKPAGE, the_geom
[4923] Parks | pub=State of Utah | cols: AgencyName, OtherProt, Baseball_Lighting, OwnerType, EditDate, ParkStatus, Municipality, RefComment, Basketball_Lighting, NAME
[4924] Lehi Zoning | pub=State of Utah | cols: DATASOURCENAME, LEHI ZONE LABEL, DOCUMENT DATE, GLOBALID, LEHI ZONE DESCRIPTION, ZONECLASS, SHAPE_Area, SHAPE_Length, ISVISIBLE, LASTEDITOR
[4925] ZoomLocations_data | pub=State of Utah | cols: the_geom, Name, Type, OBJECTID, SHAPE_Area, SHAPE_Length
[4926] Parcels 2013_data | pub=State of Utah | cols: SHAPE.STLength(), SHAPE.STArea(), TAX_ID, SUB_NAME, ZIPCODE, HOUSE_DIR, ACCOUNT, DED_NAME, COMMUNITY, the_geom
[4927] SITLA Active Development Leases_data | pub=State of Utah | cols: OBJECTID, leasegis, nbr, expiredt, canceldt, classvalue, production_status, customer_name, lseacres, expireyy
[4928] CountyRoads_RRAMS~4k | pub=State of Utah | cols: Avg TCI for Project ID, Right Drainage Comments, Total Segment Value_2, Concrete: Longitudinal Cracking Density, Asph/Chip: Excavation Failure Density, Speed Limit, Left Drain Type, Avg ROW Width on Project ID, Concrete: Lane/Shoulder Separation Severity, Asph/Chip: Alligator (Fatigue) Crack Density
[4929] Open Work Orders | pub=State of Utah | cols: Project ID, GLOBALID, the_geom, Date Added, Action Type, Work Order ID, Last Editor, Action Added By, Date Resolved, Work Order Status
[4930] Earthquake Ground Acceleration Salt Lake City HIRES_data | pub=State of Utah | cols: OBJECTID, GRIDCODE, the_geom, SHAPE_Area, SHAPE_Length
[4933] Districts | pub=State of Utah | cols: Name, the_geom, Council_Member, City_Counc, Link_to_Bio, Shape.len, Link_to_Photo, OBJECTID, Shape.area
[4935] Transportation_data | pub=State of Utah | cols: NAME, Access, Notes, PAVE_WIDTH, MPRAlign_Status, SOURCE, the_geom, OBJECTID, ROW_WIDTH, S_FUNC
[4936] Cemeteries | pub=State of Utah | cols: the_geom, City, Shape.area, Phone, OBJECTID, NAME, Number_of_Burials, First_Burial, Shape.len, Owner
[4938] Fence Wall | pub=State of Utah | cols: OBJECTID, AssetID, Material, Address, Color, MaterialSize, Style, Height, Comment, Location
[4939] Waterways | pub=State of Utah | cols: CHANNEL_TYPE, the_geom, InPark, CLASS, OBJECTID, Municipality, NAME, Shape.len, CLASS___TYPE
