[922] Out-of-pocket expenditure (OOP) per capita in US$ | pub=WHO | desc: Out-of-pocket expenditure (OOP) per capita in US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[924] Public-private partnerships for eHealth | pub=WHO | desc: Public-private partnerships for eHealth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[925] Proportion of public funding | pub=WHO | desc: Proportion of public funding | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[926] Proportion ofpublic private partnerships funding | pub=WHO | desc: Proportion ofpublic private partnerships funding | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[929] National universal health coverage strategy | pub=WHO | desc: National universal health coverage strategy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[930] National eHealth strategy | pub=WHO | desc: National eHealth strategy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[931] Tobacco excises increased over the survey period | pub=WHO | desc: Tobacco excises increased over the survey period | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[939] Social costs of alcohol use in millions US$ | pub=WHO | desc: Social costs of alcohol use in millions US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[945] Adopted written national policy on alcohol | pub=WHO | desc: Adopted written national policy on alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[946] Alcoholic beverage legally defined | pub=WHO | desc: Alcoholic beverage legally defined | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[947] National legislation to prevent illegal alcohol | pub=WHO | desc: National legislation to prevent illegal alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[948] Most sold brand of cigarettes - currency reported | pub=WHO | desc: Most sold brand of cigarettes - currency reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[949] Premium brand of cigarettes - currency reported | pub=WHO | desc: Premium brand of cigarettes - currency reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[952] Advertising restrictions on cable television | pub=WHO | desc: Advertising restrictions on cable television | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[953] Advertising restrictions on cable television | pub=WHO | desc: Advertising restrictions on cable television | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[954] Advertising restrictions on local radio | pub=WHO | desc: Advertising restrictions on local radio | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[955] Advertising restrictions at cinemas | pub=WHO | desc: Advertising restrictions at cinemas | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[958] Social costs of alcohol use in millions US$ | pub=WHO | desc: Social costs of alcohol use in millions US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[959] Alcoholic beverage legally defined | pub=WHO | desc: Alcoholic beverage legally defined | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[962] National smoking ban in HEALTH-CARE FACILITIES | pub=WHO | desc: National smoking ban in HEALTH-CARE FACILITIES | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[963] National smoking ban: FINES FOR VIOLATIONS | pub=WHO | desc: National smoking ban: FINES FOR VIOLATIONS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[964] National smoking ban in GOVERNMENT FACILITIES | pub=WHO | desc: National smoking ban in GOVERNMENT FACILITIES | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[965] Compliance of ban on smoking in INDOOR OFFICES | pub=WHO | desc: Compliance of ban on smoking in INDOOR OFFICES | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[971] Advertising restrictions on the internet | pub=WHO | desc: Advertising restrictions on the internet | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[973] Cheapest brand of cigarettes - currency reported | pub=WHO | desc: Cheapest brand of cigarettes - currency reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[978] Age-standardized death rates, falls, per 100,000 | pub=WHO | desc: Age-standardized death rates, falls, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[984] Alcohol use is banned | pub=WHO | desc: Alcohol use is banned | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[986] Tax structure: Type of excise tax applied | pub=WHO | desc: Tax structure: Type of excise tax applied | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[987] Tax structure: Uniform excise tax | pub=WHO | desc: Tax structure: Uniform excise tax | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[990] Radon in national drinking-water regulations | pub=WHO | desc: Radon in national drinking-water regulations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[993] Radon concentration measurements for new buildings | pub=WHO | desc: Radon concentration measurements for new buildings | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
