[16752] World Bank: Additional cost of teacher education due to HIV/AIDS (USD millions) | pub=World Bank | cols: country, date, value, indicator
[16753] World Bank: Total education expenditure lost to HIV/AIDS (USD millions) | pub=World Bank | cols: country, date, value, indicator
[16754] World Bank: Operations and Maintenance (% of recurrent education expenditure) | pub=World Bank | cols: country, date, value, indicator
[16755] World Bank: Operations and Maintenance (% of total education expenditure) | pub=World Bank | cols: country, date, value, indicator
[16756] World Bank: Pupil/Textbook Ratio | pub=World Bank | cols: country, date, value, indicator
[16757] World Bank: Share of total education expenditures for special education/disabilities (%) | pub=World Bank | cols: country, date, value, indicator
[16758] World Bank: Teaching/learning materials (% of total education expenditures) | pub=World Bank | cols: country, date, value, indicator
[16759] World Bank: Teaching/learning materials (% of total recurrent education expenditures) | pub=World Bank | cols: country, date, value, indicator
[16760] World Bank: Per student transfer by central to subnational government, basic (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16761] World Bank: Central Government Transfers for education (% of GDP) | pub=World Bank | cols: country, date, value, indicator
[16762] World Bank: Per student transfer by central to subnational government (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16763] World Bank: Per student transfer by central to subnational government, pre-primary (USD or local cur | pub=World Bank | cols: country, date, value, indicator
[16764] World Bank: Per student transfer by central to subnational government, primary (USD or local currenc | pub=World Bank | cols: country, date, value, indicator
[16765] World Bank: Share of recurrent education expenditures for transfers (%) | pub=World Bank | cols: country, date, value, indicator
[16766] World Bank: Per student transfer by central to subnational government, secondary (USD or local curre | pub=World Bank | cols: country, date, value, indicator
[16767] World Bank: Per student funding transfer by central government to tertiary institutions (USD or loca | pub=World Bank | cols: country, date, value, indicator
[16768] World Bank: Share of total central government transfers for education (%) | pub=World Bank | cols: country, date, value, indicator
[16769] World Bank: Share of total education expenditures for transfers (%) | pub=World Bank | cols: country, date, value, indicator
[16770] World Bank: Total Transfers (local currency or USD millions) | pub=World Bank | cols: country, date, value, indicator
[16771] World Bank: Ratio of expenditures per student, teacher training to primary | pub=World Bank | cols: country, date, value, indicator
[16772] World Bank: Teacher Training (% of recurrent education expenditures) | pub=World Bank | cols: country, date, value, indicator
[16773] World Bank: Teacher Training (% of total education expenditure) | pub=World Bank | cols: country, date, value, indicator
[16774] World Bank: Textbooks (% of total recurrent education expenditures) | pub=World Bank | cols: country, date, value, indicator
[16775] World Bank: Textbooks (% of total education expenditures) | pub=World Bank | cols: country, date, value, indicator
[16776] World Bank: Utilities (% of recurrent education expenditure) | pub=World Bank | cols: country, date, value, indicator
[16777] World Bank: Utilities (% of total education expenditure) | pub=World Bank | cols: country, date, value, indicator
[16778] World Bank: Share of teachers for primary (%) | pub=World Bank | cols: country, date, value, indicator
[16779] World Bank: Share of pre-primary expenditures for administration (%) | pub=World Bank | cols: country, date, value, indicator
[16780] World Bank: Share of total capital education expenditure (%), pre-primary | pub=World Bank | cols: country, date, value, indicator
[16781] World Bank: Capital share of pre-primary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16782] World Bank: Capital education budget execution rate (%), pre-primary | pub=World Bank | cols: country, date, value, indicator
[16783] World Bank: Recurrent education budget execution rate (%), pre-primary | pub=World Bank | cols: country, date, value, indicator
[16784] World Bank: Education budget execution rate, pre-primary (%) | pub=World Bank | cols: country, date, value, indicator
[16785] World Bank: Share of GDP for education expenditures on pre-primary education (%) | pub=World Bank | cols: country, date, value, indicator
[16786] World Bank: Share of education expenditures from international sources for pre-primary education (%) | pub=World Bank | cols: country, date, value, indicator
[16787] World Bank: Pupil/Classroom Ratio, pre-primary | pub=World Bank | cols: country, date, value, indicator
[16788] World Bank: Pupils/Class, pre-primary | pub=World Bank | cols: country, date, value, indicator
[16789] World Bank: Share of pre-primary schools, privately managed (%) | pub=World Bank | cols: country, date, value, indicator
[16790] World Bank: Public education expenditure per student (% of GDP per capita), pre-primary | pub=World Bank | cols: country, date, value, indicator
[16791] World Bank: Ratio of expenditures per student, pre-primary to primary | pub=World Bank | cols: country, date, value, indicator
