[6026] SepticTanks | pub=State of Utah | cols: FOLDER, PLAT, ModifyTime, SYSTEM_ID, ADDRESS, SERIAL_NO, FIRSTNAME, CITY, LASTNAME, SUBDIVISION
[6028] Detention Ponds | pub=State of Utah | cols: FACILITYID, DDETBASN.AREA, DamSinkHoles, the_geom, FrameGrate, last_edited_user, FloorBench, OWNERSHIP, MaintSched, SpillwayGopher
[6029] UtahQualified | pub=State of Utah | cols: Economic Development District, QOZ, Tract, OBJECTID, Shape.STLength(), State, the_geom, Population, Unemployment Rate (%), County
[6030] Short List Locations | pub=State of Utah | cols: Trees, Short List Email, Contractor_Comments, Shape.STArea(), GlobalID, Short List Curb & Gutter (LF), Short List Phone, Short List Start Date, LastInspectionBy, LastInspection
[6031] Sandy Plow Roads | pub=State of Utah | cols: Shape.len, the_geom, BWAREA, OBJECTID
[6032] Centerlines | pub=State of Utah | cols: ACS_ALIAS, LS_ZONE, COMMENTS, DATA_DATE, SPEED_LIMIT, ACS_STREET, Shape.STLength(), Lcitycd, LZIP, fromright
[6033] Parcels | pub=State of Utah | cols: Wildland_Interface, own_addr, own_apt_num, multi_names, Range, the_geom, tax_class2, Tax_Class1_Desc, year_built, Property_Type_Simple_Desc
[6036] Plat Hook~.5K | pub=State of Utah | cols: OBJECTID, the_geom, GLOBALID, LAST_EDITED_DATE, ANGLE, CREATED_DATE, CREATED_USER, LAST_EDITED_USER, SCALE
[6039] SLCoDistricts | pub=State of Utah | cols: SLCOGIS."SLCOUNTY\KWILSON".%BOARDS_COMMISSIONS.Appointed, SLCOGIS."SLCOUNTY\KWILSON".%BOARDS_COMMISSIONS.District, SLCOGIS."SLCOUNTY\KWILSON".%BOARDS_COMMISSIONS.Voting, Missing, They/Them/Theirs, 2023 Population Age 25-29, District Members, District_2, SLCOGIS."SLCOUNTY\KWILSON".%BOARDS_COMMISSIONS.Type, SLCOGIS."SLCOUNTY\KWILSON".%BOARDS_COMMISSIONS.Additional
[6040] Grill | pub=State of Utah | cols: OBJECTID, the_geom, Location, Address, AssetID, Type
[6041] Hazard Level 2 Severity | pub=State of Utah | cols: Bill - ADA Ramp Fixed, Short List 6in Sidewalk (SF), Short List Start Date, Bill - Waterway / Frog Fixed, Short List Comments, OBJECTID_2, XDA, PARCEL_ID, Address, PSCond
[6043] Blocks | pub=State of Utah | cols: Total population 18 years and over: Population of four races: White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, Non-Hispanic or Latino Population: Population of two races: Asian; Some Other Race, Group quarters population: Other institutional facilities, Non-Hispanic or Latino Population: Population of two races, Total population 18 years and over: Population of three races: Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race, Non-Hispanic or Latino Population: Population of one race, Total population 18 years and over: Not Hispanic or Latino: Population of four races: White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race, Total population 18 years and over: Population of four races: White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race, Non-Hispanic or Latino Population: Population of two races: White; Asian, Total population 18 years and over: Not Hispanic or Latino: Population of one race
[6046] Fire Stations | pub=State of Utah | cols: CopyID, RuleID_80, DATE_UPDATED, HT_ISO_Flag, Shape.len, HT_Floors, Ownership_Type, NAME, HT_Sources, Ht_by
[6047] Police Gate Locations | pub=State of Utah | cols: Address, Include_Checked, Comments, Access_Code, OBJECTID, Quadrant, the_geom, Name
[6048] FM LOMR Project Location | pub=State of Utah | cols: the_geom, CLASS___TY, CLASS, InPark, CHANNEL_TY, OBJECTID_1, NAME, ProjectNum, Shape_Leng, Time_Frame
[6049] School Labels | pub=State of Utah | cols: HAS_FOOTPRINT, Longitude, ADDRESS, SCHOOL, TELEPHONE, URL, Latitude, SCHOOL_TYP, OBJECTID, the_geom
[6050] Faults | pub=State of Utah | cols: Name, LINETYPE, ELEVATION, FID_, the_geom, slcogis.GDB_PDS.Faults.ENTITY, COLOR, Shape_Length, OBJECTID, HEX_CODE
[6051] Aqueduct Line | pub=State of Utah | cols: GlobalID, SHAPE.STLength(), OBJECTID, Size, the_geom
[6052] Police Station | pub=State of Utah | cols: HAS_FOOTPRINT, Longitude, OBJECTID, CATEGORY, Address, the_geom, TYPE, Latitude, NAME
[6053] UREZPhase1_WindDrainage | pub=State of Utah | cols: the_geom, SiteName
[6054] Zone | pub=State of Utah | cols: ZONE_CODE, ZONE_DESC, COZONE_ID, COZONE_, Zone_Desc1, slcogis.GDB_PDS.Zones.AREA, HEX_CODE, OBJECTID, PERIMETER, ZONE_DESC2
[6055] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: the_geom, Culiseta inornata, Y Lat_2, Comments, Ochlerotatus dorsalis_2, Culiseta incidens_2, Anopheles freeborni, Trap Type, X Long, Ochlerotatus campestris_2
[6057] November | pub=State of Utah | cols: EndTime, DataMonth, VehicleName, StartTime, ArcMapStartTime, Shape.STLength(), ColorCode, the_geom, VehicleId, ArcMapEndTime
[6058] Washout | pub=State of Utah | cols: Enabled, GlobalID, the_geom, OBJECTID, AncillaryRole, sub type code, CONST_STATUS
[6059] Capture Zone 4 (15 year) | pub=State of Utah | cols: SHAPE.len, the_geom, SHAPE.area, Id, OBJECTID
[6061] Plat Hook~.25K | pub=State of Utah | cols: SCALE, LAST_EDITED_USER, GLOBALID, OBJECTID, CREATED_DATE, CREATED_USER, the_geom, LAST_EDITED_DATE, ANGLE
[6062] World | pub=State of Utah | cols: the_geom, Shape_Area, WRLD30_ID, Shape_Length, OBJECTID
[6063] Parks | pub=State of Utah | cols: AcqComment, DevSource, Unit, EditDate, ServicArea, YearOpen, Park_ID, Address, Reservable, Unit_ID
[6064] Building Footprints | pub=State of Utah | cols: HT_Eaves_Ft, HT_Sources, RuleID_80, Needed_Fire_Flow, Within_Municipality, Usage_Type, Notes, the_geom, HT_ISO_Flag, CATEGORY
[6065] OpenCase | pub=State of Utah | cols: PRCLID, XCOORD, OBJECTID, YCOORD, the_geom, APNO
