[5488] Gross Ext. Debt Pos., Other Sectors, All maturities, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5489] Gross Ext. Debt Pos., Other Sectors, All maturities, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[5491] Gross Ext. Debt Pos., All Sectors, Short-term, Debt Securities, Diff. with Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5492] Gross Ext. Debt Pos., All Sectors, Short-term, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5493] Gross Ext. Debt Pos., All Sectors, Short-term, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[5494] Gross Ext. Debt Pos., All Sectors, Short-term, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5495] Gross Ext. Debt Pos., All Sectors, All maturities, Debt Securities, Diff. with Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5496] Gross Ext. Debt Pos., All Sectors, All maturities, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[5497] Gross Ext. Debt Pos., All Sectors, All maturities, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[5498] Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5499] Gross Ext. Debt Pos., All Other Sectors, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5500] Public and Publicly Guar. Private Sector Ext. Debt Pos., All Sectors, All maturities, All instrument | pub=World Bank | cols: country, date, value, indicator
[5501] Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, Unallocated, USD | pub=World Bank | cols: country, date, value, indicator
[5503] Public and Publicly Guar. Private Sector Ext. Debt Pos., All maturities, Debt securities, Memo item, | pub=World Bank | cols: country, date, value, indicator
[5504] Gross Ext. Debt Pos., All Sectors, All maturities, Debt Securities, Memo item, USD | pub=World Bank | cols: country, date, value, indicator
[5506] Gross Ext. Debt Pos., General Government, All maturities, All instruments, Arrears, USD | pub=World Bank | cols: country, date, value, indicator
[5507] Gross Ext. Debt Pos., General Government, All maturities, Debt Securities, Memo item, USD | pub=World Bank | cols: country, date, value, indicator
[5509] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Arrears, USD | pub=World Bank | cols: country, date, value, indicator
[5510] Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Arrears, USD | pub=World Bank | cols: country, date, value, indicator
[5511] Gross Ext. Debt Pos., Central Bank, All maturities, Debt Securities, Memo item, USD | pub=World Bank | cols: country, date, value, indicator
[5512] Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Arrears, USD | pub=World Bank | cols: country, date, value, indicator
[5513] Gross Ext. Debt Pos., Other Sectors, All maturities, Debt Securities, Memo item, USD | pub=World Bank | cols: country, date, value, indicator
[5515] Public and Publicly Guar. Private Sector Ext. Debt Pos., All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[5518] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. in | pub=World Bank | cols: country, date, value, indicator
[5519] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. in | pub=World Bank | cols: country, date, value, indicator
[5520] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. in | pub=World Bank | cols: country, date, value, indicator
[5521] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. in | pub=World Bank | cols: country, date, value, indicator
[5522] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. in | pub=World Bank | cols: country, date, value, indicator
[5523] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, | pub=World Bank | cols: country, date, value, indicator
[5524] Ext. Assets in Debt Instruments, DI: Intercom Lending, All maturities, Debt of dir. investment ent.  | pub=World Bank | cols: country, date, value, indicator
[5525] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, | pub=World Bank | cols: country, date, value, indicator
[5526] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, | pub=World Bank | cols: country, date, value, indicator
[5527] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt of dir. investment ent. to dir. inv | pub=World Bank | cols: country, date, value, indicator
[5528] Net Ext. Debt Position, DI: Intercom Lending, All maturities, Debt of dir. investment ent. to dir. i | pub=World Bank | cols: country, date, value, indicator
[5529] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, | pub=World Bank | cols: country, date, value, indicator
[5530] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, | pub=World Bank | cols: country, date, value, indicator
[5531] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, | pub=World Bank | cols: country, date, value, indicator
[5532] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, | pub=World Bank | cols: country, date, value, indicator
[5533] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, All maturities, Debt liab. of DI ent. | pub=World Bank | cols: country, date, value, indicator
[5534] Gross Ext. Debt Pos., Public Sector Ext. Debt, All maturities, Debt liab. of DI ent. to dir. investo | pub=World Bank | cols: country, date, value, indicator
[5535] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liabilities to fellow enter | pub=World Bank | cols: country, date, value, indicator
[5536] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liabilities to fellow enter | pub=World Bank | cols: country, date, value, indicator
[5537] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liabilities to fellow enter | pub=World Bank | cols: country, date, value, indicator
[5538] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liab. to fellow ent., All c | pub=World Bank | cols: country, date, value, indicator
[5539] Gross Ext. F. Curr Debt Pos., DI: Intercom Lending, All maturities, Debt liabilities to fellow enter | pub=World Bank | cols: country, date, value, indicator
[5540] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. to fellow ent. , Beginning of | pub=World Bank | cols: country, date, value, indicator
[5541] Ext. Assets in Debt Instruments, DI: Intercom Lending, All maturities, Debt between fellow enterpris | pub=World Bank | cols: country, date, value, indicator
[5542] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. to fellow ent., end of period | pub=World Bank | cols: country, date, value, indicator
[5543] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. to fellow ent., Exchange rate | pub=World Bank | cols: country, date, value, indicator
[5544] Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt between fellow enterprises, Beginni | pub=World Bank | cols: country, date, value, indicator
[5545] Net Ext. Debt Position, DI: Intercom Lending, All maturities, Debt between fellow enterprises, USD | pub=World Bank | cols: country, date, value, indicator
