[3385] Can read and understand a text message using English letters (% who, age 15+), poorest 40% (% age 15 | pub=World Bank | cols: country, date, value, indicator
[3386] Can read and understand a text message using English letters (% who, age 15+), richest 60% (% age 15 | pub=World Bank | cols: country, date, value, indicator
[3387] Can read and understand a text message using English letters (% who, age 15+), rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3388] Can read and understand a text message using English letters (% who read a text message, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3391] Can send a text message on a mobile phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3392] Can send a text message on a mobile phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3393] Can send a text message on a mobile phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3395] Can send a text message on a mobile phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3396] Can send a text message on a mobile phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3397] Can send a text message on a mobile phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3398] Can send a text message on a mobile phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3399] Can send a text message on a mobile phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3400] Can send a text message on a mobile phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3401] Can send a text message on a mobile phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3402] Can send a text message on a mobile phone (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3405] Prefers receiving government news by SMS or text, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3406] Prefers receiving government news by SMS or text, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3407] Prefers receiving government news by SMS or text, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3409] Prefers receiving government news by SMS or text, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3410] Prefers receiving government news by SMS or text, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3411] Prefers receiving government news by SMS or text, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3412] Prefers receiving government news by SMS or text, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3413] Prefers receiving government news by SMS or text, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3414] Prefers receiving government news by SMS or text, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3415] Prefers receiving government news by SMS or text, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3416] Prefers receiving government news by SMS or text (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3419] Prefers receiving government news by phone call, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3420] Prefers receiving government news by phone call, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3421] Prefers receiving government news by phone call, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3423] Prefers receiving government news by phone call, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3424] Prefers receiving government news by phone call, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3425] Prefers receiving government news by phone call, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3426] Prefers receiving government news by phone call, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3427] Prefers receiving government news by phone call, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3428] Prefers receiving government news by phone call, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3429] Prefers receiving government news by phone call, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
