[6204] Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[6205] Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[6206] Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[6207] Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, USD | pub=World Bank | cols: country, date, value, indicator
[6208] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt Securities, Diff. with Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[6209] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt Securities, Market Value, USD | pub=World Bank | cols: country, date, value, indicator
[6210] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt Securities, Nominal Value, USD | pub=World Bank | cols: country, date, value, indicator
[6211] Ext. Assets in Debt Instruments, General Government, Short-term, Unallocated gold accounts included  | pub=World Bank | cols: country, date, value, indicator
[6212] Gross Ext. Debt Pos., General Government, Short-term, Unallocated gold accounts included in monetary | pub=World Bank | cols: country, date, value, indicator
[6213] Net Ext. Debt Position, General Government, Short-term, Unallocated gold accounts included in moneta | pub=World Bank | cols: country, date, value, indicator
[6214] Ext. Assets in Debt Instruments, Central Bank, Short-term, Unallocated gold accounts included in mon | pub=World Bank | cols: country, date, value, indicator
[6215] Gross Ext. Debt Pos., Central Bank, Short-term, Unallocated gold accounts included in monetary gold, | pub=World Bank | cols: country, date, value, indicator
[6216] Net Ext. Debt Position, Central Bank, Short-term, Unallocated gold accounts included in monetary gol | pub=World Bank | cols: country, date, value, indicator
[6217] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6218] Gross Ext. Debt Pos., Public Sector Ext. Debt, Long-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6219] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6220] Gross Ext. Debt Pos., Public Sector Ext. Debt, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6221] External Debt, total | pub=World Bank | cols: country, date, value, indicator
[6231] Multilateral debt (% of total external debt) | pub=World Bank | desc: Multilateral debt to total external debt stocks. | cols: country, date, value, indicator | tags: External Debt
[6239] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6240] Gross Ext. Debt Pos., Public Sector Ext. Debt, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6244] Gross Ext. Debt Pos., Publicly Guar. Private Sector Ext. Debt, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
[6245] Gross Ext. Debt Pos., Public Sector Ext. Debt, All maturities, All instruments, USD | pub=World Bank | cols: country, date, value, indicator
