[17741] Average per capita transfer - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17742] Average per capita transfer - All Labor Market Programs -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17743] Average per capita transfer - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17746] Average per capita transfer held by 1st quintile(poorest)-All Labor Market(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17747] Average per capita transfer held by 1st quintile(poorest)-All Labor Market(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17750] Average per capita transfer held by 1st quintile(poorest)-All Labor Market-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17751] Average per capita transfer held by 1st quintile (poorest)-All Labor Market Programs-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17754] Average per capita transfer held by 2nd quintile-All Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17755] Average per capita transfer held by 2nd quintile - All Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17758] Average per capita transfer held by 2nd quintile - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17759] Average per capita transfer held by 2nd quintile - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17762] Average per capita transfer held by 3rd quintile-All Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17763] Average per capita transfer held by 3rd quintile - All Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17766] Average per capita transfer held by 3rd quintile - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17767] Average per capita transfer held by 3rd quintile - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17770] Average per capita transfer held by 4th quintile-All Labor Market Programs (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17771] Average per capita transfer held by 4th quintile - All Labor Market Programs (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17774] Average per capita transfer held by 4th quintile - All Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[17775] Average per capita transfer held by 4th quintile - All Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[17778] Average per capita transfer held by 5th quintile(richest)-All Labor Market(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17779] Average per capita transfer held by 5th quintile(richest)-All Labor Market(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17782] Average per capita transfer held by 5th quintile(richest)-All Labor Market-female-recipient | pub=World Bank | cols: country, date, value, indicator
[17783] Average per capita transfer held by 5th quintile (richest)-All Labor Market Programs-male-recipient | pub=World Bank | cols: country, date, value, indicator
[17787] Benefits incidence in all income groups (%) - All Labor Market - female-beneficiary-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17788] Benefits incidence in all income groups (%) - All Labor Market Programs - male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17811] Beneficiary incidence in all income groups (%) - All LM Pograms -female-beneficiary-beneficiary | pub=World Bank | cols: country, date, value, indicator
[17812] Beneficiary incidence in all income groups (%) - All Labor Market Pograms -female-recipient | pub=World Bank | cols: country, date, value, indicator
