[2620] Threshold value for direct contract awards of goods clause | pub=World Bank | cols: country, date, value, indicator
[2621] Threshold value for direct contract awards of works clause | pub=World Bank | cols: country, date, value, indicator
[2622] Threshold value for direct contract awards of services clause | pub=World Bank | cols: country, date, value, indicator
[2624] eProcurement system name | pub=World Bank | cols: country, date, value, indicator
[2625] eProcurement system website | pub=World Bank | cols: country, date, value, indicator
[2626] eProcurement system launch date | pub=World Bank | cols: country, date, value, indicator
[2627] eProcurement functionalities supported | pub=World Bank | cols: country, date, value, indicator
[2628] eSignature functionalities | pub=World Bank | cols: country, date, value, indicator
[2629] eProcurement System used by the World Bank | pub=World Bank | cols: country, date, value, indicator
[2630] World Bank procurement method used for certification | pub=World Bank | cols: country, date, value, indicator
[2631] eProcurement system supported by the World Bank | pub=World Bank | cols: country, date, value, indicator
[2632] Supported language(s) | pub=World Bank | cols: country, date, value, indicator
[2633] Supported currencies | pub=World Bank | cols: country, date, value, indicator
[2634] Applicable charges | pub=World Bank | cols: country, date, value, indicator
[2635] eProcurement system custom vs Commercial Off the Shelf (COTS) vs. Open Source | pub=World Bank | cols: country, date, value, indicator
[2636] Business model for eProcurement | pub=World Bank | cols: country, date, value, indicator
[2637] Website where eProcurement data are published as per Open Contracting Data Standard (OCDS) standard | pub=World Bank | cols: country, date, value, indicator
[2638] Tender documents are downloadable | pub=World Bank | cols: country, date, value, indicator
[2639] eProcurement assessments | pub=World Bank | cols: country, date, value, indicator
[2640] Percentage of value spent through the use of eProcurement over total value spent | pub=World Bank | cols: country, date, value, indicator
[2641] Percentage of number of transactions through the use of eProcurement over total number of transactio | pub=World Bank | cols: country, date, value, indicator
[2642] Number of professionals certified on eProcurement systems | pub=World Bank | cols: country, date, value, indicator
