[16954] World Bank: Per student expenditures in public secondary institutions (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16955] World Bank: Ratio of secondary per capita/per student recurrent expenditures relative to primary edu | pub=World Bank | cols: country, date, value, indicator
[16956] World Bank: Per student expenditure on Teaching/learning materials, secondary (in USD or local curre | pub=World Bank | cols: country, date, value, indicator
[16957] World Bank: Expenditures per student per year (in USD), secondary | pub=World Bank | cols: country, date, value, indicator
[16958] World Bank: Pupil/Total Staff Ratio, secondary | pub=World Bank | cols: country, date, value, indicator
[16959] World Bank: Pupil/Teacher Ratio for secondary schools with Civil Service Teachers | pub=World Bank | cols: country, date, value, indicator
[16960] World Bank: Pupil/Teacher Ratio, secondary | pub=World Bank | cols: country, date, value, indicator
[16961] World Bank: Pupil/Teacher Ratio for secondary schools with Contract Teachers | pub=World Bank | cols: country, date, value, indicator
[16962] World Bank: Pupil/Teacher Ratio for Public Secondary Schools | pub=World Bank | cols: country, date, value, indicator
[16963] World Bank: Private institution fees, secondary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16964] World Bank: Share of total secondary education expenditures for non-poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16965] World Bank: Share of education expenditures for the poorest 40% of students (%), Secondary | pub=World Bank | cols: country, date, value, indicator
[16966] World Bank: Share of total secondary education expenditures for poor students (%) | pub=World Bank | cols: country, date, value, indicator
[16967] World Bank: Share of secondary education expenditures for Quintile 1 (poorest) (%) | pub=World Bank | cols: country, date, value, indicator
[16968] World Bank: Share of secondary education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[16969] World Bank: Share of secondary education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[16970] World Bank: Share of secondary education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[16971] World Bank: Share of secondary education expenditures for Quintile 5 (richest) (%) | pub=World Bank | cols: country, date, value, indicator
[16972] World Bank: Share of education expenditures for the richest 40% of students (%), Secondary | pub=World Bank | cols: country, date, value, indicator
[16973] World Bank: Recurrent share of secondary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16974] World Bank: Secondary recurrent expenditures as a share of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[16975] World Bank: Recurrent expenditures per secondary student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16976] World Bank: Share of total recurrent education expenditure (%), secondary | pub=World Bank | cols: country, date, value, indicator
[16977] World Bank: Salaries' share of secondary education expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16978] World Bank: Ratio of Teacher Salaries to per capita GDP, secondary | pub=World Bank | cols: country, date, value, indicator
[16979] World Bank: Average Annual Teacher Salary in local currency, secondary | pub=World Bank | cols: country, date, value, indicator
[16980] World Bank: Salary expenditures per secondary student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[16981] World Bank: Share of recurrent education expenditures for secondary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16982] World Bank: Share of total salary expenditures for secondary (%) | pub=World Bank | cols: country, date, value, indicator
[16983] World Bank: Salaries' share of secondary recurrent expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16984] World Bank: Share of total education expenditures for secondary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16985] World Bank: Average Annual Teacher Salary in USD, secondary | pub=World Bank | cols: country, date, value, indicator
[16986] World Bank: Average annual teaching load, secondary (hours of instruction per year) | pub=World Bank | cols: country, date, value, indicator
[16987] World Bank: Share of secondary teachers holding more than one job (%) | pub=World Bank | cols: country, date, value, indicator
[16988] World Bank: Share of teachers for secondary (%) | pub=World Bank | cols: country, date, value, indicator
[16989] World Bank: Teaching/Non-Teaching Staff Ratio, secondary | pub=World Bank | cols: country, date, value, indicator
[16990] World Bank: Share of total education expenditure for secondary education (%) | pub=World Bank | cols: country, date, value, indicator
[16991] World Bank: Capital share of total education expenditure (%), secondary | pub=World Bank | cols: country, date, value, indicator
