[17054] World Bank: Share of total tertiary education expenditures (% from public sources) | pub=World Bank | cols: country, date, value, indicator
[17055] World Bank: Share of total education expenditure (% from public sources) | pub=World Bank | cols: country, date, value, indicator
[17056] World Bank: Share of total capital expenditure on education (% from public sources) | pub=World Bank | cols: country, date, value, indicator
[17057] World Bank: Total Expenditures from Public/Government Sources (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17058] World Bank: Share of technical/vocational expenditures from public/government sources (%) | pub=World Bank | cols: country, date, value, indicator
[17059] World Bank: Household spending per student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17060] World Bank: Household spending per student, basic (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17061] World Bank: Household spending per student, junior secondary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17062] World Bank: Total household spending on education (local currency) | pub=World Bank | cols: country, date, value, indicator
[17063] World Bank: Share of total Private/Household spending on primary education for poorest 20% of studen | pub=World Bank | cols: country, date, value, indicator
[17064] World Bank: Share of total Private/Household spending on secondary education for poorest 20% of stud | pub=World Bank | cols: country, date, value, indicator
[17065] World Bank: Share of total Private/Household spending on tertiary education for poorest 20% of stude | pub=World Bank | cols: country, date, value, indicator
[17066] World Bank: Private/Household spending on education, poorest 40% of students | pub=World Bank | cols: country, date, value, indicator
[17067] World Bank: Household spending per student, primary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17068] World Bank: Private/Household spending on education, Quintile 1 | pub=World Bank | cols: country, date, value, indicator
[17069] World Bank: Share of total Private/Household spending on primary education for Quintile 1 (%) | pub=World Bank | cols: country, date, value, indicator
[17070] World Bank: Share of total Private/Household spending on secondary education for Quintile 1 (%) | pub=World Bank | cols: country, date, value, indicator
[17071] World Bank: Share of total Private/Household spending on tertiary education for Quintile 1 (%) | pub=World Bank | cols: country, date, value, indicator
[17072] World Bank: Private/Household spending on education, Quintile 2 | pub=World Bank | cols: country, date, value, indicator
[17073] World Bank: Share of total Private/Household spending on primary education for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[17074] World Bank: Share of total Private/Household spending on secondary education for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[17075] World Bank: Share of total Private/Household spending on tertiary education for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[17076] World Bank: Private/Household spending on education, Quintile 3 | pub=World Bank | cols: country, date, value, indicator
[17077] World Bank: Share of total Private/Household spending on primary education for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
