[4399] Legislative Research Performance Outcome Measures Dashboard | pub=State of Utah | cols: Priority Bills, Bill Introduction, Open and Public Meeting Compliance, Timeliness of Ballot Titles and Impartial Analyses, Interim Highlighs, Bill Numbering, Review Passed Bills, Litigation Deadlines, Year
[4401] CountyRoads_RRAMS~4k | pub=State of Utah | cols: SHAPE.LEN, Accidents in Last 3 Years, Grav/Dirt: Depression (Birth baths/Ponding) Severity, Left Lane Width, Grav/Dirt: Lateral Erosion Density, Left Drainage Comments, Right ROW, Concrete: Pumping (Rocking Panels) Density, Active, Dir From POB
[4402] Inspector Projects | pub=State of Utah | cols: Inspector, Address / Location, FolderPath, Score, last_edited_date, OBJECTID, Notes, Warranty Date, Project Type, Project Name
[4403] BuildingSetbackAreas | pub=State of Utah | cols: the_geom, Definition, SHAPE.STArea(), OBJECTID, SHAPE.STLength()
[4404] Open Work Orders | pub=State of Utah | cols: Severity, Last Update Date, Work Order Comments, GLOBALID, Work Order ID, OBJECTID, the_geom, Assigned To, Other Action Needed, Action Type
[4405] CountyRoads_RRAMS~1k | pub=State of Utah | cols: Concrete: Patched Panels (Pot Holes) Density, Segment Road Value_2, Concrete: Pop Outs Severity, Left ROW Type, Bus Route, Total Recreational Accesses, Concrete: Longitudinal Cracking Density, Road Class, Project Total Value_2, Maintained By
[4406] Concrete Inspection Zones | pub=State of Utah | cols: LocationCount, the_geom, Shape.STArea(), OBJECTID, Shape.STLength(), InspAreaDesc, InspArea
[4407] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Aedes vexans, Culex erythrothorax, Ochlerotatus campestris, Coquillettidia perturbans, Anopheles freeborni, X Long, LOCATION, OBJECTID, GLOBALID, Comments
[4408] Plat Hook~1K | pub=State of Utah | cols: CREATED_USER, CREATED_DATE, ANGLE, LAST_EDITED_USER, the_geom, SCALE, LAST_EDITED_DATE, GLOBALID, OBJECTID
[4410] Mosquito Customer ID | pub=State of Utah | cols: COMMENTS, Street Name, City, CREATED_DATE, Last Name, LAST_EDITED_DATE, Y Lat, the_geom, Email, LAST_EDITED_USER
[4411] slcogis.GDB_HL_PHIB.ZIP_CUMULATIVE_STATUS | pub=State of Utah | cols: Other_race_D2_RUNNING, NHOPI_P_D2, 10_19_D2, Black-D2, 0_9_D2, Other_race, Asian_P, M_D2_RUNNING, AIAN_RUNNING, F_RUNNING
[4412] CountyRoads_RRAMS~2k | pub=State of Utah | cols: Asph/Chip: Depression (Birth baths) Severity, Safety Features Condition, Grav/Dirt: Corrugation (Wash Boarding) Density, Asph/Chip: Excavation Failure Density, Right Lane Width, Left ROW Type, Grav/Dirt: Washout Density, Concrete: Longitudinal Joint Spalling Density, Shoulder Width Condition, Concrete: Patched Panels (Pot Holes) Density
[4413] CountyRoads_RRAMS~2k | pub=State of Utah | cols: DEACTDATE, Lane Width, Lane Width Condition, 85th Percentile Speed, Bus Route, Total Ag Field Accesses, Segment Length, Grav/Dirt: Lateral Erosion Severity, Grav/Dirt: Lateral Erosion Density, Asph/Chip: Upheaval Severity
[4415] Storm SCADA | pub=State of Utah | cols: MaintRating, FacilityID, created_date, Easting, last_edited_date, created_user, MaintSched, Last Inspection Date, Name, the_geom
[4416] Centerlines - Labels - 2 | pub=State of Utah | cols: the_geom, DATA_EDITOR, S_TYPE, FS_ZONE, FUNCTIONAL_CLASS, HIGH, ACS_SUFDIR, S_SURF, RZIP, fromright
[4417] Borders | pub=State of Utah | cols: RuleID_2, OBJECTID, the_geom, NAME
[4418] CountyRoads_RRAMS~9k | pub=State of Utah | cols: Accidents in Last 3 Years, Resurface Type, Asph/Chip: Rutting Severity, Segment Signs Value_2, Asph/Chip: Upheaval Severity, Grav/Dirt: Pot Hole Density, Asph/Chip: Bleeding (Excess asphalt/binder) Density, Road Structure Thickness, Structure Type Rating, Concrete: Polished Aggregate Severity
[4419] Boosters | pub=State of Utah | cols: GPS_DATE, EASTING, NAME, PUMPS, FEATURE_ID, FACILITYID, HEAD__FEET, AncillaryRole, Enabled, the_geom
[4420] Parcel | pub=State of Utah | cols: Unit Name or Number, Prop Type Use Code, Common Area, Site Street Type, Site House Number, Owner City, School District, Site Full Address, Care Name, Commercial Land Market Value
[4421] Dept of Insurance Performance Outcome Measures | pub=State of Utah | cols: intend_to_archive, pm_entry_PMid, pm_category, pm_status_id, pm_name, pmimpactareacategory, agencyid, Count Impact Areas, pm_entryFY, pm_description
[4422] Remediated (Risk Assessment Completed) | pub=State of Utah | cols: Name, OBJECTID, Community, Name_2, Notes, the_geom, Age of Structure, Non_Remediated, Address, Zip
[4424] Traffic Calming | pub=State of Utah | cols: ITE_Information, the_geom, OBJECTID, Description, Type, Info_Sheet
[4426] County Senior Centers | pub=State of Utah | cols: NAME, ADDRESS, GlobalID, ZIP, the_geom, OBJECTID
[4427] Toquerville_data | pub=State of Utah | cols: DESCRIPTION, SHAPE.STArea(), OBJECTID, SHAPE.STLength(), GEN_ZONE, UPDATED, SOURCE, the_geom, ZONINGCODE
[4428] CountyRoads_RRAMS~18k | pub=State of Utah | cols: Total Recreational Accesses, Concrete: Polished Aggregate Density, Asph/Chip: Rutting Density, Left Drain Type, Left Drainage Comments, Total Commercial Car Accesses, Concrete: Longitudinal Joint Spalling Severity, Right Clear Zone Condition, Grav/Dirt: Dust Density, Grav/Dirt: Upheaval Density
[4429] Mosquito Customer ID | pub=State of Utah | cols: MOSQ.CustomerPoint.POINT_X, Email, Last Name, REQUESTSTATUS, X Long, Phone Number, Y Lat, the_geom, LAST_EDITED_USER, Active Service Request
[4430] 6in SW Hazard Level 2 Severity | pub=State of Utah | cols: Bill - ADA Ramp Fixed, Short List Asphaltic Concrete (SF), LOCINFO, AssetID, Bill - Sidewalk Fixed, Contractor Name on Bill, Short List Waterway / Frog (SF), Short List Email, 4in SW Hazard Level 2, TreeHaz
[4431] Cemetery.PARKS.Cem_Sections | pub=State of Utah | cols: Shape.area, Section, OBJECTID, the_geom, Shape.len
[4432] Deed points~.5K | pub=State of Utah | cols: GLOBALID, the_geom, MAP#, OBJECTID, DOC_OWNER, LAST_EDITED_DATE, Parcel Identification Number, ANGLE, DOC_ENTRY, CREATED_USER
[4433] Waterways | pub=State of Utah | cols: Municipality, CHANNEL_TYPE, InPark, the_geom, NAME, CLASS___TYPE, OBJECTID, CLASS, Shape.len
[4434] SITLA Active Sales Contracts (including Development Sales)_data | pub=State of Utah | cols: the_geom, sufix, SHAPE.STArea(), suffix, app_con_lcd, leasegis, customer_name, descr, Shape.STLength(), GlobalID
[4435] SkiLifts | pub=State of Utah | cols: CREATED_USER, the_geom, LAST_EDITED_DATE, OBJECTID, Last Update Date, Last Editor, LAST_EDITED_USER, SHAPE_Length, LIFT, GLOBALID
[4436] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Aedes melanimon, Culex erythrothorax, the_geom, Ochlerotatus increpitus, CREATED_USER, X Long, LOCATION, Culiseta inornata, Trap Name, Trap Type
[4437] Wells (Points) | pub=State of Utah | cols: SCALE, STATUS, AREA, WELLS_, created_date, ANGLE, OBJECTID, created_user, the_geom, NAME
[4439] Mosquito Customer ID | pub=State of Utah | cols: OBJECTID, Email, the_geom, Mosquito Customer ID, X Long, CREATED_USER, Y Lat, LAST_EDITED_DATE, Street Name, Last Name
[4440] Plat Hook~.25K | pub=State of Utah | cols: SCALE, LAST_EDITED_DATE, ANGLE, LAST_EDITED_USER, CREATED_USER, the_geom, OBJECTID, CREATED_DATE, GLOBALID
[4441] Fire Contract Border | pub=State of Utah | cols: OBJECTID, the_geom, Shape.STLength(), Shape.STArea(), NAME
[4442] Jordan and Salt Lake Canal | pub=State of Utah | cols: SIZE, last_edited_user, the_geom, GlobalID, last_edited_date, Shape.len, created_date, created_user, NAME, HasAttachment
[4445] Waterways < 24,000 | pub=State of Utah | cols: Municipality, CHANNEL_TYPE, OBJECTID, the_geom, CLASS___TYPE, NAME, Shape.len, CLASS, InPark
[4446] Building Footprints | pub=State of Utah | cols: Notes, DATE_UPDATED, Detail_Usage_Type, Sources, Ownership_Type, CopyID, RuleID_80, the_geom, Usage_Type, Shape.area
[4447] Plat Hook~.75K | pub=State of Utah | cols: OBJECTID, ANGLE, the_geom, LAST_EDITED_USER, CREATED_DATE, GLOBALID, CREATED_USER, SCALE, LAST_EDITED_DATE
[4448] Zoning | pub=State of Utah | cols: Descrip, PERIMETER, MODIFIED_D, LAST_ORD, ZONING05_, ACREAGE, COMMENTS, Shape_Leng, CLASS, Shape_Le_1
[4449] Wells | pub=State of Utah | cols: MOTOR_TYPE, PUMP_MANUF, last_edited_date, ID, Status, NUMBER_PUMPS, NAME, WELL_ID, DESIGN_POI, DWS_ID
[4450] Cemeteries | pub=State of Utah | cols: First_Burial, City, Shape.len, ACRES, NAME, Number_of_Burials, Shape.area, Phone, the_geom, Owner
[4452] water service area | pub=State of Utah | cols: the_geom, created_date, Shape.STLength(), OBJECTID, last_edited_user, Shape.STArea(), created_user, last_edited_date, AGENCY
[4453] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Trap Name, Aedes vexans, LAST_EDITED_DATE, LOCATION, Last Catch Date, Anopheles freeborni, Comments, Culex erythrothorax, Culiseta incidens, Ochlerotatus campestris
[4455] Distributin mains | pub=State of Utah | cols: GlobalID, the_geom, DIAMETER, SHAPE.STLength(), FACILITYID, CONST_STATUS, Enabled, OBJECTID, YEAR_, WATER_ENTITY
[4456] Stations | pub=State of Utah | cols: Medical_Equip, Name, Fire_Equipment, Map_Label, Status, Jurisdiction, Longitude, Address, Type, OBJECTID
[4457] Sensitive Overlay Zone | pub=State of Utah | cols: the_geom, Shape.len, Shape.area, OBJECTID
[4458] Backstop | pub=State of Utah | cols: Conveyerbelt, the_geom, OBJECTID, Location, AssetID, Type, Address, BackstopId, Overhang, Shape.STLength()
[4459] Water Pro Pressurized | pub=State of Utah | cols: HasAttachment, GlobalID, OBJECTID, created_user, NAME, SIZE, Shape.len, the_geom, last_edited_date, created_date
[4460] Drainage Lines | pub=State of Utah | cols: SHAPE.STLength(), Date_Collected, Comments, OBJECTID, Address, AssetID, Location, Date_Installed, the_geom
[4461] Licensed Practical Nurse & Nursing Assistants One Year | pub=State of Utah | cols: DEBT_NOTMALE_STGP_ANY_MDN, CIPDESC, INSTNM, DEBT_ALL_STGP_ANY_MDN, DEBT_ALL_STGP_ANY_MEAN, DEBT_NOPELL_STGP_ANY_MEAN, DEBT_PELL_STGP_ANY_MDN, DEBT_NOPELL_STGP_ANY_MDN, DEBT_MALE_STGP_ANY_MEAN, DEBT_NOTMALE_STGP_ANY_MEAN
[4462] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: OBJECTID, Aedes vexans, LAST_EDITED_USER, Ochlerotatus nigromaculis, Trap Name, Culiseta inornata, Y Lat, Last Catch Date, TRAP_NUM, Trap Type
[4463] Sandy Plow Roads | pub=State of Utah | cols: Shape.len, the_geom, OBJECTID, BWAREA
[4464] Liquefaction | pub=State of Utah | cols: LIQ27_ID, LABEL, OBJECTID, Shape.area, the_geom, Shape.len
[4465] Borders | pub=State of Utah | cols: Sq_Miles, Shape.area, Label, City, Shape.len, OBJECTID, the_geom
[4467] No Inspection Needed | pub=State of Utah | cols: District, SIZE_, OBJECTID, MUTCD_Desc, created_user, MATERIAL, STREET_AT, Type, FACE_POSIT, CONDITION
[4468] State Roads | pub=State of Utah | cols: fromright, SPEED_LIMIT, S_ROW, ALT_NAME, S_ACCESS, HIGH, EDITOR, COMMENTS, fromleft, EXCLUDE
[4470] Cemeteries | pub=State of Utah | cols: the_geom, Owner, Shape.len, Number_of_Burials, NAME, Acres, Phone, Shape.area, OBJECTID, HECTARES
[4472] Union and East Jordan Canal | pub=State of Utah | cols: Shape.len, last_edited_date, GlobalID, last_edited_user, OBJECTID, SIZE, HasAttachment, created_user, the_geom, NAME
[4473] CountyRoads_RRAMS_CurYear~2K | pub=State of Utah | cols: Surface Thickness, Vertical Alignment, Asph/Chip: Edge Crack Severity_2, Grav/Dirt: Dust Density_2, Safety Condition Index_2, Total Commercial Car Accesses_2, D Road ID, Lifespan, Grav/Dirt: Excavation Failure Severity_2, Lane Width_2
[4474] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Trap Type, LAST_EDITED_USER, Ochlerotatus campestris, Aedes melanimon, Last Amount, the_geom, Culiseta inornata, X Long, OBJECTID, CREATED_USER
[4475] live_parcel_line | pub=State of Utah | cols: Distance, TRAVNUM, Parcel ID Number, TRAVID, Imperial Distance, LAST_EDITED_DATE, OBJECTID, GLOBALID, SHAPE_Length, CREATED_DATE
[4476] White Background_18K | pub=State of Utah | cols: OBJECTID, the_geom, SHAPE_Area, SHAPE_Length
[4477] Irrigation Valve | pub=State of Utah | cols: NORTHING, EASTING, gps, OBJECTID, the_geom
