[6106] Gross Ext. Debt Pos., Central Bank, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6107] Gross Ext. Debt Pos., Nonfinancial corporations, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6108] Gross Ext. Debt Pos., Other financial corporations, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6109] Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[6110] Ext. Assets in Debt Instruments, Other Sectors, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6111] Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[6112] Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[6113] Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[6114] Net Ext. Debt Position, Other Sectors, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6115] Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[6116] Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[6117] Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[6118] Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, USD | pub=World Bank | cols: country, date, value, indicator
[6119] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, Beginning of perio | pub=World Bank | cols: country, date, value, indicator
[6120] Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6121] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[6122] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, Exchange rate chg, | pub=World Bank | cols: country, date, value, indicator
[6123] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, Beginning pos., US | pub=World Bank | cols: country, date, value, indicator
[6124] Net Ext. Debt Position, Deposit-Taking Corp., exc. CB, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6125] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, Other chg in vol., | pub=World Bank | cols: country, date, value, indicator
[6126] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, Other price chg, U | pub=World Bank | cols: country, date, value, indicator
[6127] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[6128] Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6129] Gross Ext. Debt Pos., General Government, Short-term, Debt securities, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[6130] Ext. Assets in Debt Instruments, General Government, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6131] Gross Ext. Debt Pos., General Government, Short-term, Debt securities, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[6132] Gross Ext. Debt Pos., General Government, Short-term, Debt securities, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[6133] Gross Ext. Debt Pos., General Government, Short-term, Debt securities, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[6134] Net Ext. Debt Position, General Government, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6135] Gross Ext. Debt Pos., General Government, Short-term, Debt securities, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[6136] Gross Ext. Debt Pos., General Government, Short-term, Debt securities, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[6137] Gross Ext. Debt Pos., General Government, Short-term, Debt securities, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[6138] Gross Ext. Debt Pos., General Government, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6139] Gross Ext. Debt Pos., HH and nonprofit institu. (NPISHs), Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6140] Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[6141] Ext. Assets in Debt Instruments, Central Bank, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6142] Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[6143] Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[6144] Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
[6145] Net Ext. Debt Position, Central Bank, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6146] Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, Other chg in vol., USD | pub=World Bank | cols: country, date, value, indicator
[6147] Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, Other price chg, USD | pub=World Bank | cols: country, date, value, indicator
[6148] Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, Transactions, USD | pub=World Bank | cols: country, date, value, indicator
[6149] Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6150] Gross Ext. Debt Pos., Nonfinancial corporations, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6151] Gross Ext. Debt Pos., Other financial corporations, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6152] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, Beginning of period, USD | pub=World Bank | cols: country, date, value, indicator
[6153] Ext. Assets in Debt Instruments, Other Sectors, Short-term, Debt securities, USD | pub=World Bank | cols: country, date, value, indicator
[6154] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, end of period, USD | pub=World Bank | cols: country, date, value, indicator
[6155] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, Exchange rate chg, USD | pub=World Bank | cols: country, date, value, indicator
[6156] Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, Beginning pos., USD | pub=World Bank | cols: country, date, value, indicator
