[3886] Monthly LLC's Processed Commerce | pub=State of Utah | cols: Monthly count of all LLCs registered in the division, pm_reportdate
[3887] Master_Address_Points | pub=State of Utah | cols: Y_Coord, Comment, APT, Alias_Street, Year_Built, Addy_ID_Text, Complex_Name, PPH_Approx, InSandy, New_Municipality_Code
[3888] Pipelines_data | pub=State of Utah | cols: STATUS_CD, LPOLY1, METADATA, OPS_ID, SYS_NM, TNODE1, SUB_DATE, NM_UPTFNL_, OBJECTID, RPOLY1
[3889] Landslide Scarps_data | pub=State of Utah | cols: MAPSCALE, MAPBOUND, LSUNIT, OBJECTID, NOTES, PUBDATE, HISTORICAL, MAPNAME, the_geom, SHAPE.STLength()
[3890] Storm Drain | pub=State of Utah | cols: Grate_Size, Grate_Shape, Manhole_Type, Asset_ID, the_geom, Bubble_Up, OBJECTID, Notes, Snout, Structure_Type
[3891] Storm Drain Pipes | pub=State of Utah | cols: IrrigationLine, CUES_SCORE, MaintSched, SHAPE.len, OBJECTID, IRRIGATION, Cond_Inspection, PIPE_SIZE, last_edited_date, GlobalID
[3892] live_parcel_line | pub=State of Utah | cols: TRAVID, ALPHATAG, SERIAL, COGO Radius, Parcel ID Number, TRAVNUM, COGO Side, CREATED_USER, GLOBALID, LASTUPDATE
[3893] Approx. 100 yr flood (1% chance every year) | pub=State of Utah | cols: VELOCITY, AR_SUBTRV, DEP_REVERT, Shape.STLength(), FLD_AR_ID, OBJECTID, VEL_UNIT, VERSION_ID, DFIRM_ID, STATIC_BFE
[3897] CountyRoads_RRAMS~1k | pub=State of Utah | cols: SHAPE.LEN, Project Length, Road Base Thickness, Right Lane Width, Asph/Chip: Polished Aggregate Severity, Shoulder Width Condition, Total Commercial Truck Accesses, Service Est, Grav/Dirt: Washout Severity, Road Base Type Rating
[3899] J Boxes | pub=State of Utah | cols: Ownership, PERIMETER, last_edited_user, created_user, the_geom, OBJECTID, GPS Date, AREA, created_date, last_edited_date
[3900] FacilitySites_Parks_1K | pub=State of Utah | cols: SHAPE_Area, the_geom, Last Editor, OBJECTID, Trail Map App, Subtype Field, Name of Facility, Owner Type, CREATED_DATE, LAST_EDITED_DATE
[3901] Deed points~1K | pub=State of Utah | cols: MAP#, OBJECTID, DOC_ENTRY, TYPE, CREATED_USER, CREATED_DATE, LAST_EDITED_DATE, LAST_EDITED_USER, Parcel Identification Number, ParcelID Label
[3902] Borders | pub=State of Utah | cols: OBJECTID, Label, City, the_geom, Shape.area, Shape.len, Sq_Miles
[3903] LEA Modeling | pub=State of Utah | cols: GLOBALID, NBHD, SHAPE.LEN, SHAPE.AREA, OBJECTID_1, ACRES, OBJECTID, the_geom
[3905] Fire hydrants | pub=State of Utah | cols: RESIDPRESSURE, OBJECTID, COMMENTS, STATICPRESSURE, TWENTYPSIFLOW, STATUS, THIRTYPSIFLOW, GlobalID, COLLTBY, HYD_TYPE
[3906] Parcels | pub=State of Utah | desc: Shows the area and shape of a parcel | cols: Property Class Description, Current Market Value, Structure Condition, Taxable Value % Change, Tax Account Type, Taxes Owed Year Over Year Change, Parcel ID Label, Parcel Acreage, RCNLD, Site Street Name
[3907] Site Plan Review | pub=State of Utah | cols: Shape.STArea(), SPR_FILE, SITE_ADDRESS, Status, DateApproved, the_geom, Shape.STLength(), OBJECTID, PROJECT_NAME, FLAG_IND
[3910] Cemeteries | pub=State of Utah | cols: OBJECTID, Shape.area, Acres, Phone, First_Burial, Shape.len, NAME, HECTARES, City, Number_of_Burials
[3911] Priority Area | pub=State of Utah | cols: SD_ZONE, ZONE_ACREA, LEGEND_COD, Editor, Zone_Code, Shape.area, Shape.len, the_geom, OBJECTID, Definition
[3912] Secondary Road | pub=State of Utah | cols: the_geom, OBJECTID, BWAREA, Shape.len
[3913] Flood Control Access | pub=State of Utah | cols: the_geom, Shape_Leng, Phase, ProjectNam, Location, GlobalID, Shape.STLength(), OBJECTID, Year2, ProjectMan
[3914] Low Income Health Clinics | pub=State of Utah | cols: Address, the_geom, Phone, Name, OBJECTID, Other_Name, Zip, City, State, Id
