[18038] Beneficiary incidence in 5th quintile (richest) (%)-Passive Labor Market Programs -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18039] Beneficiary incidence in 5th quintile (richest) (%) - Passive Labor Market Programs -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18049] Coverage (%) - Passive Labor Market Programs -female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[18050] Coverage (%) - Passive Labor Market Programs -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[18130] Average per capita transfer - All Private Transfers -female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[18131] Average per capita transfer - All Private Transfers -female-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[18132] Average per capita transfer - All Private Transfers -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[18133] Average per capita transfer - All Private Transfers -male-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[18136] Average per capita transfer held by 1st quintile(poorest)-All Private Tranf.(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[18137] Average per capita transfer held by 1st quintile(poorest)-All Private Transfers(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[18140] Average per capita transfer held by 1st quintile (poorest) - All Private Transfers -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18141] Average per capita transfer held by 1st quintile (poorest) - All Private Transfers -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18144] Average per capita transfer held by 2nd quintile - All Private Transfers (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18145] Average per capita transfer held by 2nd quintile - All Private Transfers (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18148] Average per capita transfer held by 2nd quintile - All Private Transfers -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18149] Average per capita transfer held by 2nd quintile - All Private Transfers -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18152] Average per capita transfer held by 3rd quintile - All Private Transfers (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18153] Average per capita transfer held by 3rd quintile - All Private Transfers (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18156] Average per capita transfer held by 3rd quintile - All Private Transfers -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18157] Average per capita transfer held by 3rd quintile - All Private Transfers -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18160] Average per capita transfer held by 4th quintile - All Private Transfers (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18161] Average per capita transfer held by 4th quintile - All Private Transfers (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18164] Average per capita transfer held by 4th quintile - All Private Transfers -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18165] Average per capita transfer held by 4th quintile - All Private Transfers -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18168] Average per capita transfer held by 5th quintile(richest)-All Private Tranf.(preT)-female-recipient | pub=World Bank | cols: country, date, value, indicator
[18169] Average per capita transfer held by 5th quintile(richest)-All Private Transfers(preT)-male-recipient | pub=World Bank | cols: country, date, value, indicator
[18172] Average per capita transfer held by 5th quintile (richest) - All Private Transfers -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18173] Average per capita transfer held by 5th quintile (richest) - All Private Transfers -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18177] Benefits incidence in all income groups (%) - All Private Transfers - female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[18178] Benefits incidence in all income groups (%) - All Private Transfers - male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[18201] Beneficiary incidence in all income groups (%) - All Private Transfers -female-beneficiary | pub=World Bank | cols: country, date, value, indicator
[18202] Beneficiary incidence in all income groups (%) - All Private Transfers -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18203] Beneficiary incidence in all income groups (%) - All Private Transfers -male-beneficiary | pub=World Bank | cols: country, date, value, indicator
[18204] Beneficiary incidence in all income groups (%) - All Private Transfers -male-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[18206] Beneficiary incidence in 1st quintile (poorest) (%) - All Private Transfers (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18207] Beneficiary incidence in 1st quintile (poorest) (%) - All Private Transfers (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18210] Beneficiary incidence in 1st quintile (poorest) (%) - All Private Transfers -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18211] Beneficiary incidence in 1st quintile (poorest) (%) - All Private Transfers -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18214] Beneficiary incidence in 2nd quintile (%) - All Private Transfers (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18215] Beneficiary incidence in 2nd quintile (%) - All Private Transfers (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18218] Beneficiary incidence in 2nd quintile (%) - All Private Transfers -female-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[18219] Beneficiary incidence in 2nd quintile (%) - All Private Transfers -male-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[18222] Beneficiary incidence in 3rd quintile (%) - All Private Transfers (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18223] Beneficiary incidence in 3rd quintile (%) - All Private Transfers (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18226] Beneficiary incidence in 3rd quintile (%) - All Private Transfers -female-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[18227] Beneficiary incidence in 3rd quintile (%) - All Private Transfers -male-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[18230] Beneficiary incidence in 4th quintile (%) - All Private Transfers (preT) -female-recipient | pub=World Bank | cols: country, date, value, indicator
[18231] Beneficiary incidence in 4th quintile (%) - All Private Transfers (preT) -male-recipient | pub=World Bank | cols: country, date, value, indicator
[18234] Beneficiary incidence in 4th quintile (%) - All Private Transfers -female-recipient of programs | pub=World Bank | cols: country, date, value, indicator
[18235] Beneficiary incidence in 4th quintile (%) - All Private Transfers -male-recipient of programs | pub=World Bank | cols: country, date, value, indicator
