[14309] Literacy rate (% of persons aged 65 or older with disability i.e. at least a lot of functional diffi | pub=World Bank | cols: country, date, value, indicator
[14310] Literacy rate (% of persons with disability i.e. at least a lot of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14311] Literacy rate (% of female persons with disability i.e. at least a lot of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14312] Literacy rate (% of male persons with disability i.e. at least a lot of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14313] Literacy rate (% of persons living in rural areas with disability i.e. at least a lot of functional  | pub=World Bank | cols: country, date, value, indicator
[14314] Literacy rate (% of persons living in urban areas with disability i.e. at least a lot of functional  | pub=World Bank | cols: country, date, value, indicator
[14315] Literacy rate (% of persons aged 15 to 29 years with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14316] Literacy rate (% of persons aged 30 to 44 years with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14317] Literacy rate (% of persons aged 45 to 64 years with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14318] Literacy rate (% of persons aged 65 or older with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14319] Literacy rate (% of persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14320] Literacy rate (% of persons with any degree of cognitive difficulty) | pub=World Bank | cols: country, date, value, indicator
[14321] Literacy rate (% of persons with any degree of communication difficulty) | pub=World Bank | cols: country, date, value, indicator
[14322] Literacy rate (% of female persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14323] Literacy rate (% of persons with any degree of hearing difficulty) | pub=World Bank | cols: country, date, value, indicator
[14324] Literacy rate (% of male persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14325] Literacy rate (% of persons with any degree of mobility difficulty) | pub=World Bank | cols: country, date, value, indicator
[14326] Literacy rate (% of persons living in rural areas with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[14327] Literacy rate (% of persons with any degree of seeing difficulty) | pub=World Bank | cols: country, date, value, indicator
