[3499] Family member sets rules for mobile phone use, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3500] Family member sets rules for mobile phone use (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3503] Received phone call or SMS asking for money in the past 12 months, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3504] Received phone call or SMS asking for money in the past 12 months, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3505] Received phone call or SMS asking for money in the past 12 months, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3507] Received phone call or SMS asking for money in the past 12 months, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3508] Received phone call or SMS asking for money in the past 12 months, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3509] Received phone call or SMS asking for money in the past 12 months, primary education or less (% age  | pub=World Bank | cols: country, date, value, indicator
[3510] Received phone call or SMS asking for money in the past 12 months, secondary education or more (% ag | pub=World Bank | cols: country, date, value, indicator
[3511] Received phone call or SMS asking for money in the past 12 months, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3512] Received phone call or SMS asking for money in the past 12 months, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3513] Received phone call or SMS asking for money in the past 12 months, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3514] Received phone call or SMS asking for money in the past 12 months (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3515] Sent money to person asking for it via phone/SMS  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3516] Received unwanted offensive messages, photos, or videos  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3517] Received unwanted offensive messages, photos, or videos, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3518] Received unwanted offensive messages, photos, or videos, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3519] Received unwanted offensive messages, photos, or videos, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3520] Received unwanted offensive messages, photos, or videos, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3521] Received unwanted offensive messages, photos, or videos, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3522] Received unwanted offensive messages, photos, or videos, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3523] Received unwanted offensive messages, photos, or videos, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3524] Received unwanted offensive messages, photos, or videos, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3525] Received unwanted offensive messages, photos, or videos, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3526] Received unwanted offensive messages, photos, or videos, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3527] Received unwanted offensive messages, photos, or videos, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3528] Received unwanted offensive messages, photos, or videos, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3529] Received unwanted offensive messages, photos, or videos (% with a phone, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3532] Daily internet use, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3533] Daily internet use, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3534] Daily internet use, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3536] Daily internet use, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[3537] Daily internet use, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[3538] Daily internet use, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3539] Daily internet use, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3540] Daily internet use, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3541] Daily internet use, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3542] Daily internet use, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[3543] Daily internet use (% internet users, age 15+) | pub=World Bank | cols: country, date, value, indicator
[3544] Less than once a month internet use  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
