[7865] Esquema de publicación de información | pub=Notaría 13 del Círculo de Medellín | cols: Medio de conservación, Nombre del responsable de la producción de la información, Nombre o título de la información, Frecuencia  de actualización, Fecha de Generación  de la Información, Nombre del responsable de la información, Lugar de consulta, Formato, Idioma | tags: notaría, gestión documental, esquema de publicación de la información
[7866] Registro de Activos de Información | pub=Notaría Única del Círculo de Jericó | cols: Medio de conservación y/o soporte, Subcategorías, Lugar donde se encuentra disponible, Información Publicada, Idioma, Información disponible, Descripción del contenido la categoría de información, Nombre o título de la categoría de Información, Formato | tags: gestión documental, notaría, registro de activos de información
[7879] ACTIVOS DE LA INFORMACION | pub=NOTARIA UNICA PLAYON | cols: Lugar donde se encuentra disponible, Idioma, Información Publicada, Información Disponible, Formato, Medio de conservación y/o soporte, Descripción del contenido la categoría de información, Nombre o título de la categoría de Información | tags: notaria, gestión documental
[7885] INDICE DE INFORMACION CLASIFICADA Y RESERVADA | pub=NOTARIA UNICA ANAPOIMA | cols: Formato, Nombre del responsable de la producción de la información, Fundamento jurídico de la excepción, Objetivo legítimo de la excepción, Medio de conservación y/o soporte, Fecha de la calificación, Nombre o título  de la categoría de información, Idioma, Nombre o título de la información, Excepción total o parcial | tags: notaria, gestión documental
[7890] Esquema de publicación de información | pub=NOTARÍA ÚNICA DEL CÍRCULO DE LIBANO | cols: Idioma, Nombre del responsable de la producción de la información, Medio de conservación, Frecuencia  de actualización, Fecha de Generación  de la Información, Nombre o título de la información, Nombre del responsable de la información, Formato, Lugar de consulta | tags: esquema de publicación de la información, notaría, gestión documental
[7894] Esquema de publicación de información | pub=Notaría Única del Círculo de Amagá | cols: Nombre del responsable de la producción de la información, Medio de conservación, Nombre o título de la información, Fecha de Generación  de la Información, Frecuencia  de actualización, Nombre del responsable de la información, Idioma, Lugar de consulta, Formato | tags: notaría, gestión documental, esquema de publicación
[7912] INDICE DE INFORMACION CLASIFICADA Y RESERVADA | pub=NOTARIA UNICA CHARALA | cols: Fundamento constitucional o legal, Fecha de generación de la información, Nombre o título  de la categoría de información, Idioma, Excepción total o parcial, Formato, Objetivo legítimo de la excepción, Nombre del responsable de la información, Fundamento jurídico de la excepción, Fecha de la calificación | tags: notaria, gestión documental
[7930] INDICE DE INFORMACION CLASIFICADA Y RESERVADA | pub=NOTARIA UNICA MATANZA | cols: Formato, Fecha de generación de la información, Fecha de la calificación, Medio de conservación y/o soporte, Idioma, Nombre del responsable de la información, Nombre o título  de la categoría de información, Fundamento constitucional o legal, Plazo de clasificación o reserva, Fundamento jurídico de la excepción | tags: gestión documental, notaria
[7933] ESQUEMA PUBLICACIÓN DE INFORMACIÓN | pub=Colombia Open Data | cols: Nombre del responsable de la producción de la información, Idioma, Formato, Fecha de Generación  de la Información, Frecuencia  de actualización, Lugar de consulta, Medio de conservación, Nombre del responsable de la información, Nombre o título de la información
[7938] Esquema de publicación de información | pub=Notaría Única del Círculo de San Andrés de Cuerquí | cols: Medio de conservación, Formato, Nombre del responsable de la producción de la información, Idioma, Lugar de consulta, Frecuencia  de actualización, Nombre del responsable de la información, Fecha de Generación  de la Información, Nombre o título de la información | tags: esquema de publicación de la información, gestión documental, notaría
[7939] ACTIVOS DE LA INFORMACION | pub=NOTARIA UNICA DE GUADALUPE | cols: Información Disponible, Formato, Nombre o título de la categoría de Información, Lugar donde se encuentra disponible, Descripción del contenido la categoría de información, Información Publicada, Medio de conservación y/o soporte, Idioma | tags: notaria, gestión documental
[7946] REGISTRO DE ACTIVOS DE LA INFORMACIÓN | pub=Colombia Open Data | desc: REGISTRO DE ACTIVOS DE LA INFORMACIÓN | cols: Medio de conservación y/o soporte, Idioma, Información Publicada, Lugar donde se encuentra disponible, Descripción del contenido la categoría de información, Nombre o título de la categoría de Información, Información Disponible, Formato
[7949] Esquema de publicación de información | pub=Notaría Única del Círculo de Villa de Leyva | cols: Frecuencia  de actualización, Medio de conservación, Fecha de Generación  de la Información, Nombre o título de la información, Formato, Lugar de consulta, Nombre del responsable de la producción de la información, Idioma, Nombre del responsable de la información | tags: notaria, gestion documental, esquema de publicación
[7954] Explosión_oat_pg_leu | pub=Gobernación de Amazonas | desc: Amenaza | cols: 3_Tipo de Amenaza, the_geom, 7_Descripcion, 4_Elem_exp, 14_Latitud, 13_Departamento, 2_Nombre, 10_Factores, 8_Uso de suelo, 6_Causa | tags: amazonas
[7973] Esquema de publicación de información | pub=Alcaldía Municipio de Guapotá | desc: esquema como se publica la información | cols: Idioma, Nombre o título de la información, Frecuencia  de actualización, Lugar de consulta, Medio de conservación, Formato, Nombre del responsable de la producción de la información, Nombre del responsable de la información, Fecha de Generación  de la Información | tags: lugar de consulta, ejecución de contratos, archivo publico
[7975] Esquema de publicación de información | pub=Notaría Única de Acacias | cols: Nombre del responsable de la producción de la información, Lugar de consulta, Idioma, Fecha de Generación  de la Información, Frecuencia  de actualización, Nombre del responsable de la información, Formato, Medio de conservación, Nombre o título de la información | tags: esquema de publicación de la información, notaría, gestión documental
[7989] ACTIVOS DE LA INFORMACION | pub=NOTARIA SEGUNDA DE MALAGA | cols: Nombre o título de la categoría de Información, Formato, Descripción del contenido la categoría de información, Idioma, Medio de conservación y/o soporte, Información Publicada, Información Disponible, Lugar donde se encuentra disponible | tags: notaria, gestión documental
[7991] Esquema de publicación de información | pub=NOTARÍA ÚNICA DEL CÍRCULO DE SAN JOSÉ DEL GUAVIARE | cols: Idioma, Nombre del responsable de la información, Nombre del responsable de la producción de la información, Fecha de Generación  de la Información, Frecuencia  de actualización, Formato, Lugar de consulta, Nombre o título de la información, Medio de conservación | tags: esquema de publicación de la información, notaría, gestión documental
[7998] Esquema de publicación de información | pub=Notaría 46 del Círculo de Bogotá | cols: Frecuencia  de actualización, Idioma, Nombre o título de la información, Medio de conservación, Nombre del responsable de la información, Nombre del responsable de la producción de la información, Fecha de Generación  de la Información, Lugar de consulta, Formato | tags: notaria, gestión documental, esquema de publicación
[8028] Registro Activos de Información | pub=Colombia Open Data | desc: Registro de activos de información | cols: Información Disponible, Idioma, Medio de conservación y/o soporte, Descripción del contenido la categoría de información, Nombre o título de la categoría de Información, Lugar donde se encuentra disponible, Información Publicada, Formato
[8030] REGISTRO DE ACTIVOS DE INFORMACIÓN | pub=Colombia Open Data | cols: Descripción del contenido la categoría de información, Medio de conservación y/o soporte, Información disponible, Nombre o título de la categoría de Información, Lugar donde se encuentra disponible, Subcategorías, Idioma, Información Publicada, Formato | tags: instrumentos de gestión de la información pública
[8147] ACTIVOS DE LA INFORMACION | pub=NOTARIA DE ANDALUCIA | cols: Nombre o título de la categoría de Información, Lugar donde se encuentra disponible, Idioma, Formato, Información Disponible, Medio de conservación y/o soporte, Descripción del contenido la categoría de información, Información Publicada | tags: notaria, gestión documental
