[1611] Prevalence of persons living in urban areas with any degree of seeing difficulty (% of persons livin | pub=World Bank | cols: country, date, value, indicator
[1612] Prevalence of persons aged 15 to 29 years with any degree of selfcare difficulty (% of persons aged  | pub=World Bank | cols: country, date, value, indicator
[1613] Prevalence of persons aged 30 to 44 years with any degree of selfcare difficulty (% of persons aged  | pub=World Bank | cols: country, date, value, indicator
[1614] Prevalence of persons aged 45 to 64 years with any degree of selfcare difficulty (% of persons aged  | pub=World Bank | cols: country, date, value, indicator
[1615] Prevalence of persons aged 65 or older with any degree of selfcare difficulty (% of persons aged 65  | pub=World Bank | cols: country, date, value, indicator
[1616] Prevalence of persons with any degree of selfcare difficulty (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1617] Prevalence of female persons with any degree of selfcare difficulty (% of female persons) | pub=World Bank | cols: country, date, value, indicator
[1618] Prevalence of male persons with any degree of selfcare difficulty (% of male persons) | pub=World Bank | cols: country, date, value, indicator
[1619] Prevalence of persons living in rural areas with any degree of selfcare difficulty (% of persons liv | pub=World Bank | cols: country, date, value, indicator
[1620] Prevalence of persons living in urban areas with any degree of selfcare difficulty (% of persons liv | pub=World Bank | cols: country, date, value, indicator
[1621] Prevalence of persons living in urban areas with any degree of functional difficulty (% of persons l | pub=World Bank | cols: country, date, value, indicator
[1622] Women subjected to violence in the last 12 months (% of ever-partnered women aged 15 to 29 years wit | pub=World Bank | cols: country, date, value, indicator
[1623] Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years wit | pub=World Bank | cols: country, date, value, indicator
[1624] Women subjected to violence in the last 12 months (% of ever-partnered women with disability i.e. at | pub=World Bank | cols: country, date, value, indicator
[1625] Women subjected to violence in the last 12 months (% of ever-partnered women living in rural areas w | pub=World Bank | cols: country, date, value, indicator
[1626] Women subjected to violence in the last 12 months (% of ever-partnered women living in urban areas w | pub=World Bank | cols: country, date, value, indicator
[1627] Women subjected to violence in the last 12 months (% of ever-partnered women aged 15 to 29 years wit | pub=World Bank | cols: country, date, value, indicator
[1628] Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years wit | pub=World Bank | cols: country, date, value, indicator
[1629] Women subjected to violence in the last 12 months (% of ever-partnered women with any degree of func | pub=World Bank | cols: country, date, value, indicator
[1630] Women subjected to violence in the last 12 months (% of ever-partnered women with any degree of cogn | pub=World Bank | cols: country, date, value, indicator
[1631] Women subjected to violence in the last 12 months (% of ever-partnered women with any degree of comm | pub=World Bank | cols: country, date, value, indicator
[1632] Women subjected to violence in the last 12 months (% of ever-partnered women with any degree of hear | pub=World Bank | cols: country, date, value, indicator
[1633] Women subjected to violence in the last 12 months (% of ever-partnered women with any degree of mobi | pub=World Bank | cols: country, date, value, indicator
[1634] Women subjected to violence in the last 12 months (% of ever-partnered women living in rural areas w | pub=World Bank | cols: country, date, value, indicator
[1635] Women subjected to violence in the last 12 months (% of ever-partnered women with any degree of seei | pub=World Bank | cols: country, date, value, indicator
[1636] Women subjected to violence in the last 12 months (% of ever-partnered women with any degree of self | pub=World Bank | cols: country, date, value, indicator
[1637] Women subjected to violence in the last 12 months (% of ever-partnered women living in urban areas w | pub=World Bank | cols: country, date, value, indicator
[1638] Women subjected to violence in the last 12 months (% of ever-partnered women aged 15 to 29 years wit | pub=World Bank | cols: country, date, value, indicator
[1639] Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years wit | pub=World Bank | cols: country, date, value, indicator
[1640] Women subjected to violence in the last 12 months (% of ever-partnered women with no functional diff | pub=World Bank | cols: country, date, value, indicator
[1641] Women subjected to violence in the last 12 months (% of ever-partnered women living in rural areas w | pub=World Bank | cols: country, date, value, indicator
[1642] Women subjected to violence in the last 12 months (% of ever-partnered women living in urban areas w | pub=World Bank | cols: country, date, value, indicator
[1643] Women subjected to violence in the last 12 months (% of ever-partnered women aged 15 to 29 years wit | pub=World Bank | cols: country, date, value, indicator
[1644] Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years wit | pub=World Bank | cols: country, date, value, indicator
[1645] Women subjected to violence in the last 12 months (% of ever-partnered women with none or some degre | pub=World Bank | cols: country, date, value, indicator
[1646] Women subjected to violence in the last 12 months (% of ever-partnered women living in rural areas w | pub=World Bank | cols: country, date, value, indicator
[1647] Women subjected to violence in the last 12 months (% of ever-partnered women living in urban areas w | pub=World Bank | cols: country, date, value, indicator
[1648] Women subjected to violence in the last 12 months (% of ever-partnered women aged 15 to 29 years wit | pub=World Bank | cols: country, date, value, indicator
[1649] Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years wit | pub=World Bank | cols: country, date, value, indicator
[1650] Women subjected to violence in the last 12 months (% of ever-partnered women with some degree of fun | pub=World Bank | cols: country, date, value, indicator
[1651] Women subjected to violence in the last 12 months (% of ever-partnered women living in rural areas w | pub=World Bank | cols: country, date, value, indicator
[1652] Women subjected to violence in the last 12 months (% of ever-partnered women living in urban areas w | pub=World Bank | cols: country, date, value, indicator
[1672] Barro-Lee: Percentage of population age 15+ with no education | pub=World Bank | desc: Percentage of population age 15+ with no education | cols: country, date, value, indicator | tags: Education 
[1678] Barro-Lee: Percentage of population age 25+ with no education | pub=World Bank | desc: Percentage of population age 25+ with no education | cols: country, date, value, indicator | tags: Education 
[1698] Barro-Lee: Percentage of population age 75+ with no education | pub=World Bank | desc: Percentage of population age 75+ with no education | cols: country, date, value, indicator
[1819] Barro-Lee: Percentage of female population age 15-19 with primary schooling. Incomplete primary | pub=World Bank | cols: country, date, value, indicator
