[15641] GDP on Utilities Sector (in IDR Million), Constant Price | pub=World Bank | cols: country, date, value, indicator
[15642] GDP on Water Supply, Sewerage, Waste & Recycling Management Sector (in IDR Million), SNA 2008, Curre | pub=World Bank | cols: country, date, value, indicator
[15643] GDP on Water Supply, Sewerage, Waste & Recycling Management Sector (in IDR Million), SNA 2008, Const | pub=World Bank | cols: country, date, value, indicator
[15647] General government consumption (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15650] General government consumption (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15651] General government consumption (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15656] Private consumption per capita (1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15660] Private consumption, etc. (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15663] Private consumption, etc. (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15664] Private consumption, etc. (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15670] Private consumption (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15673] Private consumption,  (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15674] Private consumption (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15677] Private consumption per capita growth (annual %) | pub=World Bank | cols: country, date, value, indicator
[15678] Private consumption per capita (constant 1995 US$) | pub=World Bank | cols: country, date, value, indicator
[15679] Private consumption per capita growth (annual %) | pub=World Bank | cols: country, date, value, indicator
[15683] Private consumption per capita (1987 USD) | pub=World Bank | cols: country, date, value, indicator
[15687] Total consumption, etc. (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15690] Total consumption, etc. (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15691] Total consumption, etc. (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15696] Total consumption (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15699] Total consumption (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15700] Total consumption: contribution to growth of GDP (%) | pub=World Bank | cols: country, date, value, indicator
[15705] Domestic Absorption Deflator | pub=World Bank | cols: country, date, value, indicator
[15707] Domestic absorption (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15709] Domestic absorption (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15710] Domestic Absorption deflator  (1987=100,Index) | pub=World Bank | cols: country, date, value, indicator
[15712] KP Capacity to Import (Local) | pub=World Bank | cols: country, date, value, indicator
[15716] Exports of goods and services (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
[15719] Exports of goods and services (constant 1987 LCU) | pub=World Bank | cols: country, date, value, indicator
[15720] Exports of goods and services (annual % growth) | pub=World Bank | cols: country, date, value, indicator
[15724] KP Terms of Trade Adjustment (Local) | pub=World Bank | cols: country, date, value, indicator
[15726] GDP expenditure on general government consumption (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15727] GDP expenditure on non profit private institution consumption (in IDR Million) | pub=World Bank | cols: country, date, value, indicator
[15728] GDP expenditure on non profit private institution consumption (in IDR Million), SNA 2008, Current Pr | pub=World Bank | cols: country, date, value, indicator
[15729] GDP expenditure on private consumption (in IDR Million) | pub=World Bank | cols: country, date, value, indicator
[15730] GDP expenditure on private consumption (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15732] GDP expenditure on exports (in IDR Million), SNA 2008, Current Price | pub=World Bank | cols: country, date, value, indicator
[15741] CP Fixed Investment (Local) | pub=World Bank | cols: country, date, value, indicator
[15742] Fixed Investment (local) (Const. Price) | pub=World Bank | cols: country, date, value, indicator
[15751] Private fixed investment (% of GDFI) | pub=World Bank | cols: country, date, value, indicator
[15752] Private fixed investment (% of gross domestic fixed investment) | pub=World Bank | cols: country, date, value, indicator
[15753] Private investment (% of GDFI) | pub=World Bank | cols: country, date, value, indicator
[15754] Private investment (% of GDFI) | pub=World Bank | cols: country, date, value, indicator
[15767] Gross domestic fixed investment (constant 1987 US$) | pub=World Bank | cols: country, date, value, indicator
