[3026] Passenger volume by mode (billion tons-km) - Air transport | pub=World Bank | cols: country, date, value, indicator
[3033] Percentage of population with No Education | pub=World Bank | cols: country, date, value, indicator
[3036] Percentage of population with Post Secondary Education | pub=World Bank | cols: country, date, value, indicator
[3041] Public social protection expenditure (%of GDP) | pub=World Bank | cols: country, date, value, indicator
[3047] Number of companies that are TCFD compliant by sector - Energy | pub=World Bank | cols: country, date, value, indicator
[3051] Number of companies that are TCFD compliant by sector - Industrials | pub=World Bank | cols: country, date, value, indicator
[3066] Natural hazard levels - Wildfire | pub=World Bank | cols: country, date, value, indicator
[3070] Annual investments needed to make transport infrastructure more resilient by 2030 (% of baseline inv | pub=World Bank | cols: country, date, value, indicator
[3072] Resilient infrastructure would reduce annual repair cost by a factor | pub=World Bank | cols: country, date, value, indicator
[3073] Total GHG emissions growth in the period 2012-2018 (%) | pub=World Bank | cols: country, date, value, indicator
[3074] Total coal capacity by plant status (MW) - Announced | pub=World Bank | cols: country, date, value, indicator
[3083] Persons aged 15 to 29 years with clean cooking fuel (% of persons aged 15 to 29 years with disabilit | pub=World Bank | cols: country, date, value, indicator
[3084] Persons aged 30 to 44 years with clean cooking fuel (% of persons aged 30 to 44 years with disabilit | pub=World Bank | cols: country, date, value, indicator
[3085] Persons aged 45 to 64 years with clean cooking fuel (% of persons aged 45 to 64 years with disabilit | pub=World Bank | cols: country, date, value, indicator
[3086] Persons aged 65 or older with clean cooking fuel (% of persons aged 65 or older with disability i.e. | pub=World Bank | cols: country, date, value, indicator
[3087] Persons with clean cooking fuel (% of persons with disability i.e. at least a lot of functional diff | pub=World Bank | cols: country, date, value, indicator
[3088] Female persons with clean cooking fuel (% of female persons with disability i.e. at least a lot of f | pub=World Bank | cols: country, date, value, indicator
[3089] Male persons with clean cooking fuel (% of male persons with disability i.e. at least a lot of funct | pub=World Bank | cols: country, date, value, indicator
[3090] Persons living in rural areas with clean cooking fuel (% of persons living in rural areas with disab | pub=World Bank | cols: country, date, value, indicator
[3091] Persons living in urban areas with clean cooking fuel (% of persons living in urban areas with disab | pub=World Bank | cols: country, date, value, indicator
[3092] Persons aged 15 to 29 years with clean cooking fuel (% of persons aged 15 to 29 years with any degre | pub=World Bank | cols: country, date, value, indicator
[3093] Persons aged 30 to 44 years with clean cooking fuel (% of persons aged 30 to 44 years with any degre | pub=World Bank | cols: country, date, value, indicator
[3094] Persons aged 45 to 64 years with clean cooking fuel (% of persons aged 45 to 64 years with any degre | pub=World Bank | cols: country, date, value, indicator
[3095] Persons aged 65 or older with clean cooking fuel (% of persons aged 65 or older with any degree of f | pub=World Bank | cols: country, date, value, indicator
[3096] Persons with clean cooking fuel (% of persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3097] Persons with clean cooking fuel (% of persons with any degree of cognitive difficulty) | pub=World Bank | cols: country, date, value, indicator
[3098] Persons with clean cooking fuel (% of persons with  any degree of communication difficulty) | pub=World Bank | cols: country, date, value, indicator
[3099] Female persons with clean cooking fuel (% of female persons with any degree of functional difficulty | pub=World Bank | cols: country, date, value, indicator
[3100] Persons with clean cooking fuel (% of persons with  any degree of hearing difficulty) | pub=World Bank | cols: country, date, value, indicator
[3101] Male persons with clean cooking fuel (% of male persons with any degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
