[5404] Centerlines Labels | pub=State of Utah | cols: the_geom, RuleID, CFCC, Lcitycd, R_JURIS, ACS_STREET, S_ACCUR, S_ACCESS, SPEED_LIMIT, PRE_DIR
[5407] tl_2013_49_cousub | pub=State of Utah | cols: CNECTAFP, NAME, COUSUBNS, NCTADVFP, FUNCSTAT, INTPTLON, GEOID, NECTAFP, AWATER, ALAND
[5408] Golf Courses | pub=State of Utah | cols: OBJECTID, Basketball_Stands, NAME, Park_Acres, Parking_Stalls, Playground, Soccer_Lighting, Municipality, County, Volleyball_Lighting
[5409] BLM Congressionally Designated Wilderness_data | pub=State of Utah | cols: DESIG, the_geom, GIS_Acres, Label_Federal, COUNTY, Tribe, GlobalID, SHAPE.STArea(), SHAPE.STLength(), NATIONAL LEGEND
[5410] Police Statistical Quads | pub=State of Utah | cols: the_geom, Perimeter (ft.), Color, Area (sq. ft.), Row ID, Location, Quadrant
[5411] HBP BLM Oil and Gas Contracts_data | pub=State of Utah | cols: GlobalID, OBJECTID, CaseType, SHAPE.STArea(), Parcel LSS, Case Acres, the_geom, Case Disposition, Sale USO, Expiration Date
[5412] Urban Wildland Interface | pub=State of Utah | cols: Shape.area, the_geom, OBJECTID, Id, Shape.len
[5413] PMA Segments (PQI) | pub=State of Utah | cols: One_Way, Quadrant, the_geom, Municipality, GASB_Cond_Group, Council_District, GIS_Width, PQI, Lanes, AADT_Count
[5414] CMBOOK | pub=State of Utah | cols: PWTYPE, METER_COUNT, the_geom, FACILITYID, SHAPE.len, OBJECTID, FEATURE_ID, GlobalID, SHAPE.area, METERROUTE
[5415] CountyRoads_RRAMS~4k | pub=State of Utah | cols: Road Structure Thickness, Surface Thickness, Safety Features Condition, Grav/Dirt: Excavation Failure Severity, Dir From POB, Grav/Dirt: Upheaval Severity, Lane Width Condition, Asph/Chip: Longitudinal (Seam) Cracking Density, Asph/Chip: Edge Crack Density, Right Lane Width
[5416] Drinking Water Source Protection Zone 2 | pub=State of Utah | cols: LAYER, GIS_ID, LABEL, Well_No, Address, Shape.STArea(), Shape.STLength(), OBJECTID_1, SOURCE_DES, the_geom
[5417] slcogis.GDB_HL_PHIB.SLCOZIPstats | pub=State of Utah | cols: latitude, longitude, the_geom, DOSE_NO, OBJECTID, ZIP, RACE, VAX_STATUS, ETHNICITY_CODED
[5418] Utah House Reps | pub=State of Utah | cols: DIST, Shape_Length, the_geom, OBJECTID, Shape_Area
[5421] Fire Hydrant | pub=State of Utah | cols: PROVIDER, VSIZE, last_edited_date, COMMENTS, LOCATION, ACAD_ANGLE, THIRTYPSIFLOW, HYDSIZE, COLLTBY, NORTHING
[5422] Detention Ponds | pub=State of Utah | cols: OWNERSHIP, ADDRESS, MaintRating, SpillwayGopher, created_user, created_date, OBJECTID, DDETBASN.AREA, GlobalID, DamGopher
[5423] Aerial_Photography_Extents_data | pub=State of Utah | cols: File_Extension, OBJECTID, ServiceName, Product, REST_Endpoint, Contact, File_Format, Description, LYR_File, the_geom
[5424] Railroads | pub=State of Utah | cols: OBJECTID, the_geom, SHAPE.STLength(), CLASS
[5425] Zip Codes_data | pub=State of Utah | cols: OBJECTID_1, Shape_Area, Shape_Length, COUNTYNBR, SYMBOL, NAME, the_geom, ZIP5, OBJECTID
[5426] Roads not Plowed by Sandy | pub=State of Utah | cols: toright, DATA_DATE, RuleID, ALT_NAME, DATA_EDITOR, SUF_DIR, CARTO_CODE, S_TYPE, COMMENTS, R_JURIS
[5427] Separator | pub=State of Utah | cols: OWNERSHIP, PIPE_SIZE, created_user, MaintSched, Comments, INVERT4, MaintRating, CONDITION, OVERLAYED, Enabled
[5430] Annexations | pub=State of Utah | cols: OBJECTID, SLCO_Ord_Book_Page, Type, Old_Jurisdiction, Effective_Date, the_geom, SLCO_Ord_Record_Numb, Name, Shape.area, Acres
[5431] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Culex erythrothorax, CITY, Ochlerotatus increpitus, Culiseta incidens, CREATED_USER, LAST_EDITED_USER, OBJECTID, Trap Type, Last Amount, Ochlerotatus campestris
[5432] North Dry Creek Pressurized | pub=State of Utah | cols: GlobalID, Shape.len, the_geom, created_user, OBJECTID, created_date, last_edited_date, NAME, HasAttachment, SIZE
[5433] CountyRoads_RRAMS_CurYear~.25K | pub=State of Utah | cols: Asph/Chip: Excavation Failure Severity, Other Segment Value_2, Drainage, Last Year Total Segment Value_2, Bus Route, Road Base Thickness_2, Asph/Chip: Raveling Density, Concrete: Faulting Density, Total Ag Field Accesses_2, Asph/Chip: Excavation Failure Density_2
[5434] Roads | pub=State of Utah | cols: DOT_RD, LeftToAddress, Pave_Width, SourceOfData, AM_Asset_ID, PostedSpeedLimit, FullName, CITYCODE_R, CITYCODE_L, PostalZipCodeRight
[5436] Bubble Up | pub=State of Utah | cols: GPSDATE, created_date, InspDate, RuleID, SCOUTS, GlobalID, Comments, CURB_INLET, PIPE_TYPE, OWNERSHIP
[5438] National Parks/Monuments Boundaries_data | pub=State of Utah | cols: STATE OF UTAH LEGEND, admin, OWNER AGENCY, SHAPE_Area, OBJECTID, LABEL_STATE, LABEL_FEDERAL, GIS_ACRES, EDIT_DATE, SHAPE_Length
[5439] Treatment 2016 | pub=State of Utah | cols: Shape_Length, Shape_Area, AreaI, ID, DateofApp, OBJECTID, the_geom
[5440] Diversion Structure | pub=State of Utah | cols: created_date, GlobalID, NOTES, created_user, GPS Date, the_geom, SCADA, OBJECTID, Waterway, last_edited_user
[5441] Landscaping | pub=State of Utah | cols: Location, the_geom, AssetID, Area_Type, Shape.STLength(), Shape_STArea__, Shape.STArea(), Description, OBJECTID, Address
[5442] Other National Designated Area Status_data | pub=State of Utah | cols: OTHNATLDESGSTATUSID, LOCALCASEID, ACTIONDATE, Area Name, OFFICIALACRES, WILDERNESS_FK, OBJECTID, COMMENTS, REGION, AREAID
[5443] Priority Area Inspection | pub=State of Utah | cols: CODE, NORTHING, Last Inspection Date, CONDITIONDATE, SANDTRAP, LOCATION, OBJID, GPSDATE, FacilityID, OBJECTID
[5445] Deed points~.5K | pub=State of Utah | cols: ParcelID Label, ANGLE, LAST_EDITED_USER, Book & Page, CREATED_USER, SCALE, DOC_ENTRY, TYPE, DOC_OWNER, the_geom
[5446] County Libraries | pub=State of Utah | cols: ZIP, the_geom, NAME, YEAR_BUILT, OBJECTID, PARKING_ACREAGE, TOTAL_ACREAGE, GlobalID, ADDRESS
[5447] BLM Units_data | pub=State of Utah | cols: OPERATOR, OBJECTID, STATUS, GIS Acres, Contraction Date, UNITNAME, Percent Federal, Original Contract Number, GlobalID, Comment
