[10245] Received wages: into a bank or similar financial institution account, primary education or less (% a | pub=World Bank | cols: country, date, value, indicator
[10246] Received wages: into a bank or similar financial institution account, secondary education or more (% | pub=World Bank | cols: country, date, value, indicator
[10247] Received wages: into a bank or similar financial institution account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10248] Received wages: into a bank or similar financial institution account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10249] Received wages: into a bank or similar financial institution account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10250] Received wages: into a bank or similar financial institution account (% of wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10251] Received wages: through a mobile phone  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10252] Received wages: through a mobile phone, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10253] Received wages: through a mobile phone, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10254] Received wages: through a mobile phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10255] Received wages: through a mobile phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10256] Received wages: through a mobile phone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10257] Received wages: through a mobile phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10258] Received wages: through a mobile phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10259] Received wages: through a mobile phone, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10260] Received wages: through a mobile phone, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10261] Received wages: through a mobile phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10262] Received wages: through a mobile phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10263] Received wages: through a mobile phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10264] Received wages: through a mobile phone (% of wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10267] Received wages: in cash only, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10268] Received wages: in cash only, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10269] Received wages: in cash only, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10271] Received wages: in cash only, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10272] Received wages: in cash only, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10273] Received wages: in cash only, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10274] Received wages: in cash only, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10275] Received wages: in cash only, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10276] Received wages: in cash only, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10277] Received wages: in cash only, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10278] Received wages: in cash only (% of wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10279] Received wages: to a card  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10280] Received wages: to a card, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10281] Received wages: to a card, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10282] Received wages: to a card, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10283] Received wages: to a card, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10284] Received wages: to a card, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
