[3163] Persons using a computer (% of persons with  any degree of seeing difficulty) | pub=World Bank | cols: country, date, value, indicator
[3164] Persons using a computer (% of persons with  any degree of selfcare difficulty) | pub=World Bank | cols: country, date, value, indicator
[3165] Persons living in urban areas using a computer (% of persons living in urban areas with any degree o | pub=World Bank | cols: country, date, value, indicator
[3166] Persons aged 15 to 29 years using a computer (% of persons aged 15 to 29 years with no functional di | pub=World Bank | cols: country, date, value, indicator
[3167] Persons aged 30 to 44 years using a computer (% of persons aged 30 to 44 years with no functional di | pub=World Bank | cols: country, date, value, indicator
[3168] Persons aged 45 to 64 years using a computer (% of persons aged 45 to 64 years with no functional di | pub=World Bank | cols: country, date, value, indicator
[3169] Persons aged 65 or older using a computer (% of persons aged 65 or older with no functional difficul | pub=World Bank | cols: country, date, value, indicator
[3170] Persons using a computer (% of persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3171] Female persons using a computer (% of female persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3172] Male persons using a computer (% of male persons with no functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3173] Persons living in rural areas using a computer (% of persons living in rural areas with no functiona | pub=World Bank | cols: country, date, value, indicator
[3174] Persons living in urban areas using a computer (% of persons living in urban areas with no functiona | pub=World Bank | cols: country, date, value, indicator
[3175] Persons aged 15 to 29 years using a computer (% of persons aged 15 to 29 years with none or some deg | pub=World Bank | cols: country, date, value, indicator
[3176] Persons aged 30 to 44 years using a computer (% of persons aged 30 to 44 years with none or some deg | pub=World Bank | cols: country, date, value, indicator
[3177] Persons aged 45 to 64 years using a computer (% of persons aged 45 to 64 years with none or some deg | pub=World Bank | cols: country, date, value, indicator
[3178] Persons aged 65 or older using a computer (% of persons aged 65 or older with none or some degree of | pub=World Bank | cols: country, date, value, indicator
[3179] Persons using a computer (% of persons with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3180] Female persons using a computer (% of female persons with none or some degree of functional difficul | pub=World Bank | cols: country, date, value, indicator
[3181] Male persons using a computer (% of male persons with none or some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3182] Persons living in rural areas using a computer (% of persons living in rural areas with none or some | pub=World Bank | cols: country, date, value, indicator
[3183] Persons living in urban areas using a computer (% of persons living in urban areas with none or some | pub=World Bank | cols: country, date, value, indicator
[3184] Persons aged 15 to 29 years using a computer (% of persons aged 15 to 29 years with some degree of f | pub=World Bank | cols: country, date, value, indicator
[3185] Persons aged 30 to 44 years using a computer (% of persons aged 30 to 44 years with some degree of f | pub=World Bank | cols: country, date, value, indicator
[3186] Persons aged 45 to 64 years using a computer (% of persons aged 45 to 64 years with some degree of f | pub=World Bank | cols: country, date, value, indicator
[3187] Persons aged 65 or older using a computer (% of persons aged 65 or older with some degree of functio | pub=World Bank | cols: country, date, value, indicator
[3188] Persons using a computer (% of persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3189] Female persons using a computer (% of female persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3190] Male persons using a computer (% of male persons with some degree of functional difficulty) | pub=World Bank | cols: country, date, value, indicator
[3191] Persons living in rural areas using a computer (% of persons living in rural areas with some degree  | pub=World Bank | cols: country, date, value, indicator
[3192] Persons living in urban areas using a computer (% of persons living in urban areas with some degree  | pub=World Bank | cols: country, date, value, indicator
[3193] Affordability of an energy sufficient diet: ratio of cost to food expenditures | pub=World Bank | cols: country, date, value, indicator
[3194] Affordability of an energy sufficient diet: ratio of cost to food expenditures | pub=World Bank | cols: country, date, value, indicator
[3195] Percent of the population who cannot afford sufficient calories | pub=World Bank | cols: country, date, value, indicator
[3196] Percent of the population who cannot afford sufficient calories | pub=World Bank | cols: country, date, value, indicator
[3197] Cost of an energy sufficient diet in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3198] Cost of an energy sufficient diet in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3199] Affordability of an energy sufficient diet: ratio of cost to the food poverty line | pub=World Bank | cols: country, date, value, indicator
[3200] Affordability of an energy sufficient diet: ratio of cost to the food poverty line | pub=World Bank | cols: country, date, value, indicator
[3201] Cost of an energy sufficient diet in PPP dollars | pub=World Bank | cols: country, date, value, indicator
[3202] Cost of an energy sufficient diet in PPP dollars | pub=World Bank | cols: country, date, value, indicator
[3203] Millions of people who cannot afford sufficient calories | pub=World Bank | cols: country, date, value, indicator
[3204] Millions of people who cannot afford sufficient calories | pub=World Bank | cols: country, date, value, indicator
[3205] Cost of animal source foods in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3206] Cost of animal source foods in local currency unit | pub=World Bank | cols: country, date, value, indicator
[3207] Cost of animal source foods in PPP dollars | pub=World Bank | cols: country, date, value, indicator
[3208] Cost of animal source foods in PPP dollars | pub=World Bank | cols: country, date, value, indicator
