[16654] World Bank: Share of junior secondary education expenditures for Quintile 1 (poorest) (%) | pub=World Bank | cols: country, date, value, indicator
[16655] World Bank: Share of junior secondary education expenditures for Quintile 2 (%) | pub=World Bank | cols: country, date, value, indicator
[16656] World Bank: Share of junior secondary education expenditures for Quintile 3 (%) | pub=World Bank | cols: country, date, value, indicator
[16657] World Bank: Share of junior secondary education expenditures for Quintile 4 (%) | pub=World Bank | cols: country, date, value, indicator
[16658] World Bank: Share of junior secondary education expenditures for Quintile 5 (richest) (%) | pub=World Bank | cols: country, date, value, indicator
[16659] World Bank: Share of education expenditures for the poorest 40% of students (%), Junior Secondary | pub=World Bank | cols: country, date, value, indicator
[16660] World Bank: Share of education expenditures for the richest 40% of students (%), Junior Secondary | pub=World Bank | cols: country, date, value, indicator
[16661] World Bank: Recurrent share of junior secondary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16662] World Bank: Share of total recurrent education expenditure (%), junior secondary | pub=World Bank | cols: country, date, value, indicator
[16663] World Bank: Salaries' share of junior secondary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16664] World Bank: Ratio of Teacher Salaries to per capita GDP, junior secondary | pub=World Bank | cols: country, date, value, indicator
[16665] World Bank: Share of recurrent education expenditures for junior secondary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16666] World Bank: Salaries' share of junior secondary recurrent expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[16667] World Bank: Share of total education expenditures for junior secondary salaries (%) | pub=World Bank | cols: country, date, value, indicator
[16668] World Bank: Average Annual Teacher Salary (in USD or local currency), junior secondary | pub=World Bank | cols: country, date, value, indicator
[16669] World Bank: Share of junior secondary education expenditures from government sources (%) | pub=World Bank | cols: country, date, value, indicator
[16670] World Bank: Average annual teaching load, junior secondary (hours of instruction per year) | pub=World Bank | cols: country, date, value, indicator
[16671] World Bank: Share of teachers for junior secondary education (%) | pub=World Bank | cols: country, date, value, indicator
[16672] World Bank: Teaching/Non-Teaching Staff Ratio, junior secondary | pub=World Bank | cols: country, date, value, indicator
[16673] World Bank: Share of total education expenditure for junior secondary education (%) | pub=World Bank | cols: country, date, value, indicator
[16674] World Bank: Total expenditures on junior secondary education (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
