[14209] Total labor force in the sample, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[14210] Total labor force in the sample, aged 15-64, rural | pub=World Bank | cols: country, date, value, indicator
[14211] Total labor force in the sample, aged 15-64, urban | pub=World Bank | cols: country, date, value, indicator
[14212] Total labor force in the sample, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[14213] Youth unemployment rate, aged 15-24, female (% of female youth labor force) | pub=World Bank | cols: country, date, value, indicator
[14214] Youth unemployment rate, aged 15-24, above primary education (% of youth labor force with high educa | pub=World Bank | cols: country, date, value, indicator
[14215] Youth unemployment rate, aged 15-24, primary education and below (% of youth labor force with low ed | pub=World Bank | cols: country, date, value, indicator
[14216] Youth unemployment rate, aged 15-24, male (% of male youth labor force) | pub=World Bank | cols: country, date, value, indicator
[14217] Youth unemployment rate, aged 15-24, rural (% of rural youth labor force) | pub=World Bank | cols: country, date, value, indicator
[14218] Youth unemployment rate, aged 15-24, urban (% of urban youth labor force) | pub=World Bank | cols: country, date, value, indicator
[14219] Youth unemployment rate, aged 15-24, total (% of total youth labor force) | pub=World Bank | cols: country, date, value, indicator
[14220] Unemployment rate, aged 15-64, female (% of female labor force in working age) | pub=World Bank | cols: country, date, value, indicator
[14221] Unemployment rate, aged 15-64, above primary education (% of labor force with high education in work | pub=World Bank | cols: country, date, value, indicator
[14222] Unemployment rate, aged 15-64, primary education and below (% of labor force with low education in w | pub=World Bank | cols: country, date, value, indicator
[14223] Unemployment rate, aged 15-64, male (% of male labor force in working age) | pub=World Bank | cols: country, date, value, indicator
[14224] Unemployment rate, aged 25-64 (% of labor force aged 25-64) | pub=World Bank | cols: country, date, value, indicator
[14225] Unemployment rate, aged 15-64, rural (% of rural labor force in working age) | pub=World Bank | cols: country, date, value, indicator
[14226] Unemployment rate, aged 15-64, urban (% of urban labor force in working age) | pub=World Bank | cols: country, date, value, indicator
[14227] Unemployment rate, aged 15-24 (% of labor force aged 15-24) | pub=World Bank | cols: country, date, value, indicator
[14228] Unemployment rate, aged 15-64, total (% of total labor force in working age) | pub=World Bank | cols: country, date, value, indicator
[14229] Youth not in employment or education, aged 15-24, female (% of female youth population) | pub=World Bank | cols: country, date, value, indicator
[14230] Youth not in employment or education, aged 15-24, above primary education (% of youth population wit | pub=World Bank | cols: country, date, value, indicator
[14231] Youth not in employment or education, aged 15-24, primary education and below (% of youth population | pub=World Bank | cols: country, date, value, indicator
[14232] Youth not in employment or education, aged 15-24, male (% of male youth population) | pub=World Bank | cols: country, date, value, indicator
[14233] Youth not in employment or education, aged 15-24, rural (% of rural youth population) | pub=World Bank | cols: country, date, value, indicator
[14234] Youth not in employment or education, aged 15-24, urban (% of urban youth population) | pub=World Bank | cols: country, date, value, indicator
[14235] Youth not in employment or education, aged 15-24, total (% of total youth population) | pub=World Bank | cols: country, date, value, indicator
[14236] Female to male gender wage gap, aged 15-64, total | pub=World Bank | cols: country, date, value, indicator
[14237] Female to male gender wage gap, aged 15-64, above primary education | pub=World Bank | cols: country, date, value, indicator
[14238] Female to male gender wage gap, aged 15-64, primary education and below | pub=World Bank | cols: country, date, value, indicator
[14239] Female to male gender wage gap, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[14240] Female to male gender wage gap, aged 15-64, rural | pub=World Bank | cols: country, date, value, indicator
[14241] Female to male gender wage gap, aged 15-64, urban | pub=World Bank | cols: country, date, value, indicator
[14242] Female to male gender wage gap, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[14243] Real median earnings per hour, aged 15-64, deflated to 2010 and PPP adjusted, total | pub=World Bank | cols: country, date, value, indicator
[14244] Median earnings per hour, aged 15-64, local currency values, total | pub=World Bank | cols: country, date, value, indicator
[14245] Median earnings per hour, aged 15-64, deflated to 2010 local currency values, total | pub=World Bank | cols: country, date, value, indicator
[14246] Real median earnings per hour, aged 15-64, deflated to 2010 and PPP adjusted, female | pub=World Bank | cols: country, date, value, indicator
[14247] Median earnings per hour, aged 15-64, local currency values, female | pub=World Bank | cols: country, date, value, indicator
[14248] Median earnings per hour, aged 15-64, deflated to 2010 local currency values, female | pub=World Bank | cols: country, date, value, indicator
[14249] Real median earnings per hour, aged 15-64, deflated to 2010 and PPP adjusted, above primary educatio | pub=World Bank | cols: country, date, value, indicator
