[5263] selected_wells_2162018 | pub=State of Utah | cols: RangeDir, Dir_Horiz, UTMZone, Multi_Lats, County, DrkFloor_E, TownshipDi, OriginalFi, OperatorNo, LeaseType
[5264] Cul de Sac Points | pub=State of Utah | cols: VISIBLE, LAST_EDITED_DATE, Last Editor, CREATED_DATE, GLOBALID, CREATED_USER, Last Update Date, OBJECTID, the_geom, LAST_EDITED_USER
[5265] CountyRoads_RRAMS~2k | pub=State of Utah | cols: Last Update, Other Curb Type Left, Total Commercial Truck Accesses, Surface Type, Last Inspection, Grav/Dirt: Upheaval Severity, Average Daily Traffic, Safety Features Condition, Grav/Dirt: Dust Severity, ADT Trucks
[5266] Union and East Jordan Canal | pub=State of Utah | cols: created_date, the_geom, NAME, HasAttachment, SIZE, GlobalID, OBJECTID, last_edited_date, Shape.len, created_user
[5267] LiDAR2016_50cm_MonroeMtn_DEM_Tiles_data | pub=State of Utah | cols: SHAPE_Length, the_geom, OBJECTID, SHAPE_Area, TILE, PATH, EXT, SIZE
[5269] Coal Deposit Area_data | pub=State of Utah | cols: SHAPE.STArea(), SHAPE.STLength(), LABEL, NAME, DISTRICT, OBJECTID, the_geom
[5270] TaxEntities2017_data | pub=State of Utah | cols: SHAPE_Length, TEMP1, OBJECTID, ENT_ID, ENT_CODE, WEBSITE, PHONE, ENT_CO, ENT_DESC, the_geom
[5271] Storm Drain Pipes | pub=State of Utah | cols: the_geom, OBJECTID, FacilityID, PIPE_TYPE, IRRIGATION, PIPE_SIZE, GlobalID, INVERT_IN, INVERT_OUT, DIP_IN
[5274] CountyRoads_RRAMS~18k | pub=State of Utah | cols: the_geom, Lane Width, Grav/Dirt: Improper Cross Section (Inadequate Crown) Density, Grav/Dirt: Lateral Erosion Severity, Grav/Dirt: Density of Mud or Slipperiness, Grav/Dirt: Longitudinal Erosion Density, Grav/Dirt: Washout Severity, Grav/Dirt: Washout Density, Active, Grav/Dirt: Upheaval Severity
[5275] Score Board | pub=State of Utah | cols: OBJECTID, Location, Address, the_geom, AssetID
