[10365] Received government transfer or pension: through a mobile phone, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10366] Received government transfer or pension: through a mobile phone, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10367] Received government transfer or pension: through a mobile phone, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10368] Received government transfer or pension: through a mobile phone, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10369] Received government transfer or pension: through a mobile phone, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10370] Received government transfer or pension: through a mobile phone, primary education or less (% age 15 | pub=World Bank | cols: country, date, value, indicator
[10371] Received government transfer or pension: through a mobile phone, secondary education or more (% age  | pub=World Bank | cols: country, date, value, indicator
[10372] Received government transfer or pension: through a mobile phone, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10373] Received government transfer or pension: through a mobile phone, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10374] Received government transfer or pension: through a mobile phone, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10375] Received government transfer or pension: through a mobile phone (% of government transfer or pension | pub=World Bank | cols: country, date, value, indicator
[10376] Received government transfer or pension: cash only  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10377] Received government transfer or pension: cash only, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10378] Received government transfer or pension: cash only, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10379] Received government transfer or pension: cash only, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10380] Received government transfer or pension: cash only, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10381] Received government transfer or pension: cash only, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10382] Received government transfer or pension: cash only, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10383] Received government transfer or pension: cash only, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10384] Received government transfer or pension: cash only, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10385] Received government transfer or pension: cash only, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10386] Received government transfer or pension: cash only, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10387] Received government transfer or pension: cash only, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10388] Received government transfer or pension: cash only, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10389] Received government transfer or pension: in cash only (% of government transfer or pension recipient | pub=World Bank | cols: country, date, value, indicator
[10390] Received government transfer or pension: to a card  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10391] Received government transfer or pension: to a card, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10392] Received government transfer or pension: to a card, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10393] Received government transfer or pension: to a card, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10394] Received government transfer or pension: to a card, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10395] Received government transfer or pension: to a card, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10396] Received government transfer or pension: to a card, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10397] Received government transfer or pension: to a card, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10398] Received government transfer or pension: to a card, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10399] Received government transfer or pension: to a card, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10400] Received government transfer or pension: to a card, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
