[17155] World Bank: Share of subnational education expenditures, primary (%) | pub=World Bank | cols: country, date, value, indicator
[17156] World Bank: Subnational government share of recurrent education expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17157] World Bank: Share of subnational education expenditures for recurrent expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17158] World Bank: Share of total subnational government expenditures for the education sector (%) | pub=World Bank | cols: country, date, value, indicator
[17159] World Bank: Subnational government share of salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17160] World Bank: Share of subnational education expenditures for salaries (%) | pub=World Bank | cols: country, date, value, indicator
[17161] World Bank: Share of subnational education expenditures, secondary (%) | pub=World Bank | cols: country, date, value, indicator
[17162] World Bank: Share of total education staff employed at the subnational level (%) | pub=World Bank | cols: country, date, value, indicator
[17163] World Bank: Share of subnational education expenditures, tertiary (%) | pub=World Bank | cols: country, date, value, indicator
[17164] World Bank: Share of subnational education expenditures, technical/vocational (%) | pub=World Bank | cols: country, date, value, indicator
[17165] World Bank: Share of tertiary education expenditures financed by central government sources (%) | pub=World Bank | cols: country, date, value, indicator
[17166] World Bank: Share of tertiary education expenditures financed by district/municipal government sourc | pub=World Bank | cols: country, date, value, indicator
[17167] World Bank: Share of tertiary education expenditures financed by provincial/state government sources | pub=World Bank | cols: country, date, value, indicator
[17168] World Bank: Share of total education revenues from central sources (%) | pub=World Bank | cols: country, date, value, indicator
[17169] World Bank: Share of total education revenues from subnational sources (%) | pub=World Bank | cols: country, date, value, indicator
[17170] World Bank: Share of vocational education expenditures financed by central government sources (%) | pub=World Bank | cols: country, date, value, indicator
[17171] World Bank: Share of vocational education expenditures financed by district/municipal government sou | pub=World Bank | cols: country, date, value, indicator
[17172] World Bank: Share of vocational education expenditures financed by provincial/state government sourc | pub=World Bank | cols: country, date, value, indicator
[17173] World Bank: Share of education expenditures from international sources for special education (%) | pub=World Bank | cols: country, date, value, indicator
[17174] World Bank: Average annual salary for special education teachers (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17175] World Bank: Share of special education expenditures from government sources (%) | pub=World Bank | cols: country, date, value, indicator
[17176] World Bank: Share of special education expenditures from international sources (%) | pub=World Bank | cols: country, date, value, indicator
[17177] World Bank: Share of senior secondary expenditures for administration (%) | pub=World Bank | cols: country, date, value, indicator
[17178] World Bank: Capital share of senior secondary expenditures (%) | pub=World Bank | cols: country, date, value, indicator
[17179] World Bank: Share of total capital education expenditure (%), senior secondary | pub=World Bank | cols: country, date, value, indicator
[17180] World Bank: Repetition/Drop-out Inefficiency Cost, senior secondary | pub=World Bank | cols: country, date, value, indicator
[17181] World Bank: Repetition/Dropout Inefficiency Annual Resource Input Ratio, senior secondary | pub=World Bank | cols: country, date, value, indicator
[17182] World Bank: Share of senior secondary recurrent expenditures for goods and services (%) | pub=World Bank | cols: country, date, value, indicator
[17183] World Bank: Share of education expenditures from international sources for senior secondary educatio | pub=World Bank | cols: country, date, value, indicator
[17184] World Bank: Pupil/Classroom Ratio, senior secondary | pub=World Bank | cols: country, date, value, indicator
[17185] World Bank: Pupils/Class, senior secondary | pub=World Bank | cols: country, date, value, indicator
[17186] World Bank: Public education expenditure per student (% of GDP per capita), senior secondary | pub=World Bank | cols: country, date, value, indicator
[17187] World Bank: Per student non-salary spending, senior secondary (in USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17188] World Bank: Ratio of expenditures per student, senior secondary to primary | pub=World Bank | cols: country, date, value, indicator
[17189] World Bank: Recurrent expenditures per senior secondary student (USD or local currency) | pub=World Bank | cols: country, date, value, indicator
[17190] World Bank: Expenditures per student per year (in USD), senior secondary | pub=World Bank | cols: country, date, value, indicator
[17191] World Bank: Pupil/Total Staff Ratio, senior secondary | pub=World Bank | cols: country, date, value, indicator
