[10919] Received government payments: into an account (% of government payment recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10920] Received government payments: to a card  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10921] Received government payments: to a card, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10922] Received government payments: to a card, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10923] Received government payments: to a card, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10924] Received government payments: to a card, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10925] Received government payments: to a card, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10926] Received government payments: to a card, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10927] Received government payments: to a card, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10928] Received government payments: to a card, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10929] Received government payments: to a card, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10930] Received government payments: to a card, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10931] Received government payments: to a card (% of government payment recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10932] Received government payments: in cash only  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10933] Received government payments: in cash only, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10934] Received government payments: in cash only, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10935] Received government payments: in cash only, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10936] Received government payments: in cash only, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10937] Received government payments: in cash only, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10938] Received government payments: in cash only, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10939] Received government payments: in cash only, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10940] Received government payments: in cash only, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10941] Received government payments: in cash only, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10942] Received government payments: in cash only, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10943] Received government payments: in cash only, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10944] Received government payments: in cash only, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10945] Received government payments: in cash only (% of government payment recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10948] Received government payments: into a bank or similar financial institution account, urban (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[10949] Received government payments: into a bank or similar financial institution account, out of laborforc | pub=World Bank | cols: country, date, value, indicator
[10950] Received government payments: into a bank or similar financial institution account, in laborforce (% | pub=World Bank | cols: country, date, value, indicator
[10952] Received government payments: into a bank or similar financial institution account, young (% ages 15 | pub=World Bank | cols: country, date, value, indicator
[10953] Received government payments: into a bank or similar financial institution account, older (% age 25+ | pub=World Bank | cols: country, date, value, indicator
[10954] Received government payments: into a bank or similar financial institution account, primary educatio | pub=World Bank | cols: country, date, value, indicator
[10955] Received government payments: into a bank or similar financial institution account, secondary educat | pub=World Bank | cols: country, date, value, indicator
