[2203] Median age of private paid employees, by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2204] Mean age of private paid employees, by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2205] Cross-country public sector pay comparison ratio, by occupation: Government economist (using median) | pub=World Bank | cols: country, date, value, indicator
[2206] Cross-country public sector pay comparison ratio, by occupation: Government economist (using mean) | pub=World Bank | cols: country, date, value, indicator
[2207] Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using median) | pub=World Bank | cols: country, date, value, indicator
[2208] Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using mean) | pub=World Bank | cols: country, date, value, indicator
[2209] Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using median) | pub=World Bank | cols: country, date, value, indicator
[2210] Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using mean) | pub=World Bank | cols: country, date, value, indicator
[2211] Cross-country public sector pay comparison ratio, by occupation: Judge (using median) | pub=World Bank | cols: country, date, value, indicator
[2212] Cross-country public sector pay comparison ratio, by occupation: Judge (using mean) | pub=World Bank | cols: country, date, value, indicator
[2213] Cross-country public sector pay comparison ratio, by occupation: Police officer (using median) | pub=World Bank | cols: country, date, value, indicator
[2214] Cross-country public sector pay comparison ratio, by occupation: Police officer (using mean) | pub=World Bank | cols: country, date, value, indicator
[2215] Cross-country public sector pay comparison ratio, by occupation: Primary school teacher (using media | pub=World Bank | cols: country, date, value, indicator
[2216] Cross-country public sector pay comparison ratio, by occupation: Primary school teacher (using mean) | pub=World Bank | cols: country, date, value, indicator
[2217] Cross-country public sector pay comparison ratio, by occupation: Senior official (using median) | pub=World Bank | cols: country, date, value, indicator
[2218] Cross-country public sector pay comparison ratio, by occupation: Senior official (using mean) | pub=World Bank | cols: country, date, value, indicator
[2219] Cross-country public sector pay comparison ratio, by occupation: Secondary school teacher (using med | pub=World Bank | cols: country, date, value, indicator
[2220] Cross-country public sector pay comparison ratio, by occupation: Secondary school teacher (using mea | pub=World Bank | cols: country, date, value, indicator
[2221] Cross-country public sector pay comparison ratio, by occupation: University teacher (using median) | pub=World Bank | cols: country, date, value, indicator
[2222] Cross-country public sector pay comparison ratio, by occupation: University teacher (using mean) | pub=World Bank | cols: country, date, value, indicator
[2223] Females, as a share of private paid employees by occupational group: Clerks | pub=World Bank | cols: country, date, value, indicator
[2224] Share of private paid employees with a contract | pub=World Bank | cols: country, date, value, indicator
[2225] Females, as a share of private paid employees by occupational group: Elementary occupation | pub=World Bank | cols: country, date, value, indicator
[2226] Females, as a share of private paid employees by wage quintile: Quintile 1 | pub=World Bank | cols: country, date, value, indicator
[2227] Females, as a share of private paid employees by wage quintile: Quintile 2 | pub=World Bank | cols: country, date, value, indicator
[2228] Females, as a share of private paid employees by wage quintile: Quintile 3 | pub=World Bank | cols: country, date, value, indicator
[2229] Females, as a share of private paid employees by wage quintile: Quintile 4 | pub=World Bank | cols: country, date, value, indicator
[2230] Females, as a share of private paid employees by wage quintile: Quintile 5 | pub=World Bank | cols: country, date, value, indicator
