[6796] Gross Ext. Debt Pmt, General Government, Immediate, Special drawing rights (allocations), Interest,  | pub=World Bank | cols: country, date, value, indicator
[6797] Gross Ext. Debt Pmt, Central Bank, More than 0 to 3, Special drawing rights (allocations), Interest, | pub=World Bank | cols: country, date, value, indicator
[6798] Gross Ext. Debt Pmt, Central Bank, More than 9 to 12, Special drawing rights (allocations), Interest | pub=World Bank | cols: country, date, value, indicator
[6799] Gross Ext. Debt Pmt, Central Bank, More than 12 to 18, Special drawing rights (allocations), Interes | pub=World Bank | cols: country, date, value, indicator
[6800] Gross Ext. Debt Pmt, Central Bank, More than 18 to 24, Special drawing rights (allocations), Interes | pub=World Bank | cols: country, date, value, indicator
[6801] Gross Ext. Debt Pmt, Central Bank, More than 2yrs, Special drawing rights (allocations), Interest, U | pub=World Bank | cols: country, date, value, indicator
[6802] Gross Ext. Debt Pmt, Central Bank, More than 3 to 6, Special drawing rights (allocations), Interest, | pub=World Bank | cols: country, date, value, indicator
[6803] Gross Ext. Debt Pmt, Central Bank, More than 6 to 9, Special drawing rights (allocations), Interest, | pub=World Bank | cols: country, date, value, indicator
[6804] Gross Ext. Debt Pmt, Central Bank, Immediate, Special drawing rights (allocations), Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6805] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, Trade credit and advances, Int | pub=World Bank | cols: country, date, value, indicator
[6806] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, Trade credit and advances, In | pub=World Bank | cols: country, date, value, indicator
[6807] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, Trade credit and advances, I | pub=World Bank | cols: country, date, value, indicator
[6808] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, Trade credit and advances, I | pub=World Bank | cols: country, date, value, indicator
[6809] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, Trade credit and advances, Inter | pub=World Bank | cols: country, date, value, indicator
[6810] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, Trade credit and advances, Int | pub=World Bank | cols: country, date, value, indicator
[6811] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 6 to 9, Trade credit and advances, Int | pub=World Bank | cols: country, date, value, indicator
[6812] Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, Immediate, Trade credit and advances, Interest,  | pub=World Bank | cols: country, date, value, indicator
[6813] Gross Ext. Debt Pmt, General Government, More than 0 to 3, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6814] Gross Ext. Debt Pmt, General Government, More than 9 to 12, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6815] Gross Ext. Debt Pmt, General Government, More than 12 to 18, Trade credit and advances, Interest, US | pub=World Bank | cols: country, date, value, indicator
[6816] Gross Ext. Debt Pmt, General Government, More than 18 to 24, Trade credit and advances, Interest, US | pub=World Bank | cols: country, date, value, indicator
[6817] Gross Ext. Debt Pmt, General Government, More than 2yrs, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6818] Gross Ext. Debt Pmt, General Government, More than 3 to 6, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6819] Gross Ext. Debt Pmt, General Government, More than 6 to 9, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6820] Gross Ext. Debt Pmt, General Government, Immediate, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6821] Gross Ext. Debt Pmt, Central Bank, More than 0 to 3, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6822] Gross Ext. Debt Pmt, Central Bank, More than 9 to 12, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6823] Gross Ext. Debt Pmt, Central Bank, More than 12 to 18, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6824] Gross Ext. Debt Pmt, Central Bank, More than 18 to 24, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6825] Gross Ext. Debt Pmt, Central Bank, More than 2yrs, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6826] Gross Ext. Debt Pmt, Central Bank, More than 3 to 6, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6827] Gross Ext. Debt Pmt, Central Bank, More than 6 to 9, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6828] Gross Ext. Debt Pmt, Central Bank, Immediate, Trade credit and advances, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6833] IMF SDR allocations, charges (INT, current US$) | pub=World Bank | cols: country, date, value, indicator
[6855] CB, bonds (INT, current US$) | pub=World Bank | desc: Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally th | cols: country, date, value, indicator
[6877] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 0 to 3 mo., All instruments, Interes | pub=World Bank | cols: country, date, value, indicator
[6878] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 3yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6879] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 3 to 6 mo., All instruments, Interes | pub=World Bank | cols: country, date, value, indicator
[6880] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 4yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6881] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 5 to 10 yrs, All instruments, Intere | pub=World Bank | cols: country, date, value, indicator
[6882] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 5yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6883] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 6 to 9 mo., All instruments, Interes | pub=World Bank | cols: country, date, value, indicator
[6884] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 9 to 12 mo., All instruments, Intere | pub=World Bank | cols: country, date, value, indicator
[6885] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 10 to 15 yrs, All instruments, Inter | pub=World Bank | cols: country, date, value, indicator
[6886] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 12 to 18 mo., All instruments, Inter | pub=World Bank | cols: country, date, value, indicator
[6887] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, More than15yrs, All instruments, Int | pub=World Bank | cols: country, date, value, indicator
[6888] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, 18 to 24 mo., All instruments, Inter | pub=World Bank | cols: country, date, value, indicator
[6889] Ext. Debt Service Pmt, Publicly Guar. Private Sector Ext. Debt, Immediately, All instruments, Intere | pub=World Bank | cols: country, date, value, indicator
[6896] Ext. Debt Service Pmt, Public Sector Ext. Debt, 0 to 3 mo., All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6897] Ext. Debt Service Pmt, Public Sector Ext. Debt, 3yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6898] Ext. Debt Service Pmt, Public Sector Ext. Debt, 3 to 6 mo., All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6899] Ext. Debt Service Pmt, Public Sector Ext. Debt, 4yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6900] Ext. Debt Service Pmt, Public Sector Ext. Debt, 5 to 10 yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6901] Ext. Debt Service Pmt, Public Sector Ext. Debt, 5yrs, All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
[6902] Ext. Debt Service Pmt, Public Sector Ext. Debt, 6 to 9 mo., All instruments, Interest, USD | pub=World Bank | cols: country, date, value, indicator
