[14116] Working-age population with post-secondary education, aged 25-64 (% of population aged 25-64) | pub=World Bank | cols: country, date, value, indicator
[14117] Working-age population with post-secondary education, rural (% of rural population in working age) | pub=World Bank | cols: country, date, value, indicator
[14118] Working-age population with post-secondary education, urban (% of urban population in working age) | pub=World Bank | cols: country, date, value, indicator
[14119] Working-age population with post-secondary education, aged 15-24 (% of population aged 15-24) | pub=World Bank | cols: country, date, value, indicator
[14120] Working-age population with post-secondary education, total (% of total population in working age) | pub=World Bank | cols: country, date, value, indicator
[14121] Working-age population with secondary education, rural (% of rural population in working age) | pub=World Bank | cols: country, date, value, indicator
[14122] Working-age population with secondary education, urban (% of urban population in working age) | pub=World Bank | cols: country, date, value, indicator
[14123] Working-age population with secondary education, aged 15-24 (% of population aged 15-24) | pub=World Bank | cols: country, date, value, indicator
[14124] Working-age population with secondary education, total (% of total population in working age) | pub=World Bank | cols: country, date, value, indicator
[14125] Total sample population | pub=World Bank | cols: country, date, value, indicator
[14126] Total sample population, female | pub=World Bank | cols: country, date, value, indicator
[14127] Total sample population, above primary education | pub=World Bank | cols: country, date, value, indicator
[14128] Total sample population, primary education and below | pub=World Bank | cols: country, date, value, indicator
[14129] Total sample population, male | pub=World Bank | cols: country, date, value, indicator
[14130] Total sample population, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[14131] Total sample population, rural | pub=World Bank | cols: country, date, value, indicator
[14132] Total sample population, urban | pub=World Bank | cols: country, date, value, indicator
[14133] Total sample population, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
[14134] Urban population, female (% of female population) | pub=World Bank | cols: country, date, value, indicator
[14135] Urban population, above primary education (% of population with high education) | pub=World Bank | cols: country, date, value, indicator
[14136] Urban population, primary education and below (% of population with low education) | pub=World Bank | cols: country, date, value, indicator
[14137] Urban population, male (% of male population) | pub=World Bank | cols: country, date, value, indicator
[14138] Urban population, aged 25-64 (% of population aged 25-64) | pub=World Bank | cols: country, date, value, indicator
[14139] Urban population, aged 15-24 (% of population aged 15-24) | pub=World Bank | cols: country, date, value, indicator
[14140] Urban population, total (% of total population) | pub=World Bank | cols: country, date, value, indicator
[14141] Average age of workers in the service sector, aged 15-64, total | pub=World Bank | cols: country, date, value, indicator
[14142] Average age of workers in the service sector, aged 15-64, female | pub=World Bank | cols: country, date, value, indicator
[14143] Average age of workers in the service sector, aged 15-64, above primary education | pub=World Bank | cols: country, date, value, indicator
[14144] Average age of workers in the service sector, aged 15-64, primary education and below | pub=World Bank | cols: country, date, value, indicator
[14145] Average age of workers in the service sector, aged 15-64, male | pub=World Bank | cols: country, date, value, indicator
[14146] Average age of workers in the service sector, aged 25-64 | pub=World Bank | cols: country, date, value, indicator
[14147] Average age of workers in the service sector, aged 15-64, rural | pub=World Bank | cols: country, date, value, indicator
[14148] Average age of workers in the service sector, aged 15-64, urban | pub=World Bank | cols: country, date, value, indicator
[14149] Average age of workers in the service sector, aged 15-24 | pub=World Bank | cols: country, date, value, indicator
