[16065] Nonrenewable natural capital per capita, metals and minerals: gold (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16066] Nonrenewable natural capital per capita, metals and minerals: gold (current US$) | pub=World Bank | cols: country, date, value, indicator
[16067] Nonrenewable natural capital, metals and minerals: gold (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16068] Nonrenewable natural capital, metals and minerals: gold (current US$) | pub=World Bank | cols: country, date, value, indicator
[16070] Nonrenewable natural capital per capita, metals and minerals, sub-index, total (current US$) | pub=World Bank | cols: country, date, value, indicator
[16072] Nonrenewable natural capital, metals and minerals, sub-index, total (current US$) | pub=World Bank | cols: country, date, value, indicator
[16073] Nonrenewable natural capital per capita, metals and minerals: iron ore (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16074] Nonrenewable natural capital per capita, metals and minerals: iron ore (current US$) | pub=World Bank | cols: country, date, value, indicator
[16075] Nonrenewable natural capital, metals and minerals: iron ore (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16076] Nonrenewable natural capital, metals and minerals: iron ore (current US$) | pub=World Bank | cols: country, date, value, indicator
[16077] Nonrenewable natural capital per capita, metals and minerals: lead (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16078] Nonrenewable natural capital per capita, metals and minerals: lead (current US$) | pub=World Bank | cols: country, date, value, indicator
[16079] Nonrenewable natural capital, metals and minerals: lead (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16080] Nonrenewable natural capital, metals and minerals: lead (current US$) | pub=World Bank | cols: country, date, value, indicator
[16081] Nonrenewable natural capital per capita, metals and minerals: lithium (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16082] Nonrenewable natural capital per capita, metals and minerals: lithium (current US$) | pub=World Bank | cols: country, date, value, indicator
[16083] Nonrenewable natural capital, metals and minerals: lithium (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16084] Nonrenewable natural capital, metals and minerals: lithium (current US$) | pub=World Bank | cols: country, date, value, indicator
[16085] Nonrenewable natural capital per capita, metals and minerals: molybdenum (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16086] Nonrenewable natural capital per capita, metals and minerals: molybdenum (current US$) | pub=World Bank | cols: country, date, value, indicator
[16087] Nonrenewable natural capital, metals and minerals: molybdenum (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16088] Nonrenewable natural capital, metals and minerals: molybdenum (current US$) | pub=World Bank | cols: country, date, value, indicator
[16089] Nonrenewable natural capital per capita, metals and minerals: nickel (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16090] Nonrenewable natural capital per capita, metals and minerals: nickel (current US$) | pub=World Bank | cols: country, date, value, indicator
[16091] Nonrenewable natural capital, metals and minerals: nickel (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16092] Nonrenewable natural capital, metals and minerals: nickel (current US$) | pub=World Bank | cols: country, date, value, indicator
[16093] Nonrenewable natural capital per capita, metals and minerals: phosphate (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16094] Nonrenewable natural capital per capita, metals and minerals: phosphate (current US$) | pub=World Bank | cols: country, date, value, indicator
[16095] Nonrenewable natural capital, metals and minerals: phosphate (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16096] Nonrenewable natural capital, metals and minerals: phosphate (current US$) | pub=World Bank | cols: country, date, value, indicator
[16097] Nonrenewable natural capital per capita, metals and minerals: silver (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16098] Nonrenewable natural capital per capita, metals and minerals: silver (current US$) | pub=World Bank | cols: country, date, value, indicator
[16099] Nonrenewable natural capital, metals and minerals: silver (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16100] Nonrenewable natural capital, metals and minerals: silver (current US$) | pub=World Bank | cols: country, date, value, indicator
[16101] Nonrenewable natural capital per capita, metals and minerals: tin (real chained 2019 US$) | pub=World Bank | cols: country, date, value, indicator
[16102] Nonrenewable natural capital per capita, metals and minerals: tin (current US$) | pub=World Bank | cols: country, date, value, indicator
