[1304] Adjusted prevalence of persons aged 55 to 64 years with some degree of seeing difficulty (% of perso | pub=World Bank | cols: country, date, value, indicator
[1305] Adjusted prevalence of persons aged 65 or older with some degree of seeing difficulty (% of persons  | pub=World Bank | cols: country, date, value, indicator
[1306] Adjusted prevalence of persons with some degree of seeing difficulty (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1307] Adjusted prevalence of female persons with some degree of seeing difficulty (% of female persons) | pub=World Bank | cols: country, date, value, indicator
[1308] Adjusted prevalence of male persons with some degree of seeing difficulty (% of male persons) | pub=World Bank | cols: country, date, value, indicator
[1309] Adjusted prevalence of persons living in rural areas with some degree of seeing difficulty (% of per | pub=World Bank | cols: country, date, value, indicator
[1310] Adjusted prevalence of persons living in urban areas with some degree of seeing difficulty (% of per | pub=World Bank | cols: country, date, value, indicator
[1311] Adjusted prevalence of persons aged 15 to 24 years with some degree of selfcare difficulty (% of per | pub=World Bank | cols: country, date, value, indicator
[1312] Adjusted prevalence of persons aged 25 to 34 years with some degree of selfcare difficulty (% of per | pub=World Bank | cols: country, date, value, indicator
[1313] Adjusted prevalence of persons aged 35 to 44 years with some degree of selfcare difficulty (% of per | pub=World Bank | cols: country, date, value, indicator
[1314] Adjusted prevalence of persons aged 45 to 54 years with some degree of selfcare difficulty (% of per | pub=World Bank | cols: country, date, value, indicator
[1315] Adjusted prevalence of persons aged 55 to 64 years with some degree of selfcare difficulty (% of per | pub=World Bank | cols: country, date, value, indicator
[1316] Adjusted prevalence of persons aged 65 or older with some degree of selfcare difficulty (% of person | pub=World Bank | cols: country, date, value, indicator
[1317] Adjusted prevalence of persons with some degree of selfcare difficulty (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1318] Adjusted prevalence of female persons with some degree of selfcare difficulty (% of female persons) | pub=World Bank | cols: country, date, value, indicator
[1319] Adjusted prevalence of male persons with some degree of selfcare difficulty (% of male persons) | pub=World Bank | cols: country, date, value, indicator
[1320] Adjusted prevalence of persons living in rural areas with some degree of selfcare difficulty (% of p | pub=World Bank | cols: country, date, value, indicator
[1321] Adjusted prevalence of persons living in urban areas with some degree of selfcare difficulty (% of p | pub=World Bank | cols: country, date, value, indicator
[1322] Adjusted prevalence of persons living in urban areas with some degree of functional difficulty (% of | pub=World Bank | cols: country, date, value, indicator
[1336] Fertilizer consumption (metric tons) | pub=World Bank | cols: country, date, value, indicator
[1339] Pesticide consumption (metric tons) | pub=World Bank | cols: country, date, value, indicator
[1356] Cereal imports (metric tons) | pub=World Bank | cols: country, date, value, indicator
[1380] Land use, irrigated land (hectares) | pub=World Bank | cols: country, date, value, indicator
[1383] Irrigated land (% of cropland) | pub=World Bank | cols: country, date, value, indicator
[1386] Land use, other (% of land area) | pub=World Bank | cols: country, date, value, indicator
[1387] Arable land (hectares per person) | pub=World Bank | cols: country, date, value, indicator
[1388] Permanent pasture (% of land area) | pub=World Bank | cols: country, date, value, indicator
[1416] Roots and tubers production (metric tons) | pub=World Bank | cols: country, date, value, indicator
[1429] Agricultural machinery, tractors per agricultural worker | pub=World Bank | cols: country, date, value, indicator
[1430] Pesticide consumption (kg per hectare) | pub=World Bank | cols: country, date, value, indicator
[1439] Prevalence of persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diffic | pub=World Bank | cols: country, date, value, indicator
[1440] Prevalence of persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diffic | pub=World Bank | cols: country, date, value, indicator
[1441] Prevalence of persons aged 45 to 64 years with disabilities i.e. at least a lot of functional diffic | pub=World Bank | cols: country, date, value, indicator
[1442] Prevalence of persons aged 65 or older with disabilities i.e. at least a lot of functional difficult | pub=World Bank | cols: country, date, value, indicator
[1443] Prevalence of persons with disabilities i.e. at least a lot of functional difficulty (% of persons) | pub=World Bank | cols: country, date, value, indicator
[1444] Prevalence of female persons with disabilities i.e. at least a lot of functional difficulty (% of fe | pub=World Bank | cols: country, date, value, indicator
[1445] Prevalence of male persons with disabilities i.e. at least a lot of functional difficulty (% of male | pub=World Bank | cols: country, date, value, indicator
[1446] Prevalence of persons living in rural areas with disabilities i.e. at least a lot of functional diff | pub=World Bank | cols: country, date, value, indicator
[1447] Prevalence of persons living in urban areas with disabilities i.e. at least a lot of functional diff | pub=World Bank | cols: country, date, value, indicator
[1448] Persons aged 15 to 29 years with at least primary education (% of persons aged 15 to 29 years with d | pub=World Bank | cols: country, date, value, indicator
[1449] Persons aged 30 to 44 years with at least primary education (% of persons aged 30 to 44 years with d | pub=World Bank | cols: country, date, value, indicator
[1450] Persons aged 45 to 64 years with at least primary education (% of persons aged 45 to 64 years with d | pub=World Bank | cols: country, date, value, indicator
[1451] Persons aged 65 or older with at least primary education (% of persons aged 65 or older with disabil | pub=World Bank | cols: country, date, value, indicator
[1452] Persons with at least primary education (% of persons with disability i.e. at least a lot of functio | pub=World Bank | cols: country, date, value, indicator
[1453] Female persons with at least primary education (% of female persons with disability i.e. at least a  | pub=World Bank | cols: country, date, value, indicator
[1454] Male persons with at least primary education (% of male persons with disability i.e. at least a lot  | pub=World Bank | cols: country, date, value, indicator
[1455] Persons living in rural areas with at least primary education (% of persons living in rural areas wi | pub=World Bank | cols: country, date, value, indicator
[1456] Persons living in urban areas with at least primary education (% of persons living in urban areas wi | pub=World Bank | cols: country, date, value, indicator
