[4264] Sandy Wells | pub=State of Utah | cols: created_user, WELLS_ID, last_edited_user, GlobalID, the_geom, Status, WELLS_, CONST_STATUS, last_edited_date, NAME
[4265] Radio Reading Areas | pub=State of Utah | cols: TYPE, FACILITYID, OBJECTID, ACCOUNTS, the_geom, ROUTE_, FEATURE_ID, SHAPE.area, PWTYPE, SHAPE.len
[4266] live_parcel_line | pub=State of Utah | cols: GLOBALID, COGO Tangent, SHAPE_Length, COGO Distance, COGO Delta, HAS_SELECTED_TAG, COGO Side, the_geom, SERIAL, LASTEDITOR
[4267] Backflow Preventers | pub=State of Utah | cols: GlobalID, created_user, Facility_ID, Facility Name, Model, Address, Installed Date, Zip, Location, InspectionMonthDue
[4268] Bridge | pub=State of Utah | cols: Address, Manufacture, the_geom, Capacity(tons), Location, BridgeId, Length, Shape.STArea(), DeckMaterial, OBJECTID
[4271] CountyRoads_RRAMS~4k | pub=State of Utah | cols: Left Drain Type, Grav/Dirt: Exposed Bedrock Severity, ADT Date, OBJECTID, Segment Signs Value, Bus Route, FAE Route Number, Grav/Dirt: Corrugation (Wash Boarding) Severity, Road Class, UHJCA Class
[4272] Laterals | pub=State of Utah | cols: created_user, CONST_STATUS, LINE_TYPE, YEAR_, Enabled, last_edited_user, the_geom, last_edited_date, OBJECTID, created_date
[4273] Parks | pub=State of Utah | cols: State, Type, Landowner, Park_ID, EditDate, AddedTrails, AcreSource, Basketball_Lighting, Restrooms, AcqMethod
[4274] Dept of Human Services Performance Outcome Measures | pub=State of Utah | cols: agency_abbrev_name, pmagencyid, pm_format, intend_to_archive, pm_entrytarget, agencyname, pm_id, pm_entryFY, pmimpactareacategory, organizationalunitid
[4275] Capitol Preservation Board Performance Management Outcome Measures | pub=State of Utah | cols: Unnamed Column 2, Combined Impact Area, pm_entry_PMid, pm_description, agency_abbrev_name, agencyid, pm_status_id, Unnamed Column 1, agencyname, pm_entryFY
[4276] White Background | pub=State of Utah | cols: the_geom, OBJECTID, SHAPE_Length, SHAPE_Area
[4277] MOSQ.Mosq_Catch_Basins | pub=State of Utah | cols: CREATED_DATE, GLOBALID, BASIN_NUM, CITY, LATITUDE, OBJECTID, LONGITUDE, DATE_, ELEVATION, LAST_EDITED_DATE
[4278] County_Council_Web_AtLargeB | pub=State of Utah | cols: Shape_STLe, OBJECTID_2, OBJECTID_12, the_geom, NAME, Shape_Area, OBJECTID, OBJECTID_1, TERM, REP_NAME
[4280] Point of the Mountain Aquaduct | pub=State of Utah | cols: last_edited_date, LiningType, GravityPre, PipeFuncti, created_user, ToElevatio, Enabled, last_edited_user, OBJECTID, FromElevat
[4281] Zip Codes | pub=State of Utah | cols: ZIP_MOD_ID, ZIP_CD, the_geom, OBJECTID, Shape_Length, GlobalID, Shape_Area
[4282] Concrete Locations | pub=State of Utah | cols: Trees, District, GlobalID, PMA, Shape.STLength(), Location, Short List 6in Sidewalk (SF), Contractor_Comments, StreetscapeID, ADDRESS
[4283] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Trap Name, Trap Type, Last Catch Date, Culiseta inornata, Anopheles freeborni, Culex tarsalis, Ochlerotatus nigromaculis, Culex erythrothorax, Y Lat, CREATED_DATE
[4284] Polygons | pub=State of Utah | cols: Canopy Cover, Collector_Name, Phenology, Ecology, Collector_Agency, Ownership, Shape_Length, Country, Infested_Area, Shape_Area
[4286] CountyRoads_RRAMS~.5k | pub=State of Utah | cols: Asph/Chip: Rutting Density, Grav/Dirt: Excavation Failure Density, Dir From POB, Grav/Dirt: Rutting Severity, Grav/Dirt: Washout Density, Grav/Dirt: Sink Hole Density, Shoulder Width Condition, Grav/Dirt: Corrugation (Wash Boarding) Density, Grav/Dirt: Rutting Density, Grav/Dirt: Depression (Birth baths/Ponding) Density
[4287] CountyRoads_RRAMS | pub=State of Utah | cols: Grav/Dirt: Longitudinal Erosion Severity, Avg TCI for Project ID, Asph/Chip: Upheaval Severity, Traffic Condition Index, ADT Date, Alternate Road Name, Total Condition Index, Average Daily Traffic, Grav/Dirt: Corrugation (Wash Boarding) Severity, Left Lane Width
[4288] Land Values (Main Frame) | pub=State of Utah | cols: Prop Type Use Description, Book & Page, OBJECTID, Property Level, Tax Account Type, Site Zip Code, LAST_EDITED_USER, GLOBALID, Last Update Date, Residential Improvement Market Value
[4289] Site Plan Review | pub=State of Utah | cols: SITE_ADDRESS, Status, OBJECTID, Shape.STLength(), SPR_FILE, Shape.STArea(), PROJECT_NAME, the_geom, FLAG_IND, DateApproved
[4292] Building Footprints | pub=State of Utah | cols: Usage_Type, CopyID, DATE_UPDATED, Shape.area, Detail_Usage_Type, Notes, HT_Highest_Ft, ID_NUMBER, HT_Floors, OBJECTID
[4293] Railroads | pub=State of Utah | cols: SHAPE.STLength(), OBJECTID, the_geom, CLASS
[4294] City Limits- Large Scale | pub=State of Utah | cols: NAME, RuleID_2, OBJECTID, the_geom, RuleID_1, Shape.len, Shape.area
[4295] Centerlines Base and Labels | pub=State of Utah | cols: RuleID, S_DATE, ONE_WAY, FS_ZONE, Lcitycd, DATA_DATE, DATA_EDITOR, Rcitycd, toright, COMMENTS
[4296] Cemetery.PARKS.Cem_Lots | pub=State of Utah | cols: Shape.area, Shape.len, the_geom, Section, Section_Lot, OBJECTID
[4299] MOSQ.Mosq_LightTraps | pub=State of Utah | cols: Culiseta incidens, CITY, Trap Type, Ochlerotatus nigromaculis, the_geom, GLOBALID, Ochlerotatus campestris, TRAP_NUM, LAST_EDITED_USER, Culex erythrothorax
[4300] Centerlines base and labels | pub=State of Utah | cols: S_USE, ONE_WAY, FS_ZONE, LZIP, DATA_EDITOR, the_geom, RZIP, SUF_DIR, LS_ZONE, S_SURF
[4301] Cable Routes | pub=State of Utah | cols: FNODE_, Wire Size, OBJECTID, LENGTH, TNODE_, created_date, last_edited_date, Shape.STLength(), CABLE_, last_edited_user
[4303] Open Work Orders | pub=State of Utah | cols: Work Order Status, GLOBALID, the_geom, Work Order Comments, OBJECTID, Date Added, Resolved By, Action Added By, Work Order ID, Severity
[4305] Air Vac | pub=State of Utah | cols: OBJECTID, created_user, last_edited_user, the_geom, FACILITYID, last_edited_date, created_date, GPS Date
[4306] Pipe | pub=State of Utah | cols: OBJECTID, Id, Shape.len, the_geom
[4307] PRV | pub=State of Utah | cols: AssetStatus, PRVCondition, Nickname, Status, Type, PilotControlsMaterial, PRVMaterial, VaultNotes, InspectionDate, InstallDate
