[1927] Pregnant women attending antenatal care who received additional testing for HBV (percent) | pub=WHO | desc: Pregnant women attending antenatal care who received additional testing for HBV (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1928] Substance use disorders service coverage, screening and brief interventions | pub=WHO | desc: Substance use disorders service coverage, screening and brief interventions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1929] Chronic hepatitis B (HBV) treatment rate as percentage of total infected (%) | pub=WHO | desc: Chronic hepatitis B (HBV) treatment rate as percentage of total infected (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1930] Foodborne disability-adjusted life years per 100 000, aged 5 years and above | pub=WHO | desc: Foodborne disability-adjusted life years per 100 000, aged 5 years and above | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1931] Number of non-pregnant women (aged 15-49 years) with anaemia (thousands) | pub=WHO | desc: Number of non-pregnant women (aged 15-49 years) with anaemia (thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1932] Total population pushed further below a relative poverty line by household health expenditures - 60% | pub=WHO | desc: Total population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, regional, global) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1933] Representativeness of most recent adolescent survey | pub=WHO | desc: Representativeness of most recent adolescent survey | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1934] Prevalence of rifampicin resistance among pulmonary TB cases. | pub=WHO | desc: Prevalence of rifampicin resistance among pulmonary TB cases. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1935] Compliance with smoke-free universities law (score) | pub=WHO | desc: Compliance with smoke-free universities law (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1936] Law requires fines for violations of advertising bans | pub=WHO | desc: Law requires fines for violations of advertising bans | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1937] Years of life lost caused by hazards, aged less than 5 years | pub=WHO | desc: Years of life lost caused by hazards, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1938] Pregnant women attending antenatal care, tested for HBsAg (percent) | pub=WHO | desc: Pregnant women attending antenatal care, tested for HBsAg (percent) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1939] Hypertension effective treatment coverage (controlled hypertension )among adults aged 30-79, age-sta | pub=WHO | desc: Hypertension effective treatment coverage (controlled hypertension )among adults aged 30-79, age-standardized (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1940] General availability of urine strips for glucose and ketone measurement at the primary health care l | pub=WHO | desc: General availability of urine strips for glucose and ketone measurement at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1941] Law requires fines for violations of promotion and sponsorship bans | pub=WHO | desc: Law requires fines for violations of promotion and sponsorship bans | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1942] Chronic hepatitis B (HBV) treatment rate as percentage of diagnosed (%) | pub=WHO | desc: Chronic hepatitis B (HBV) treatment rate as percentage of diagnosed (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
