[9527] Average per capita transfer held by extreme poor (<$2.15 a day) - Domestic Private Transfers | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9528] Average per capita transfer - Domestic Private Transfers -rural | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9529] Average per capita transfer - Domestic Private Transfers | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9530] Average per capita transfer - Domestic Private Transfers -urban | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9531] Average per capita transfer held by 1st quintile (poorest) - Domestic Private Transfers (preT) | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9532] Average per capita transfer held by 1st quintile (poorest) - Domestic Private Transfers -rural | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9533] Average per capita transfer held by 1st quintile (poorest) - Domestic Private Transfers | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9534] Average per capita transfer held by 1st quintile (poorest) - Domestic Private Transfers -urban | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9535] Average per capita transfer held by 2nd quintile - Domestic Private Transfers (preT) | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
[9536] Average per capita transfer held by 2nd quintile - Domestic Private Transfers -rural | pub=World Bank | desc: Average transfer amount of  Domestic Private Transfers programs among program beneficiaries (per capita, daily $ppp) | cols: country, date, value, indicator | tags: Social Protection & Labor
