[1528] Proportion of children at the end of lower secondary achieving at least a minimum proficiency level  | pub=WHO | desc: Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in mathematics (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1529] Participation rate in organized learning (one year before the official primary entry age) (%) | pub=WHO | desc: Participation rate in organized learning (one year before the official primary entry age) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1530] Number of cause-of-death registration years available | pub=WHO | desc: Number of cause-of-death registration years available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1531] Number of national population surveys - child anthropometry | pub=WHO | desc: Number of national population surveys - child anthropometry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1532] Number of national population surveys - maternal mortality | pub=WHO | desc: Number of national population surveys - maternal mortality | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1533] Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting  | pub=WHO | desc: Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting (FMG/C) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1534] Percentage of children under 15 years exposed to second-hand smoke | pub=WHO | desc: Percentage of children under 15 years exposed to second-hand smoke | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1535] Second-hand smoke attributable deaths ('000) in children under 5 years | pub=WHO | desc: Second-hand smoke attributable deaths ('000) in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1536] Second-hand smoke  attributable deaths per 100'000 children under 5 years | pub=WHO | desc: Second-hand smoke  attributable deaths per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1537] Employed population below the international poverty line of US$1.90 per day (the working poor) (%) | pub=WHO | desc: Employed population below the international poverty line of US$1.90 per day (the working poor) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1538] Proportion of women aged 20-24 years who were married or in a union by age 15 (%) | pub=WHO | desc: Proportion of women aged 20-24 years who were married or in a union by age 15 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1539] Treatment success rate for patients treated for MDR-TB (%) | pub=WHO | desc: Treatment success rate for patients treated for MDR-TB (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1540] New or unknown treatment history cases: Pulmonary, clinically diagnosed | pub=WHO | desc: New or unknown treatment history cases: Pulmonary, clinically diagnosed | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1541] New cases: Pulmonary, smear-negative/unknown/not done and other new cases | pub=WHO | desc: New cases: Pulmonary, smear-negative/unknown/not done and other new cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1542] Prevalence of smoking any tobacco product among persons aged >= 15 years | pub=WHO | desc: Prevalence of smoking any tobacco product among persons aged >= 15 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1543] Beds for mental health in general hospitals (per 100,000) | pub=WHO | desc: Beds for mental health in general hospitals (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1544] Mental health units in general hospitals (per 100,000) | pub=WHO | desc: Mental health units in general hospitals (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1545] Occupational therapists in mental health sector (per 100,000) | pub=WHO | desc: Occupational therapists in mental health sector (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1546] Psychologists working in mental health sector (per 100,000) | pub=WHO | desc: Psychologists working in mental health sector (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1547] Nurses working in mental health sector (per 100,000) | pub=WHO | desc: Nurses working in mental health sector (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1548] Social workers working in mental health sector (per 100,000) | pub=WHO | desc: Social workers working in mental health sector (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1549] Number of deaths in children aged <5 years, by cause | pub=WHO | desc: Number of deaths in children aged <5 years, by cause | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1550] Distribution of causes of death among children aged < 5 years (%) | pub=WHO | desc: Distribution of causes of death among children aged < 5 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1551] Prevalence of underweight among adults, BMI < 18 (crude estimate) (%) | pub=WHO | desc: Prevalence of underweight among adults, BMI < 18 (crude estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1552] Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%) | pub=WHO | desc: Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1553] Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%) | pub=WHO | desc: Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1554] Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the medi | pub=WHO | desc: Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1555] Daily users of any smokeless tobacco product (crude rate) | pub=WHO | desc: Daily users of any smokeless tobacco product (crude rate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1556] Adolescent mortality rate (per 1 000 age specific cohort) | pub=WHO | desc: Adolescent mortality rate (per 1 000 age specific cohort) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1557] Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) | pub=WHO | desc: Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1558] Prevalence of current tobacco use among adolescents aged 13-15 years | pub=WHO | desc: Prevalence of current tobacco use among adolescents aged 13-15 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1559] Measles immunization coverage among one-year-olds (%) | pub=WHO | desc: Measles immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1560] Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%) | pub=WHO | desc: Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1561] Existence of operational policy/strategy/action plan to reduce the harmful use of alcohol | pub=WHO | desc: Existence of operational policy/strategy/action plan to reduce the harmful use of alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1562] General availability of breast cancer screening (by palpation or mammogram) at the primary health ca | pub=WHO | desc: General availability of breast cancer screening (by palpation or mammogram) at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1563] General availability of bronchodilators in the public health sector | pub=WHO | desc: General availability of bronchodilators in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1564] Existence of operational policy/strategy/action plan for cancer | pub=WHO | desc: Existence of operational policy/strategy/action plan for cancer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1565] Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median  | pub=WHO | desc: Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (age-standardized estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1566] Existence of national screening program for breast cancer | pub=WHO | desc: Existence of national screening program for breast cancer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1567] General availability of coronary bypass or stenting in the public health system | pub=WHO | desc: General availability of coronary bypass or stenting in the public health system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1568] Existence of operational policy/strategy/action plan for cardiovascular diseases | pub=WHO | desc: Existence of operational policy/strategy/action plan for cardiovascular diseases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1569] General availability of dialysis in the public health system | pub=WHO | desc: General availability of dialysis in the public health system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1570] Existence of a national multisectoral commission, agency or mechanism for NCDs | pub=WHO | desc: Existence of a national multisectoral commission, agency or mechanism for NCDs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1571] Existence of an Operational Unit, Branch, or Dept. in Ministry of Health with responsibility for NCD | pub=WHO | desc: Existence of an Operational Unit, Branch, or Dept. in Ministry of Health with responsibility for NCDs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1572] Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the medi | pub=WHO | desc: Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (age-standardized estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1573] Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median  | pub=WHO | desc: Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1574] Implementation of physical activity public awareness program | pub=WHO | desc: Implementation of physical activity public awareness program | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1575] Has a STEPS survey or a comprehensive health examination survey every 5 years | pub=WHO | desc: Has a STEPS survey or a comprehensive health examination survey every 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1576] Provision for secondary prevention of rheumatic fever and rheumatic heart disease in more than 50% o | pub=WHO | desc: Provision for secondary prevention of rheumatic fever and rheumatic heart disease in more than 50% of public sector health facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1577] Availability of cardiovascular risk stratification in 50% or more primary health care facilities | pub=WHO | desc: Availability of cardiovascular risk stratification in 50% or more primary health care facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1578] Existence of any policies to reduce population salt consumption | pub=WHO | desc: Existence of any policies to reduce population salt consumption | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1579] General availability of spirometry at the primary health care level | pub=WHO | desc: General availability of spirometry at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1580] General availability of sulphonylurea(s) in the public health sector | pub=WHO | desc: General availability of sulphonylurea(s) in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1581] Existence of a set of time-bound national targets based on WHO guidance | pub=WHO | desc: Existence of a set of time-bound national targets based on WHO guidance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1582] General availability of thiazide diuretics in the public health sector | pub=WHO | desc: General availability of thiazide diuretics in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1583] General availability of thrombolytic therapy in the public health system | pub=WHO | desc: General availability of thrombolytic therapy in the public health system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1584] Existence of operational policy/strategy/action plan to decrease tobacco use | pub=WHO | desc: Existence of operational policy/strategy/action plan to decrease tobacco use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1585] Mean fasting blood glucose (mmol/l) (age-standardized estimate) | pub=WHO | desc: Mean fasting blood glucose (mmol/l) (age-standardized estimate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1586] Most widely used screening method in national cervical cancer screening program | pub=WHO | desc: Most widely used screening method in national cervical cancer screening program | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1587] Existence of national screening program for cervical cancer | pub=WHO | desc: Existence of national screening program for cervical cancer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1588] General availability of total cholesterol measurement at the primary health care level | pub=WHO | desc: General availability of total cholesterol measurement at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1589] Existence of operational policy/strategy/action plan to reduce unhealthy diet related to NCDs | pub=WHO | desc: Existence of operational policy/strategy/action plan to reduce unhealthy diet related to NCDs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1590] Existence of evidence-based national guidelines/protocols/standards for the management of chronic re | pub=WHO | desc: Existence of evidence-based national guidelines/protocols/standards for the management of chronic respiratory diseases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1591] General availability of aspirin (100 mg) in the public health sector | pub=WHO | desc: General availability of aspirin (100 mg) in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1592] General availability of CC blockers in the public health sector | pub=WHO | desc: General availability of CC blockers in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1593] General availability of cervical cytology at the primary health care level | pub=WHO | desc: General availability of cervical cytology at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1594] Coverage of national cervical cancer screening program (%) | pub=WHO | desc: Coverage of national cervical cancer screening program (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1595] Percentage of health-care facilities with unreliable electricity supply (%) | pub=WHO | desc: Percentage of health-care facilities with unreliable electricity supply (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1596] Percentage of people living with HIV who know their HIV status | pub=WHO | desc: Percentage of people living with HIV who know their HIV status | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1597] Representation of latest adult prevalence survey (nonsmoked) | pub=WHO | desc: Representation of latest adult prevalence survey (nonsmoked) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1598] Substance use disorders service coverage, screening and brief interventions progress | pub=WHO | desc: Substance use disorders service coverage, screening and brief interventions progress | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1599] Existence of policy promoting physical activity: workplace initiatives | pub=WHO | desc: Existence of policy promoting physical activity: workplace initiatives | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
