[126] Participation rate in organized learning (one year before the official primary entry age), by sex | pub=United Nations | desc: Participation rate in organized learning (one year before the official primary entry age), by sex | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG4, target-4.2
[127] Participation rate of youth and adults in formal and non-formal education and training in the previo | pub=United Nations | desc: Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG4, target-4.3
[128] Proportion of youth and adults with information and communications technology (ICT) skills, by type  | pub=United Nations | desc: Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG4, target-4.4
[129] Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability s | pub=United Nations | desc: Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicat | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG4, target-4.5
[130] Extent to which (i) global citizenship education and (ii) education for sustainable development are  | pub=United Nations | desc: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) stude | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG4, target-4.7
[131] Proportion of schools offering basic services, by type of service | pub=United Nations | desc: Proportion of schools offering basic services, by type of service | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG4, target-4.a
[132] Volume of official development assistance flows for scholarships | pub=United Nations | desc: Volume of official development assistance flows for scholarships | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG4, target-4.b
[133] Proportion of teachers with the minimum required qualifications, by education level | pub=United Nations | desc: Proportion of teachers with the minimum required qualifications, by education level | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG4, target-4.c
[134] Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discri | pub=United Nations | desc: Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.1
[135] Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual o | pub=United Nations | desc: Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form  | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.2
[136] Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other  | pub=United Nations | desc: Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.2
[137] Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18 | pub=United Nations | desc: Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18 | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.3
[138] Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age | pub=United Nations | desc: Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.3
[139] Proportion of time spent on unpaid domestic and care work, by sex, age and location | pub=United Nations | desc: Proportion of time spent on unpaid domestic and care work, by sex, age and location | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.4
[140] Proportion of seats held by women in (a) national parliaments and (b) local governments | pub=United Nations | desc: Proportion of seats held by women in (a) national parliaments and (b) local governments | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.5
[141] Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relation | pub=United Nations | desc: Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.6
[142] Number of countries with laws and regulations that guarantee full and equal access to women and men  | pub=United Nations | desc: Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.6
[143] (a) Proportion of total agricultural population with ownership or secure rights over agricultural la | pub=United Nations | desc: (a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of t | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.a
[144] Proportion of countries where the legal framework (including customary law) guarantees women’s equal | pub=United Nations | desc: Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.a
[145] Proportion of individuals who own a mobile telephone, by sex | pub=United Nations | desc: Proportion of individuals who own a mobile telephone, by sex | cols: geoAreaCode, geoAreaName, timePeriodStart, value, sex | tags: SDG5, target-5.b
